Occupation Name,Task Description,Importance
Clinical Nurse Specialists,"Monitor or evaluate medical conditions of patients in collaboration with other health care professionals.
Related occupations",77
Clinical Nurse Specialists,"Design evaluation programs regarding the quality and effectiveness of nursing practice or organizational systems.
Related occupations",76
Clinical Nurse Specialists,"Coordinate or conduct educational programs or in-service training sessions on topics, such as clinical procedures.
Related occupations",76
Clinical Nurse Specialists,"Observe, interview, and assess patients to identify care needs.
Related occupations",74
Clinical Nurse Specialists,"Lead nursing department implementation of, or compliance with, regulatory or accreditation processes.
Related occupations",72
Clinical Nurse Specialists,"Present clients with information required to make informed health care and treatment decisions.
Related occupations",70
Clinical Nurse Specialists,"Participate in clinical research projects, such as by reviewing protocols, reviewing patient records, monitoring compliance, and meeting with regulatory authorities.
Related occupations",66
Clinical Nurse Specialists,"Chair nursing departments or committees.
Related occupations",64
Clinical Nurse Specialists,"Design patient education programs that include information required to make informed health care and treatment decisions.
Related occupations",63
Clinical Nurse Specialists,"Provide direct care by performing comprehensive health assessments, developing differential diagnoses, conducting specialized tests, or prescribing medications or treatments.
Related occupations",61
Clinical Nurse Specialists,"Prepare reports to document patients' care activities.
Related occupations",59
Clinical Nurse Specialists,"Write nursing orders.
Related occupations",59
Clinical Nurse Specialists,"Identify training needs or conduct training sessions for nursing students or medical staff.
Related occupations",58
Clinical Nurse Specialists,"Perform discharge planning for patients.
Related occupations",57
Clinical Nurse Specialists,"Teach patient education programs that include information required to make informed health care and treatment decisions.
Related occupations",55
Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.
Related occupations",87
Clinical Research Coordinators,"Perform specific protocol procedures such as interviewing subjects, taking vital signs, and performing electrocardiograms.
Related occupations",86
Clinical Research Coordinators,"Assess eligibility of potential subjects through methods such as screening interviews, reviews of medical records, or discussions with physicians and nurses.
Related occupations",85
Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.
Related occupations",85
Clinical Research Coordinators,"Inform patients or caregivers about study aspects and outcomes to be expected.
Related occupations",85
Clinical Research Coordinators,"Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.
Related occupations",84
Clinical Research Coordinators,"Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.
Related occupations",84
Clinical Research Coordinators,"Oversee subject enrollment to ensure that informed consent is properly obtained and documented.
Related occupations",83
Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.
Related occupations",82
Clinical Research Coordinators,"Identify protocol problems, inform investigators of problems, or assist in problem resolution efforts, such as protocol revisions.
Related occupations",81
Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.
Related occupations",81
Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.
Related occupations",78
Clinical Research Coordinators,"Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.
Related occupations",77
Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.
Related occupations",77
Clinical Research Coordinators,"Direct the requisition, collection, labeling, storage, or shipment of specimens.
Related occupations",76
Clinical Research Coordinators,"Instruct research staff in scientific and procedural aspects of studies including standards of care, informed consent procedures, or documentation procedures.
Related occupations",75
Clinical Research Coordinators,"Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.
Related occupations",74
Clinical Research Coordinators,"Prepare for or participate in quality assurance audits conducted by study sponsors, federal agencies, or specially designated review groups.
Related occupations",73
Clinical Research Coordinators,"Order drugs or devices necessary for study completion.
Related occupations",71
Clinical Research Coordinators,"Contact outside health care providers and communicate with subjects to obtain follow-up information.
Related occupations",69
Clinical Research Coordinators,"Participate in the development of study protocols including guidelines for administration or data collection procedures.
Related occupations",69
Clinical Research Coordinators,"Confer with health care professionals to determine the best recruitment practices for studies.
Related occupations",66
Clinical Research Coordinators,"Communicate with laboratories or investigators regarding laboratory findings.
Related occupations",66
Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.
Related occupations",62
Clinical Research Coordinators,"Organize space for study equipment and supplies.
Related occupations",60
Clinical Research Coordinators,"Develop advertising and other informational materials to be used in subject recruitment.
Related occupations",57
Clinical Research Coordinators,"Dispense medical devices or drugs, and calculate dosages and provide instructions as necessary.
Related occupations",82
Clinical Research Coordinators,"Arrange for research study sites and determine staff or equipment availability.
Related occupations",71
Clinical Research Coordinators,"Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.
Related occupations",68
Clinical Research Coordinators,"Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.
Related occupations",65
Clinical Research Coordinators,"Register protocol patients with appropriate statistical centers as required.
Related occupations",62
Clinical Research Coordinators,"Solicit industry-sponsored trials through contacts and professional organizations.
Related occupations",56
Clinical Research Coordinators,"Participate in preparation and management of research budgets and monetary disbursements.
Related occupations",52
Coaches and Scouts,"Plan, organize, and conduct practice sessions.
Related occupations",90
Coaches and Scouts,"Provide training direction, encouragement, motivation, and nutritional advice to prepare athletes for games, competitive events, or tours.
Related occupations",88
Coaches and Scouts,"Adjust coaching techniques, based on the strengths and weaknesses of athletes.
Related occupations",86
Coaches and Scouts,"Instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.
Related occupations",85
Coaches and Scouts,"Plan strategies and choose team members for individual games or sports seasons.
Related occupations",85
Coaches and Scouts,"Monitor the academic eligibility of student athletes.
Related occupations",83
Coaches and Scouts,"Counsel student athletes on academic, athletic, and personal issues.
Related occupations",83
Coaches and Scouts,"Analyze the strengths and weaknesses of opposing teams to develop game strategies.
Related occupations",83
Coaches and Scouts,"Coordinate travel arrangements and travel with team to away contests.
Related occupations",80
Coaches and Scouts,"Evaluate athletes' skills and review performance records to determine their fitness and potential in a particular area of athletics.
Related occupations",79
Coaches and Scouts,"Monitor athletes' use of equipment to ensure safe and proper use.
Related occupations",79
Coaches and Scouts,"Keep abreast of changing rules, techniques, technologies, and philosophies relevant to their sport.
Related occupations",77
Coaches and Scouts,"Explain and enforce safety rules and regulations.
Related occupations",77
Coaches and Scouts,"Contact the parents of players to provide information and answer questions.
Related occupations",71
Coaches and Scouts,"Arrange and conduct sports-related activities, such as training camps, skill-improvement courses, clinics, and pre-season try-outs.
Related occupations",66
Coaches and Scouts,"Explain and demonstrate the use of sports and training equipment, such as trampolines or weights.
Related occupations",65
Coaches and Scouts,"Perform activities that support a team or a specific sport, such as participating in community outreach activities, meeting with media representatives, and appearing at fundraising events.
Related occupations",60
Coaches and Scouts,"Plan and direct physical conditioning programs that will enable athletes to achieve maximum performance.
Related occupations",80
Coaches and Scouts,"Identify and recruit potential athletes by sending recruitment letters, meeting with recruits, and arranging and offering incentives, such as athletic scholarships.
Related occupations",79
Coaches and Scouts,"Hire, supervise, and work with extended coaching staff.
Related occupations",75
Coaches and Scouts,"Serve as organizer, leader, instructor, or referee for outdoor and indoor games, such as volleyball, football, and soccer.
Related occupations",75
Coaches and Scouts,"Teach instructional courses and advise students.
Related occupations",73
Coaches and Scouts,"Oversee the development and management of the sports program budget and fundraising activities.
Related occupations",69
Coaches and Scouts,"Develop and arrange competition schedules and programs.
Related occupations",69
Coaches and Scouts,"Keep and review paper, computerized, and video records of athlete, team, and opposing team performance.
Related occupations",69
Coaches and Scouts,"File scouting reports that detail player assessments, provide recommendations on athlete recruitment, and identify locations and individuals to be targeted for future recruitment efforts.
Related occupations",66
Coaches and Scouts,"Select, acquire, store, and issue equipment and other materials as necessary.
Related occupations",61
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Dispose of hazardous waste in an appropriate manner.
Related occupations",86
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Hold or position spray guns to direct spray onto articles.
Related occupations",85
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Spray prepared surfaces with specified amounts of primers and decorative or finish coatings.
Related occupations",83
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Monitor painting operations to identify flaws, such as blisters or streaks, and correct their causes.
Related occupations",82
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Disassemble, clean, and reassemble sprayers or power equipment, using solvents, wire brushes, and cloths.
Related occupations",82
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Fill hoppers, reservoirs, troughs, or pans with material used to coat, paint, or spray, using conveyors or pails.
Related occupations",82
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Clean equipment and work areas.
Related occupations",82
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Apply rust-resistant undercoats and caulk and seal seams.
Related occupations",79
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Start and stop operation of machines, using levers or buttons.
Related occupations",79
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Determine paint flow, viscosity, and coating quality by performing visual inspections, or by using viscometers.
Related occupations",77
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Attach hoses or nozzles to machines, using wrenches and pliers, and make adjustments to obtain the proper dispersion of spray.
Related occupations",76
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Turn dials, handwheels, valves, or switches to regulate conveyor speeds, machine temperature, air pressure and circulation, and the flow or spray of coatings or paints.
Related occupations",76
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Observe machine gauges and equipment operation to detect defects or deviations from standards, and make adjustments as necessary.
Related occupations",74
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Examine, measure, weigh, or test sample products to ensure conformance to specifications.
Related occupations",71
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Buff and wax the finished paintwork.
Related occupations",69
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Use brush to hand-paint areas in need of retouching or unreachable with a spray gun.
Related occupations",65
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Thread or feed items or products through or around machine rollers and dryers.
Related occupations",82
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Weigh or measure chemicals, coatings, or paints before adding them to machines.
Related occupations",80
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Operate auxiliary machines or equipment used in coating or painting processes.
Related occupations",77
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Remove materials, parts, or workpieces from painting or coating machines, using hand tools.
Related occupations",77
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Record operational data on specified forms.
Related occupations",76
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Operate lifting or moving devices to move equipment or materials to access areas to be painted.
Related occupations",75
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Set up portable equipment, such as ventilators, exhaust units, ladders, or scaffolding.
Related occupations",72
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Adjust controls on infrared ovens, heat lamps, portable ventilators, or exhaust units to speed the drying of surfaces between coats.
Related occupations",Not available
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Apply primer over any repairs made to surfaces.
Related occupations",Not available
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Fill small dents or scratches with body fillers and smooth surfaces to prepare for painting.
Related occupations",Not available
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Mix paints to match color specifications or original colors, stirring or thinning paints, using spatulas or power mixing equipment.
Related occupations",Not available
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Remove grease, dirt, paint, or rust from surfaces in preparation for paint application, using abrasives, solvents, brushes, blowtorches, washing tanks, or sandblasters.
Related occupations",Not available
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Sand and apply sealer to properly dried finish.
Related occupations",Not available
"Coil Winders, Tapers, and Finishers","Operate or tend wire-coiling machines to wind wire coils used in electrical components such as resistors and transformers, and in electrical equipment and instruments such as bobbins and generators.
Related occupations",90
"Coil Winders, Tapers, and Finishers","Attach, alter, and trim materials such as wire, insulation, and coils, using hand tools.
Related occupations",86
"Coil Winders, Tapers, and Finishers","Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers.
Related occupations",85
"Coil Winders, Tapers, and Finishers","Review work orders and specifications to determine materials needed and types of parts to be processed.
Related occupations",85
"Coil Winders, Tapers, and Finishers","Select and load materials such as workpieces, objects, and machine parts onto equipment used in coiling processes.
Related occupations",81
"Coil Winders, Tapers, and Finishers","Record production and operational data on specified forms.
Related occupations",81
"Coil Winders, Tapers, and Finishers","Stop machines to remove completed components, using hand tools.
Related occupations",69
"Coil Winders, Tapers, and Finishers","Examine and test wired electrical components such as motors, armatures, and stators, using measuring devices, and record test results.
Related occupations",85
"Coil Winders, Tapers, and Finishers","Line slots with sheet insulation, and insert coils into slots.
Related occupations",77
"Coil Winders, Tapers, and Finishers","Apply solutions or paints to wired electrical components, using hand tools, and bake components.
Related occupations",72
"Coil Winders, Tapers, and Finishers","Disassemble and assemble motors, and repair and maintain electrical components and machinery parts, using hand tools.
Related occupations",68
"Coin, Vending, and Amusement Machine Servicers and Repairers","Fill machines with products, ingredients, money, and other supplies.
Related occupations",86
"Coin, Vending, and Amusement Machine Servicers and Repairers","Inspect machines and meters to determine causes of malfunctions and fix minor problems such as jammed bills or stuck products.
Related occupations",83
"Coin, Vending, and Amusement Machine Servicers and Repairers","Test machines to determine proper functioning.
Related occupations",80
"Coin, Vending, and Amusement Machine Servicers and Repairers","Replace malfunctioning parts, such as worn magnetic heads on automatic teller machine (ATM) card readers.
Related occupations",77
"Coin, Vending, and Amusement Machine Servicers and Repairers","Maintain records of machine maintenance and repair.
Related occupations",76
"Coin, Vending, and Amusement Machine Servicers and Repairers","Clean and oil machine parts.
Related occupations",74
"Coin, Vending, and Amusement Machine Servicers and Repairers","Order parts needed for machine repairs.
Related occupations",72
"Coin, Vending, and Amusement Machine Servicers and Repairers","Adjust and repair coin, vending, or amusement machines and meters and replace defective mechanical and electrical parts, using hand tools, soldering irons, and diagrams.
Related occupations",70
"Coin, Vending, and Amusement Machine Servicers and Repairers","Record transaction information on forms or logs, and notify designated personnel of discrepancies.
Related occupations",69
"Coin, Vending, and Amusement Machine Servicers and Repairers","Keep records of merchandise distributed and money collected.
Related occupations",87
"Coin, Vending, and Amusement Machine Servicers and Repairers","Collect coins and bills from machines, prepare invoices, and settle accounts with concessionaires.
Related occupations",82
"Coin, Vending, and Amusement Machine Servicers and Repairers","Make service calls to maintain and repair machines.
Related occupations",78
"Coin, Vending, and Amusement Machine Servicers and Repairers","Adjust machine pressure gauges and thermostats.
Related occupations",77
"Coin, Vending, and Amusement Machine Servicers and Repairers","Disassemble and assemble machines, according to specifications and using hand and power tools.
Related occupations",67
"Coin, Vending, and Amusement Machine Servicers and Repairers","Contact other repair personnel or make arrangements for the removal of machines in cases where major repairs are required.
Related occupations",67
"Coin, Vending, and Amusement Machine Servicers and Repairers","Transport machines to installation sites.
Related occupations",64
"Coin, Vending, and Amusement Machine Servicers and Repairers","Refer to manuals and wiring diagrams to gather information needed to repair machines.
Related occupations",63
"Coin, Vending, and Amusement Machine Servicers and Repairers","Install machines, making the necessary water and electrical connections in compliance with codes.
Related occupations",61
Commercial and Industrial Designers,"Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting instruments, paints and brushes, or computer-aided design equipment.
Related occupations",85
Commercial and Industrial Designers,"Modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.
Related occupations",84
Commercial and Industrial Designers,"Evaluate feasibility of design ideas, based on factors such as appearance, safety, function, serviceability, budget, production costs/methods, and market characteristics.
Related occupations",77
Commercial and Industrial Designers,"Confer with engineering, marketing, production, or sales departments, or with customers, to establish and evaluate design concepts for manufactured products.
Related occupations",74
Commercial and Industrial Designers,"Present designs and reports to customers or design committees for approval and discuss need for modification.
Related occupations",74
Commercial and Industrial Designers,"Research production specifications, costs, production materials, and manufacturing methods and provide cost estimates and itemized production requirements.
Related occupations",67
Commercial and Industrial Designers,"Direct and coordinate the fabrication of models or samples and the drafting of working drawings and specification sheets from sketches.
Related occupations",64
Commercial and Industrial Designers,"Investigate product characteristics such as the product's safety and handling qualities, its market appeal, how efficiently it can be produced, and ways of distributing, using, and maintaining it.
Related occupations",61
Commercial and Industrial Designers,"Develop manufacturing procedures and monitor the manufacture of their designs in a factory to improve operations and product quality.
Related occupations",61
Commercial and Industrial Designers,"Participate in new product planning or market research, including studying the potential need for new products.
Related occupations",57
Commercial and Industrial Designers,"Read publications, attend showings, and study competing products and design styles and motifs to obtain perspective and generate design concepts.
Related occupations",52
Commercial and Industrial Designers,"Fabricate models or samples in paper, wood, glass, fabric, plastic, metal, or other materials, using hand or power tools.
Related occupations",51
Commercial and Industrial Designers,"Develop industrial standards and regulatory guidelines.
Related occupations",69
Commercial and Industrial Designers,"Coordinate the look and function of product lines.
Related occupations",65
Commercial and Industrial Designers,"Supervise assistants' work throughout the design process.
Related occupations",56
Commercial and Industrial Designers,"Design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers.
Related occupations",55
Commercial and Industrial Designers,"Advise corporations on issues involving corporate image projects or problems.
Related occupations",23
Commercial Divers,"Take appropriate safety precautions, such as monitoring dive lengths and depths and registering with authorities before diving expeditions begin.
Related occupations",95
Commercial Divers,"Check and maintain diving equipment, such as helmets, masks, air tanks, harnesses, or gauges.
Related occupations",93
Commercial Divers,"Communicate with workers on the surface while underwater, using signal lines or telephones.
Related occupations",90
Commercial Divers,"Descend into water with the aid of diver helpers, using scuba gear or diving suits.
Related occupations",81
Commercial Divers,"Obtain information about diving tasks and environmental conditions.
Related occupations",80
Commercial Divers,"Supervise or train other divers, including hobby divers.
Related occupations",79
Commercial Divers,"Inspect the condition of underwater steel or wood structures.
Related occupations",75
Commercial Divers,"Inspect and test docks, ships, buoyage systems, plant intakes or outflows, or underwater pipelines, cables, or sewers, using closed circuit television, still photography, and testing equipment.
Related occupations",75
Commercial Divers,"Repair ships, bridge foundations, or other structures below the water line, using caulk, bolts, and hand tools.
Related occupations",74
Commercial Divers,"Recover objects by placing rigging around sunken objects, hooking rigging to crane lines, and operating winches, derricks, or cranes to raise objects.
Related occupations",72
Commercial Divers,"Operate underwater video, sonar, recording, or related equipment to investigate underwater structures or marine life.
Related occupations",72
Commercial Divers,"Take test samples or photographs to assess the condition of vessels or structures.
Related occupations",71
Commercial Divers,"Cut and weld steel, using underwater welding equipment, jigs, and supports.
Related occupations",68
Commercial Divers,"Install, inspect, clean, or repair piping or valves.
Related occupations",68
Commercial Divers,"Carry out non-destructive testing, such as tests for cracks on the legs of oil rigs at sea.
Related occupations",67
Commercial Divers,"Install pilings or footings for piers or bridges.
Related occupations",66
Commercial Divers,"Salvage wrecked ships or their cargo, using pneumatic power velocity and hydraulic tools and explosive charges, when necessary.
Related occupations",65
Commercial Divers,"Remove obstructions from strainers or marine railway or launching ways, using pneumatic or power hand tools.
Related occupations",63
Commercial Divers,"Set or guide placement of pilings or sandbags to provide support for structures, such as docks, bridges, cofferdams, or platforms.
Related occupations",63
Commercial Divers,"Perform activities related to underwater search and rescue, salvage, recovery, or cleanup operations.
Related occupations",62
Commercial Divers,"Perform offshore oil or gas exploration or extraction duties, such as conducting underwater surveys or repairing and maintaining drilling rigs or platforms.
Related occupations",65
Commercial Divers,"Drill holes in rock and rig explosives for underwater demolitions.
Related occupations",57
Commercial Divers,"Remove rubbish or pollution from the sea.
Related occupations",56
Commercial Pilots,"Check aircraft prior to flights to ensure that the engines, controls, instruments, and other systems are functioning properly.
Related occupations",99
Commercial Pilots,"Co-pilot aircraft or perform captain's duties, as required.
Related occupations",99
Commercial Pilots,"Consider airport altitudes, outside temperatures, plane weights, and wind speeds and directions to calculate the speed needed to become airborne.
Related occupations",98
Commercial Pilots,"Use instrumentation to pilot aircraft when visibility is poor.
Related occupations",98
Commercial Pilots,"Monitor engine operation, fuel consumption, and functioning of aircraft systems during flights.
Related occupations",96
Commercial Pilots,"Order changes in fuel supplies, loads, routes, or schedules to ensure safety of flights.
Related occupations",95
Commercial Pilots,"Contact control towers for takeoff clearances, arrival instructions, and other information, using radio equipment.
Related occupations",94
Commercial Pilots,"Plan flights according to government and company regulations, using aeronautical charts and navigation instruments.
Related occupations",91
Commercial Pilots,"Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight according to flight plans, regulations, and procedures.
Related occupations",91
Commercial Pilots,"Check baggage or cargo to ensure that it has been loaded correctly.
Related occupations",91
Commercial Pilots,"Obtain and review data such as load weights, fuel supplies, weather conditions, and flight schedules to determine flight plans and identify needed changes.
Related occupations",89
Commercial Pilots,"Conduct in-flight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems.
Related occupations",85
Commercial Pilots,"Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.
Related occupations",84
Commercial Pilots,"Write specified information in flight records, such as flight times, altitudes flown, and fuel consumption.
Related occupations",83
Commercial Pilots,"Coordinate flight activities with ground crews and air traffic control, and inform crew members of flight and test procedures.
Related occupations",82
Commercial Pilots,"Perform minor aircraft maintenance and repair work, or arrange for major maintenance.
Related occupations",79
Commercial Pilots,"Supervise other crew members.
Related occupations",78
Commercial Pilots,"Request changes in altitudes or routes as circumstances dictate.
Related occupations",78
Commercial Pilots,"File instrument flight plans with air traffic control so that flights can be coordinated with other air traffic.
Related occupations",74
Commercial Pilots,"Rescue and evacuate injured persons.
Related occupations",80
Commercial Pilots,"Instruct other pilots and student pilots in aircraft operations.
Related occupations",77
Commercial Pilots,"Fly with other pilots or pilot-license applicants to evaluate their proficiency.
Related occupations",70
Commercial Pilots,"Plan and formulate flight activities and test schedules and prepare flight evaluation reports.
Related occupations",68
Commercial Pilots,"Teach company regulations and procedures to other pilots.
Related occupations",67
"Communications Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.
Related occupations",96
"Communications Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",94
"Communications Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.
Related occupations",92
"Communications Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.
Related occupations",91
"Communications Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as public speaking, media criticism, and oral traditions.
Related occupations",90
"Communications Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.
Related occupations",85
"Communications Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.
Related occupations",84
"Communications Teachers, Postsecondary","Maintain regularly scheduled office hours to advise and assist students.
Related occupations",83
"Communications Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",78
"Communications Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.
Related occupations",78
"Communications Teachers, Postsecondary","Collaborate with colleagues to address teaching and research issues.
Related occupations",74
"Communications Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",69
"Communications Teachers, Postsecondary","Keep abreast of developments and technological advances in the communication field by reading current literature, talking with colleagues, and participating in professional conferences.
Related occupations",67
"Communications Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",65
"Communications Teachers, Postsecondary","Participate in campus and community events.
Related occupations",59
"Communications Teachers, Postsecondary","Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.
Related occupations",57
"Communications Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",56
"Communications Teachers, Postsecondary","Perform administrative duties, such as serving as department head.
Related occupations",78
"Communications Teachers, Postsecondary","Supervise undergraduate or graduate teaching, internship, and research work.
Related occupations",76
"Communications Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",50
"Communications Teachers, Postsecondary","Write grant proposals to procure external research funding.
Related occupations",48
"Communications Teachers, Postsecondary","Provide professional consulting services to government or industry.
Related occupations",28
Community Health Workers,"Maintain updated client records with plans, notes, appropriate forms, or related information.
Related occupations",86
Community Health Workers,"Advise clients or community groups on issues related to improving general health, such as diet or exercise.
Related occupations",75
Community Health Workers,"Identify or contact members of high-risk or otherwise targeted groups, such as members of minority populations, low-income populations, or pregnant women.
Related occupations",70
Community Health Workers,"Contact clients in person, by phone, or in writing to ensure they have completed required or recommended actions.
Related occupations",69
Community Health Workers,"Distribute flyers, brochures, or other informational or educational documents to inform members of a targeted community.
Related occupations",69
Community Health Workers,"Refer community members to needed health services.
Related occupations",68
Community Health Workers,"Attend community meetings or health fairs to understand community issues or build relationships with community members.
Related occupations",61
Community Health Workers,"Perform basic diagnostic procedures, such as blood pressure screening, breast cancer screening, or communicable disease screening.
Related occupations",88
Community Health Workers,"Advise clients or community groups on issues related to diagnostic screenings, such as breast cancer screening, pap smears, glaucoma tests, or diabetes screenings.
Related occupations",77
Community Health Workers,"Advise clients or community groups on issues related to risk or prevention of conditions, such as lead poisoning, human immunodeficiency virus (HIV), prenatal substance abuse, or domestic violence.
Related occupations",76
Community Health Workers,"Administer immunizations or other basic preventive treatments.
Related occupations",76
Community Health Workers,"Identify the particular health care needs of individuals in a community or target area.
Related occupations",75
Community Health Workers,"Advise clients or community groups on issues related to self-care, such as diabetes management.
Related occupations",74
Community Health Workers,"Conduct home visits for pregnant women, newborn infants, or other high-risk individuals to monitor their progress or assess their needs.
Related occupations",74
Community Health Workers,"Transport or accompany clients to scheduled health appointments or referral sites.
Related occupations",73
Community Health Workers,"Advocate for individual or community health needs with government agencies or health service providers.
Related occupations",68
Community Health Workers,"Report incidences of child or elder abuse, neglect, or threats of harm to authorities, as required.
Related occupations",66
Community Health Workers,"Teach classes or otherwise disseminate medical or dental health information to school groups, community groups, or targeted families or individuals, in a manner consistent with cultural norms.
Related occupations",65
Community Health Workers,"Advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.
Related occupations",65
Community Health Workers,"Collect information from individuals to compile vital statistics about the general health of community members.
Related occupations",65
Community Health Workers,"Assist families to apply for social services, including Medicaid or Women, Infants, and Children (WIC).
Related occupations",62
Community Health Workers,"Advise clients or community groups on issues related to social or intellectual development, such as education, childcare, or problem solving.
Related occupations",62
Community Health Workers,"Provide basic health services, such as first aid.
Related occupations",61
Community Health Workers,"Interpret, translate, or provide cultural mediation related to health services or information for community members.
Related occupations",61
Community Health Workers,"Monitor nutrition of children, elderly, or other high-risk groups.
Related occupations",60
Community Health Workers,"Advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.
Related occupations",58
Community Health Workers,"Develop plans or formal contracts for individuals, families, or community groups to improve overall health.
Related occupations",58
Community Health Workers,"Provide feedback to health service providers regarding improving service accessibility or acceptability.
Related occupations",50
Compensation and Benefits Managers,"Direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.
Related occupations",93
Compensation and Benefits Managers,"Design, evaluate, and modify benefits policies to ensure that programs are current, competitive, and in compliance with legal requirements.
Related occupations",92
Compensation and Benefits Managers,"Fulfill all reporting requirements of all relevant government rules and regulations, including the Employee Retirement Income Security Act (ERISA).
Related occupations",90
Compensation and Benefits Managers,"Analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.
Related occupations",87
Compensation and Benefits Managers,"Identify and implement benefits to increase the quality of life for employees by working with brokers and researching benefits issues.
Related occupations",85
Compensation and Benefits Managers,"Manage the design and development of tools to assist employees in benefits selection, and to guide managers through compensation decisions.
Related occupations",81
Compensation and Benefits Managers,"Administer, direct, and review employee benefit programs, including the integration of benefit programs following mergers and acquisitions.
Related occupations",80
Compensation and Benefits Managers,"Mediate between benefits providers and employees, such as by assisting in handling employees' benefits-related questions or taking suggestions.
Related occupations",80
Compensation and Benefits Managers,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.
Related occupations",77
