,Combined Occupation,Best Match in Exposure Scores,Similarity Score
1431,Maintenance workers machinery,"Maintenance Workers, Machinery",1.0000000000000002
1432,Millwrights,Millwrights,1.0
1433,Electrical powerline installers and repairers,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.5243532268814901
1434,Telecommunications line installers and repairers,Telecommunications Line Installers and Repairers,1.0
1435,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
1436,Coin vending and amusement machine servicers and repairers,"Coin, Vending, and Amusement Machine Servicers and Repairers",1.0
1437,Commercial divers,Commercial Divers,1.0000000000000002
1438,Locksmiths and safe repairers,Locksmiths and Safe Repairers,1.0
1439,Manufactured building and mobile home installers,Manufactured Building and Mobile Home Installers,1.0
1440,Riggers,Riggers,1.0
1441,Signal and track switch repairers,Signal and Track Switch Repairers,1.0000000000000002
1442,Helpersinstallation maintenance and repair workers,"Maintenance and Repair Workers, General",0.6330072881171637
1443,Other installation maintenance and repair workers,"Helpers--Installation, Maintenance, and Repair Workers",0.8347919784916806
1444,Firstline supervisorsmanagers of production and operating workers,First-Line Supervisors of Production and Operating Workers,0.5544062833262023
1445,Aircraft structure surfaces rigging and systems assemblers,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1.0000000000000002
1446,Electrical electronics and electromechanical assemblers,Electromechanical Equipment Assemblers,0.6719948037025827
1447,Engine and other machine assemblers,Engine and Other Machine Assemblers,1.0
1448,Structural metal fabricators and fitters,Structural Metal Fabricators and Fitters,1.0
1449,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
1450,Bakers,Bakers,1.0
1451,Butchers and other meat poultry and fish processing workers,"Meat, Poultry, and Fish Cutters and Trimmers",0.5885602699275435
1452,Food and tobacco roasting baking and drying machine operators and tenders,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",1.0
1453,Food batchmakers,Food Batchmakers,1.0000000000000002
1454,Food cooking machine operators and tenders,Food Cooking Machine Operators and Tenders,1.0
1455,Computer control programmers and operators,Computer Programmers,0.7591279681950722
1456,Extruding and drawing machine setters operators and tenders metal and plastic,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",1.0
1457,Forging machine setters operators and tenders metal and plastic,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1458,Rolling machine setters operators and tenders metal and plastic,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1459,Cutting punching and press machine setters operators and tenders metal and plastic,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1460,Drilling and boring machine tool setters operators and tenders metal and plastic,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1461,Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1462,Lathe and turning machine tool setters operators and tenders metal and plastic,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.9999999999999997
1463,Milling and planing machine setters operators and tenders metal and plastic,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1464,Machinists,Machinists,1.0
1465,Metal furnace and kiln operators and tenders,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.629701142135508
1466,Model makers and patternmakers metal and plastic,"Model Makers, Metal and Plastic",0.8684940286880496
1467,Molders and molding machine setters operators and tenders metal and plastic,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.6493967666683704
1468,Multiple machine tool setters operators and tenders metal and plastic,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1469,Tool and die makers,Tool and Die Makers,1.0000000000000002
1470,Welding soldering and brazing workers,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.8283169303360245
1471,Heat treating equipment setters operators and tenders metal and plastic,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
1472,Layout workers metal and plastic,"Layout Workers, Metal and Plastic",1.0
1473,Plating and coating machine setters operators and tenders metal and plastic,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.869321226484487
1474,Tool grinders filers and sharpeners,"Tool Grinders, Filers, and Sharpeners",1.0
1475,Job printers,"Compensation, Benefits, and Job Analysis Specialists",0.30575179207410685
1476,Prepress technicians and workers,Prepress Technicians and Workers,1.0000000000000002
1477,Printing machine operators,Printing Press Operators,0.6809571125544839
1478,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
1479,Pressers textile garment and related materials,"Pressers, Textile, Garment, and Related Materials",1.0
1480,Sewing machine operators,Sewing Machine Operators,1.0
1481,Shoe and leather workers and repairers,Shoe and Leather Workers and Repairers,1.0000000000000002
1482,Shoe machine operators and tenders,Shoe Machine Operators and Tenders,1.0000000000000002
1483,Tailors dressmakers and sewers,"Tailors, Dressmakers, and Custom Sewers",0.8128293858380296
1484,Textile bleaching and dyeing machine operators and tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,1.0000000000000002
1485,Textile cutting machine setters operators and tenders,"Textile Cutting Machine Setters, Operators, and Tenders",1.0000000000000002
1486,Textile knitting and weaving machine setters operators and tenders,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",1.0000000000000002
1487,Textile winding twisting and drawing out machine setters operators and tenders,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",1.0
1488,Extruding and forming machine setters operators and tenders synthetic and glass fibers,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",1.0
1489,Fabric and apparel patternmakers,Fabric and Apparel Patternmakers,1.0000000000000002
1490,Upholsterers,Upholsterers,1.0
1491,Textile apparel and furnishings workers all other,Fabric and Apparel Patternmakers,0.30470446191651074
1492,Cabinetmakers and bench carpenters,Cabinetmakers and Bench Carpenters,1.0
1493,Furniture finishers,Furniture Finishers,1.0
1494,Model makers and patternmakers wood,"Model Makers, Wood",0.8667831146933598
1495,Sawing machine setters operators and tenders wood,"Sawing Machine Setters, Operators, and Tenders, Wood",1.0000000000000002
1496,Woodworking machine setters operators and tenders except sawing,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",1.0
1497,Power plant operators distributors and dispatchers,Power Distributors and Dispatchers,0.8636771763475458
1498,Stationary engineers and boiler operators,Stationary Engineers and Boiler Operators,1.0
1499,Water and liquid waste treatment plant and system operators,Water and Wastewater Treatment Plant and System Operators,0.6541853570266444
1500,Miscellaneous plant and system operators,Chemical Plant and System Operators,0.7500871711224125
1501,Chemical processing machine setters operators and tenders,Chemical Equipment Operators and Tenders,0.6238584464035057
1502,Crushing grinding polishing mixing and blending workers,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.6215436628930631
1503,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
1504,Extruding forming pressing and compacting machine setters operators and tenders,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1.0
1505,Furnace kiln oven drier and kettle operators and tenders,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1.0
1506,Inspectors testers sorters samplers and weighers,"Inspectors, Testers, Sorters, Samplers, and Weighers",1.0000000000000002
1507,Jewelers and precious stone and metal workers,Jewelers and Precious Stone and Metal Workers,1.0000000000000004
1508,Medical dental and ophthalmic laboratory technicians,Ophthalmic Laboratory Technicians,0.7775690174884949
1509,Packaging and filling machine operators and tenders,Packaging and Filling Machine Operators and Tenders,1.0
1510,Painting workers,"Painting, Coating, and Decorating Workers",0.5457513290758276
1511,Photographic process workers and processing machine operators,Photographic Process Workers and Processing Machine Operators,1.0
1512,Semiconductor processors,Semiconductor Processing Technicians,0.5746037160592703
1513,Cementing and gluing machine operators and tenders,Shoe Machine Operators and Tenders,0.3345320551451999
1514,Cleaning washing and metal pickling equipment operators and tenders,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",1.0000000000000004
1515,Cooling and freezing equipment operators and tenders,Cooling and Freezing Equipment Operators and Tenders,1.0
1516,Etchers and engravers,Etchers and Engravers,1.0
1517,Molders shapers and casters except metal and plastic,"Molders, Shapers, and Casters, Except Metal and Plastic",1.0000000000000004
1518,Paper goods machine setters operators and tenders,"Paper Goods Machine Setters, Operators, and Tenders",1.0
1519,Tire builders,Tire Builders,1.0
1520,Production workers all other,Helpers--Production Workers,0.5449421326078258
1521,Supervisors transportation and material moving workers,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.5329465318138853
1522,Aircraft pilots and flight engineers,"Airline Pilots, Copilots, and Flight Engineers",0.5497121679812816
1523,Air traffic controllers and airfield operations specialists,Air Traffic Controllers,0.7472455007227425
1524,Ambulance drivers and attendants except emergency medical technicians,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1.0
1525,Bus drivers,"Bus Drivers, Transit and Intercity",0.6194711776797484
1526,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
1527,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
1528,Locomotive engineers and operators,Locomotive Engineers,0.9150814468198241
1529,Railroad brake signal and switch operators,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0.7850020690055327
1530,Railroad conductors and yardmasters,Railroad Conductors and Yardmasters,1.0000000000000002
1531,Subway streetcar and other rail transportation workers,Subway and Streetcar Operators,0.7099306847058662
1532,Sailors and marine oilers,Sailors and Marine Oilers,1.0
1533,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
1534,Ship engineers,Ship Engineers,1.0000000000000002
1535,Bridge and lock tenders,Bridge and Lock Tenders,1.0000000000000002
1536,Parking lot attendants,Parking Attendants,0.7301691339914256
1537,Service station attendants,Automotive and Watercraft Service Attendants,0.3733840133608312
1538,Transportation inspectors,Transportation Inspectors,1.0
1539,Other transportation workers,Transportation Engineers,0.5756484536771793
1540,Conveyor operators and tenders,Conveyor Operators and Tenders,1.0
1541,Crane and tower operators,Crane and Tower Operators,1.0000000000000002
1542,Dredge excavating and loading machine operators,Dredge Operators,0.5857396166265703
1543,Hoist and winch operators,Hoist and Winch Operators,1.0
1544,Industrial truck and tractor operators,Industrial Truck and Tractor Operators,0.9999999999999999
1545,Cleaners of vehicles and equipment,Cleaners of Vehicles and Equipment,1.0000000000000004
1546,Laborers and freight stock and material movers hand,"Laborers and Freight, Stock, and Material Movers, Hand",1.0000000000000002
1547,Machine feeders and offbearers,Machine Feeders and Offbearers,1.0000000000000002
1548,Packers and packagers hand,"Packers and Packagers, Hand",1.0000000000000002
1549,Pumping station operators,Gas Compressor and Gas Pumping Station Operators,0.5782957557582663
1550,Refuse and recyclable material collectors,Refuse and Recyclable Material Collectors,1.0000000000000002
1551,Shuttle car operators,Rail Car Repairers,0.4329445731859574
1552,Tank car truck and ship loaders,"Tank Car, Truck, and Ship Loaders",1.0
1553,Material moving workers all other,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.44346289082667845
1554,Chief executives,Chief Executives,1.0
1555,General and operations managers,General and Operations Managers,1.0000000000000002
1556,Advertising and promotions managers,Advertising and Promotions Managers,1.0000000000000002
1557,Marketing and sales managers,Marketing Managers,0.8337915019402367
1558,Public relations and fundraising managers,Public Relations Specialists,0.6524214552276155
1559,Administrative services managers,Administrative Services Managers,1.0
1560,Computer and information systems managers,Computer and Information Systems Managers,1.0
1561,Financial managers,Financial Managers,1.0
1562,Compensation and benefits managers,Compensation and Benefits Managers,1.0000000000000002
1563,Human resources managers,Human Resources Managers,1.0
1564,Training and development managers,Training and Development Managers,1.0000000000000002
1565,Industrial production managers,Industrial Production Managers,1.0
1566,Purchasing managers,Purchasing Managers,0.9999999999999998
1567,Transportation storage and distribution managers,"Transportation, Storage, and Distribution Managers",1.0
1568,Farmers ranchers and other agricultural managers,"Farmers, Ranchers, and Other Agricultural Managers",1.0000000000000002
1569,Construction managers,Construction Managers,1.0
1570,Education administrators,"Education Administrators, Postsecondary",0.8187131410520256
1571,Architectural and engineering managers,Architectural and Engineering Managers,1.0000000000000002
1572,Food service managers,Food Service Managers,1.0
1573,Funeral service managers,Funeral Home Managers,0.6783352822526546
1574,Gaming managers,Sales Managers,0.3392873923474356
1575,Lodging managers,Lodging Managers,1.0
1576,Medical and health services managers,Medical and Health Services Managers,1.0
1577,Natural sciences managers,Natural Sciences Managers,1.0
1578,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
1579,Property real estate and community association managers,"Property, Real Estate, and Community Association Managers",1.0000000000000002
1580,Social and community service managers,Social and Community Service Managers,1.0000000000000002
1581,Emergency management directors,Emergency Management Directors,1.0
1582,Managers all other,Sales Managers,0.3696097589298694
1583,Agents and business managers of artists performers and athletes,"Agents and Business Managers of Artists, Performers, and Athletes",1.0
1584,Buyers and purchasing agents farm products,"Buyers and Purchasing Agents, Farm Products",1.0000000000000002
1585,Wholesale and retail buyers except farm products,"Wholesale and Retail Buyers, Except Farm Products",1.0
1586,Purchasing agents except wholesale retail and farm products,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.0
1587,Claims adjusters appraisers examiners and investigators,"Claims Adjusters, Examiners, and Investigators",0.892927966236575
1588,Compliance officers,Compliance Officers,1.0000000000000002
1589,Cost estimators,Cost Estimators,1.0000000000000002
1590,Human resources workers,Human Resources Managers,0.8591305019818227
1591,Compensation benefits and job analysis specialists,"Compensation, Benefits, and Job Analysis Specialists",1.0
1592,Training and development specialists,Training and Development Specialists,1.0000000000000002
1593,Logisticians,Logisticians,1.0
1594,Management analysts,Management Analysts,1.0
1595,Meeting convention and event planners,"Meeting, Convention, and Event Planners",1.0
1596,Fundraisers,Fundraisers,1.0
1597,Market research analysts and marketing specialists,Market Research Analysts and Marketing Specialists,1.0000000000000002
1598,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
1599,Accountants and auditors,Accountants and Auditors,1.0
1600,Appraisers and assessors of real estate,Appraisers and Assessors of Real Estate,1.0
1601,Budget analysts,Budget Analysts,1.0
1602,Credit analysts,Credit Analysts,1.0000000000000002
1603,Financial analysts,Financial Quantitative Analysts,0.6312311483694615
1604,Personal financial advisors,Personal Financial Advisors,1.0000000000000002
1605,Insurance underwriters,Insurance Underwriters,1.0
1606,Financial examiners,Financial Examiners,1.0
1607,Credit counselors and loan officers,Credit Counselors,0.7193326010255139
1608,Tax examiners and collectors and revenue agents,"Tax Examiners and Collectors, and Revenue Agents",1.0000000000000002
1609,Tax preparers,Tax Preparers,1.0000000000000002
1610,Financial specialists all other,Financial Managers,0.4781371863912042
1611,Computer and information research scientists,Computer and Information Research Scientists,1.0000000000000002
1612,Computer systems analysts,Computer Systems Analysts,1.0000000000000004
1613,Information security analysts,Information Security Analysts,1.0
1614,Computer programmers,Computer Programmers,1.0
1615,Software developers applications and systems software,Software Quality Assurance Analysts and Testers,0.3467228158548382
1616,Web developers,Web Developers,1.0000000000000002
1617,Computer support specialists,Computer Network Support Specialists,0.801152998211987
1618,Database administrators,Database Administrators,1.0
1619,Network and computer systems administrators,Network and Computer Systems Administrators,1.0000000000000002
1620,Computer network architects,Computer Network Architects,1.0
1621,Actuaries,Actuaries,1.0
1622,Mathematicians,Mathematicians,1.0
1623,Operations research analysts,Operations Research Analysts,1.0
1624,Statisticians,Statisticians,1.0
1625,Architects except naval,"Architects, Except Landscape and Naval",0.7983719378548353
1626,Surveyors cartographers and photogrammetrists,Cartographers and Photogrammetrists,0.8228126241379894
1627,Aerospace engineers,Aerospace Engineers,1.0
1628,Agricultural engineers,Agricultural Engineers,1.0000000000000002
1629,Biomedical engineers,Bioengineers and Biomedical Engineers,0.7181367618998216
1630,Chemical engineers,Chemical Engineers,1.0
1631,Civil engineers,Civil Engineers,1.0
1632,Computer hardware engineers,Computer Hardware Engineers,1.0
1633,Electrical and electronics engineers,Electrical Engineers,0.7515490803265313
1634,Environmental engineers,Environmental Engineers,1.0000000000000002
1635,Industrial engineers including health and safety,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.6434148506298756
1636,Marine engineers and naval architects,Marine Engineers and Naval Architects,1.0000000000000002
1637,Materials engineers,Materials Engineers,1.0
1638,Mechanical engineers,Mechanical Engineers,1.0
1639,Mining and geological engineers including mining safety engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",1.0
1640,Nuclear engineers,Nuclear Engineers,1.0
1641,Petroleum engineers,Petroleum Engineers,1.0000000000000002
1642,Engineers all other,Sales Engineers,0.39211122589104425
1643,Drafters,Mechanical Drafters,0.6831504924112921
1644,Engineering technicians except drafters,Automotive Engineering Technicians,0.5164133799321178
1645,Surveying and mapping technicians,Surveying and Mapping Technicians,1.0
1646,Agricultural and food scientists,Food Scientists and Technologists,0.637855208331819
1647,Biological scientists,Biological Technicians,0.6886448989662532
1648,Conservation scientists and foresters,Conservation Scientists,0.7399173304552942
1649,Medical scientists,"Medical Scientists, Except Epidemiologists",0.5828237945471899
1650,Life scientists all other,Animal Scientists,0.3212147287554923
1651,Astronomers and physicists,Astronomers,0.6984036707053972
1652,Atmospheric and space scientists,Atmospheric and Space Scientists,1.0
1653,Chemists and materials scientists,Materials Scientists,0.719391524229903
1654,Environmental scientists and geoscientists,"Environmental Scientists and Specialists, Including Health",0.5098466487621458
1655,Physical scientists all other,Physical Therapists,0.4632431824163994
1656,Economists,Economists,1.0
1657,Survey researchers,Survey Researchers,1.0000000000000002
1658,Psychologists,School Psychologists,0.7485641654266626
1659,Urban and regional planners,Urban and Regional Planners,1.0000000000000002
1660,Miscellaneous social scientists and related workers including sociologists,Sociologists,0.5259571584923403
1661,Agricultural and food science technicians,Food Science Technicians,0.8367657884266988
1662,Biological technicians,Biological Technicians,1.0000000000000002
1663,Chemical technicians,Chemical Technicians,1.0000000000000002
1664,Geological and petroleum technicians,Petroleum Engineers,0.5509457918717627
1665,Nuclear technicians,Nuclear Technicians,1.0000000000000002
1666,Social science research assistants,Social Science Research Assistants,1.0000000000000002
1667,Miscellaneous life physical and social science technicians,Food Science Technicians,0.43216125105844466
1668,Counselors,Credit Counselors,0.6916233721809506
1669,Social workers,Healthcare Social Workers,0.6628202289373267
1670,Probation officers and correctional treatment specialists,Probation Officers and Correctional Treatment Specialists,1.0000000000000002
1671,Social and human service assistants,Social and Human Service Assistants,1.0000000000000002
1672,Miscellaneous community and social service specialists including health educators and community health workers,Community Health Workers,0.7561741100295496
1673,Clergy,Clergy,1.0
1674,Directors religious activities and education,"Directors, Religious Activities and Education",1.0
1675,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
1676,Lawyers,Lawyers,1.0
1677,Judicial law clerks,Judicial Law Clerks,1.0000000000000002
1678,Judges magistrates and other judicial workers,"Judges, Magistrate Judges, and Magistrates",0.6490951958508347
1679,Paralegals and legal assistants,Paralegals and Legal Assistants,1.0000000000000002
1680,Miscellaneous legal support workers,Paralegals and Legal Assistants,0.35858257478176275
1681,Postsecondary teachers,"Education Teachers, Postsecondary",0.8058568897882079
1682,Preschool and kindergarten teachers,"Special Education Teachers, Preschool",0.5352483629376134
1683,Elementary and middle school teachers,"Special Education Teachers, Middle School",0.6270104994319234
1684,Secondary school teachers,"Special Education Teachers, Secondary School",0.7635691318379477
1685,Special education teachers,"Special Education Teachers, Preschool",0.8218997345797203
1686,Other teachers and instructors,"Nursing Instructors and Teachers, Postsecondary",0.630339662652457
1687,Archivists curators and museum technicians,Curators,0.5469498158392657
1688,Librarians,Librarians and Media Collections Specialists,0.5392198205470973
1689,Library technicians,Library Technicians,1.0
1690,Teacher assistants,Medical Assistants,0.34343876984154315
1691,Other education training and library workers,Library Technicians,0.44978704971725136
1692,Artists and related workers,Craft Artists,0.4313291677916558
1693,Designers,Graphic Designers,0.6025934521586899
1694,Actors,Actors,1.0
1695,Producers and directors,Producers and Directors,1.0
1696,Athletes coaches umpires and related workers,Coaches and Scouts,0.37496353109746194
1697,Dancers and choreographers,Choreographers,0.6984036707053972
1698,Musicians singers and related workers,Musicians and Singers,0.8784380375749897
1699,Announcers,Broadcast Announcers and Radio Disc Jockeys,0.4546294286709297
1700,News analysts reporters and correspondents,"News Analysts, Reporters, and Journalists",0.6582513110434283
1701,Public relations specialists,Public Relations Specialists,1.0
1702,Editors,Editors,1.0
1703,Technical writers,Technical Writers,1.0000000000000002
1704,Writers and authors,Writers and Authors,1.0
1705,Miscellaneous media and communication workers,Media Technical Directors/Managers,0.3138030303635681
1706,Miscellaneous media and communications equipment workers including broadcast and sound engineering technicians and radio operators,Sound Engineering Technicians,0.5123737260597396
1707,Photographers,Photographers,1.0
1708,Television video and motion picture camera operators and editors,"Camera Operators, Television, Video, and Film",0.6289256262614676
1709,Chiropractors,Chiropractors,1.0
1710,Dentists,"Dentists, General",0.7639215032757366
1711,Dietitians and nutritionists,Dietitians and Nutritionists,1.0
1712,Optometrists,Optometrists,1.0
1713,Pharmacists,Pharmacists,1.0
1714,Physicians and surgeons,"Physicians, Pathologists",0.4530831751408542
1715,Physician assistants,Physician Assistants,1.0
1716,Podiatrists,Podiatrists,1.0
1717,Audiologists,Audiologists,1.0
1718,Occupational therapists,Occupational Therapists,1.0
1719,Physical therapists,Physical Therapists,1.0
1720,Radiation therapists,Radiation Therapists,1.0
1721,Recreational therapists,Recreational Therapists,0.9999999999999998
1722,Respiratory therapists,Respiratory Therapists,1.0
1723,Speechlanguage pathologists,"Physicians, Pathologists",0.5126559254429967
1724,Miscellaneous therapists including exercise physiologists,Exercise Physiologists,0.7512481653048282
1725,Veterinarians,Veterinarians,1.0
1726,Registered nurses,Registered Nurses,1.0
1727,Nurse anesthetists,Nurse Anesthetists,1.0
1728,Nurse midwives,Nurse Midwives,1.0000000000000002
1729,Nurse practitioners,Nurse Practitioners,1.0
1730,Health diagnosing and treating practitioners all other,Nurse Practitioners,0.34181459686298626
1731,Clinical laboratory technologists and technicians,Medical and Clinical Laboratory Technologists,0.8505418455482474
1732,Dental hygienists,Dental Hygienists,1.0
1733,Diagnostic related technologists and technicians,Veterinary Technologists and Technicians,0.428687467335048
1734,Emergency medical technicians and paramedics,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.4818217635081018
1735,Health practitioner support technologists and technicians,Veterinary Technologists and Technicians,0.3678727810894935
1736,Licensed practical and licensed vocational nurses,Licensed Practical and Licensed Vocational Nurses,1.0000000000000002
1737,Medical records and health information technicians,Medical and Health Services Managers,0.4304301856020409
1738,Opticians dispensing,"Opticians, Dispensing",1.0000000000000002
1739,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
1740,Nursing psychiatric and home health aides,Home Health Aides,0.693364534902228
1741,Occupational therapy assistants and aides,Occupational Therapy Aides,0.9170892023304107
1742,Physical therapist assistants and aides,Physical Therapist Aides,0.9124908152700336
1743,Massage therapists,Massage Therapists,1.0
1744,Dental assistants,Dental Assistants,1.0
1745,Medical assistants,Medical Assistants,1.0
1746,Medical transcriptionists,Medical Transcriptionists,1.0000000000000002
1747,Pharmacy aides,Pharmacy Aides,1.0
1748,Veterinary assistants and laboratory animal caretakers,Veterinary Assistants and Laboratory Animal Caretakers,1.0
1749,Phlebotomists,Phlebotomists,1.0
1750,Healthcare support workers all other including medical equipment preparers,Medical Equipment Preparers,0.6242369930776939
1751,Firstline supervisors of correctional officers,First-Line Supervisors of Correctional Officers,0.677469596185029
1752,Firstline supervisors of police and detectives,First-Line Supervisors of Police and Detectives,0.6987907281475497
1753,Firstline supervisors of fire fighting and prevention workers,Fire-Prevention and Protection Engineers,0.45118502655288695
1754,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
1755,Firefighters,Firefighters,1.0
1756,Fire inspectors,Fire Inspectors and Investigators,0.7962110761832079
1757,Bailiffs correctional officers and jailers,Correctional Officers and Jailers,0.836526518726367
1758,Detectives and criminal investigators,Detectives and Criminal Investigators,1.0000000000000002
1759,Fish and game wardens,Fish and Game Wardens,1.0
1760,Parking enforcement workers,Parking Enforcement Workers,1.0000000000000002
1761,Police and sheriff patrol officers,Police and Sheriff's Patrol Officers,1.0000000000000002
1762,Transit and railroad police,Transit and Railroad Police,1.0
1763,Animal control workers,Animal Control Workers,1.0
1764,Private detectives and investigators,Private Detectives and Investigators,1.0000000000000002
1765,Security guards and gaming surveillance officers,Security Guards,0.6229441093090686
1766,Crossing guards,Crossing Guards and Flaggers,0.7706412512061418
1767,Transportation security screeners,Transportation Security Screeners,1.0000000000000002
1768,Lifeguards and other recreational and all other protective service workers,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.7119275284147291
1769,Chefs and head cooks,Chefs and Head Cooks,1.0000000000000002
1770,Firstline supervisors of food preparation and serving workers,First-Line Supervisors of Food Preparation and Serving Workers,0.7461088174818412
1771,Cooks,"Cooks, Restaurant",0.6703386459144159
1772,Food preparation workers,Food Preparation Workers,1.0000000000000002
1773,Bartenders,Bartenders,1.0
1774,Combined food preparation and serving workers including fast food,Food Preparation Workers,0.6189537852196393
1775,Counter attendants cafeteria food concession and coffee shop,Fast Food and Counter Workers,0.3549317596188084
1776,Waiters and waitresses,Waiters and Waitresses,1.0
1777,Food servers nonrestaurant,"Food Servers, Nonrestaurant",1.0000000000000002
1778,Dining room and cafeteria attendants and bartender helpers,Dining Room and Cafeteria Attendants and Bartender Helpers,1.0
1779,Dishwashers,Dishwashers,1.0
1780,Hosts and hostesses restaurant lounge and coffee shop,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.0000000000000002
1781,Food preparation and serving related workers all other,Food Preparation Workers,0.641518932223655
1782,Firstline supervisors of housekeeping and janitorial workers,First-Line Supervisors of Housekeeping and Janitorial Workers,0.7393313056656927
1783,Firstline supervisors of landscaping lawn service and groundskeeping workers,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.8056329889631354
1784,Janitors and building cleaners,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.6324968620562944
1785,Maids and housekeeping cleaners,Maids and Housekeeping Cleaners,1.0000000000000004
1786,Pest control workers,Pest Control Workers,1.0
1787,Grounds maintenance workers,"Maintenance Workers, Machinery",0.43089861008280533
1788,Firstline supervisors of gaming workers,First-Line Supervisors of Personal Service Workers,0.33832739928403077
1789,Firstline supervisors of personal service workers,First-Line Supervisors of Personal Service Workers,0.6599933842649259
1790,Animal trainers,Animal Trainers,1.0
1791,Nonfarm animal caretakers,Animal Caretakers,0.7473378613133359
1792,Gaming services workers,Administrative Services Managers,0.4063889046906599
1793,Motion picture projectionists,Motion Picture Projectionists,1.0
1794,Ushers lobby attendants and ticket takers,"Ushers, Lobby Attendants, and Ticket Takers",1.0
1795,Embalmers and funeral attendants,Funeral Attendants,0.7305941482020781
1796,Morticians undertakers and funeral directors,"Morticians, Undertakers, and Funeral Arrangers",0.7557813110594013
1797,Barbers,Barbers,1.0
1798,Hairdressers hairstylists and cosmetologists,"Hairdressers, Hairstylists, and Cosmetologists",1.0
1799,Baggage porters bellhops and concierges,Baggage Porters and Bellhops,0.8678110098404347
1800,Tour and travel guides,Travel Guides,0.7849277740067981
1801,Childcare workers,Childcare Workers,1.0000000000000002
1802,Personal care aides,Personal Care Aides,1.0000000000000002
1803,Recreation and fitness workers,Recreation Workers,0.7147226553712983
1804,Residential advisors,Residential Advisors,1.0
1805,Personal care and service workers all other,Personal Care Aides,0.6169466130451233
1806,Firstline supervisors of retail sales workers,First-Line Supervisors of Retail Sales Workers,0.6759142113836542
1807,Firstline supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
1808,Cashiers,Cashiers,1.0
1809,Counter and rental clerks,Counter and Rental Clerks,1.0
1810,Parts salespersons,Parts Salespersons,1.0
