Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Marketing Managers,"conduct survey, identify market",conduct survey
Data Entry Keyers,complete document,complete document
Recreational Therapists,develop plan,"establish plan, generate plan, manage plan, identify plan, create plan, construct plan, evaluate plan, produce plan"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",receive reservation,receive communication
Clinical Nurse Specialists,maintain policy,"determine policy, enforce policy, improve policy, manage policy, provide policy, generate policy, implement policy"
Materials Engineers,"replicate characteristic, use computer","use compensation, use bandwidth, use adaptability, use consumption, use spreadsheet, use catalyst, use attribute, use circuit, use messenger, use threshold, use feature, use machine, use simulation, use satisfaction, use translation, use interpolation, use utility, detect use, use ophthalmoscope, use management, use knowledge, use handler, use diffusion, use control, use problem, use mapping, use vocabulary, use interval, use computation, use difficulty, use question, use instantiation, use reconnaissance, use earphone, use estimation, use dilation, use target, use supplementation, use concealment, use repetition, use circumstance, use context, use controller, use quantification, use display, use quantization, intervene use, use multitude, use identification, use agonist, use security, identify use, use replication, use cluster, control use, use fingerprinting, use synchronization, use element, use credential, use description, use domain, use electrocardiogram, use wearable, use excitation, use proxy, use variability, use contrast, use component, use portal, use handle, use heartbeat, use workflow, use switching, use quotient, use waveform, use computer, use instance, use ablation, use electromyography, use repository, use evaluator, use spectrometer, use coherence, use browser, use oscillator, use preview, use science, use network, use tracker, use encryption, use difference, use system, use authorization, use prop, use constraint, use imitation, use principle, use statistic, use parameter, use packaging, use fragment, use processing, use detector, use connectivity, use avalanche, use gradient, use trajectory, facilitate use, use plurality, use clumping, use optimization, modify use, use indicator, use reasoning, use physiology, use fluorescence, classify use, use generator, use tensor, use container, use supervision, use curricula, use microscopy, use personification, use conditioning, use segment, use screen, use recording, use integration, use microscope, use method, quantify use, use conversion, use concatenation, use robot, use emulation, use pointer, use programming, use spectrometry, use perspective, use alignment, use projection, use chromatography, use ledger, use processor, use normalization, use universal, use evolution, use premise, use generation, use decomposition, use illumination, use appliance, use definition, use account, use compound, use transducer, use detection, use sequence, use relevance, use content, use grating, use website, use variant, use pipeline, use wallet, use newsletter, use parallelism, use activity, use bottleneck, use illustration, use assessment, use authentication, use reclassification, use thermography, use picture, use filtration, use configuration, use framework, use mechanism, use disclosure, use insertion, use inversion, use input, use collection, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use spectra, use resonance, use simulator, use understanding, use timing, use counter, use stack, use overlay, use electrolysis, use representation, use primer, use apparatus, use extract, use compression, use architecture, use orchestration, use ordering, use heuristic, use navigation, use propagation, use distillation, use profiling, use subset, use abstract, enable use, use automation, use measure, use application, use running, use correction, use internet, use communication, use representative, use dictionary, use cardiogram, use signature, use reconstruction, use compiler, use technique, use collision, use extractor, use keypad, use transistor, use photograph, use coordinate, use format, use information, use client, use topology, use warping, use catalog, use sensor, use discovery, use interrogation, use modality, use quantum, use analysis, use juxtaposition, use manipulator, use technology, use depolarization, use validation, use platform, use memory, use catheter, use hologram, use layout, use annotation, use override, use tomography, use interface, use thesaurus, use classification, use assembly, use identifier, use surveillance, use dispersion, use library, use capability, use cache, use lithography, use graphic, use preparation, use algorithm, use multiple, use highlight, use positioning, use hierarchy, use equipment, use intermediary, use regression, use spectrum, manage use, use microphone, use characteristic, use indication, use mismatch, use software, use infrastructure, use lexicon, use resource, use fingerprint, use blueprint, use assistant, use coding, use accelerometer, use potential, use comparison, use functionality, use doppler, use satellite, use routine, use variance, use address, use manufacturing, use mirror, use protocol, use neuroscience, use inference, use augmentation, use observation, use intelligence, use transmission, use commodity, use artifact, use coupling, use subsystem, use storage, use decoding, use magnification, use electrode, use learning, use spelling, use prescription, use antagonist, use ontology, use marking, use provider, use collaboration, use oracle, use segmentation, use regularization, use apprenticeship, use scanning, use strategy, use probability, use differentiator, use output, use headphone, use telephone, use solution, use resolution, use implementation, use spectroscopy, use cognition, use sensitizer, optimize use, use equilibrium, use prediction, use replacement, use instruction, use dimension, use drawing, use cryptography, use clustering, use recommendation, use hardware, use qualification, use profile, use retrieval, use formulation, use comprehension, use convolution, use module, use material, use database, use scaling, use foresight, use procedure, use logic, use similarity, use structure, use consistency, use provenance, use antenna, use terminal, use preference, use adjustment, use propensity, use sensitivity, use gateway, use monitoring, use conversation, use metric, use interaction, use playback, use pseudo, use sampling, use ethernet, use accelerator, use perforation, use experience, use particle, use receptivity, use engineering, use tracking, use summarization, use stimulation, use entropy, use program, use packet, use geometry, use matrix, use linkage, use metadata, use stub, use conductance, use device, use template, use camera, use combination, use modulus, use inspection, use reference, use accumulation, use imaging, use frequency, use specification, use ultrasound, use transformer, use partitioning, use computing, use electroencephalogram, use scheduling, use language, use object, use encoding, use vector, use primitive, use classifier, use priming, use transfer, use server, use concept, use personality, use variable, use tending, use consumer, use interoperability, use spline, use exception, use shard, use telemetry, use tachograph, use pharmaceutical, use environment, use sensing, use networks, determine use, use diagram, use synthesis, use certificate, use magnet, monitor use, use modulation, use approach, use operator, use extraction, use nanotube, use background, use visualization, use automobile, use package, use composition, use sample, use dynamic, use approximation, use reinforcement, use recognition, use amplification, use transaction, use product, use factorization, use steering, use descriptor, use design, use transformation, use reset, use balancing, use buffer, use therapeutic, use document, use construct, use envelope, use confidence, use commerce, use extension, use packer, use localization, use exercise, use kernel, use mobile, use allocation, use snapshot, use verification, use substitution, use utterance, use function, use determination, use distribution, use aggregation, use analyzer, use modeling, use evaluation, use tracing, use access, use instrument"
Genetic Counselors,"coordinate plan, request service, counsel literature, consider history","establish plan, prepare plan, manage plan, construct plan, service request, generate plan, characterize plan, execute plan, optimize plan, prompt service, plan transmission, plan conversation, plan resource, plan trajectory, plan configuration, evaluate plan, determine plan, identify plan, request service"
Management Analysts,"implement program, assure compliance","assure compliance, develop program, construct program, commission program, ensure compliance, transform program, establish program, compute program"
"Earth Drillers, Except Oil and Gas","perform maintenance, upgrade work, replace part, build bit","perform rehabilitation, perform adjustment, perform aggregation, perform reconstruction, perform management, perform inspection, perform maintenance"
Forest and Conservation Workers,use digger,"use modality, use beacon, use polishing, use spreadsheet, use manipulator, use attribute, use affinity, use preference, use adjustment, use sensitivity, use catheter, use messenger, use taxonomy, use override, use monitoring, use dispersal, quantify use, use conversion, use surveillance, use conversation, use dispersion, use pseudo, use utility, use sampling, use lithography, use ophthalmoscope, use accelerator, use bladder, use slider, use highlight, use positioning, use receptivity, use handler, use alignment, use hierarchy, use intermediary, use tracking, use diffusion, use plating, use sweep, use problem, use entropy, use nitrogen, use mapping, use microphone, use characteristic, use chromatography, use mismatch, use vocabulary, use ledger, use infrastructure, use phosphor, use linkage, use lexicon, use patch, use universal, indicate use, use premise, use bonding, use stub, use conductance, use fingerprint, use blueprint, use template, use coding, use difficulty, use reference, use accumulation, use reconnaissance, use earphone, use ultrasound, use transformer, use compound, use comparison, use doppler, use concealment, use repetition, use routine, use circumstance, use electroencephalogram, use polygon, use scheduling, use ellipse, use relevance, use manufacturing, intervene use, use grating, use multitude, use encoding, use primitive, use classifier, use priming, use pipeline, use wallet, use augmentation, identify use, use commodity, use parallelism, use artifact, use bottleneck, use cluster, use tending, use fingerprinting, use coupling, use interoperability, use making, use spline, use exception, use configuration, use insertion, use storage, use shard, use credential, use inversion, use decoding, use neighbor, use example, use description, use electrocardiogram, use connection, use tachograph, use pharmaceutical, use correspondence, use wearable, use tetracycline, use sensing, use resonance, use spelling, use understanding, use pruning, use timing, use handle, use heartbeat, use workflow, use stack, use switching, use overlay, use mixture, use marking, use tocopherol, use primer, use instance, use extraction, use apparatus, use uncertainty, use neighborhood, use electromyography, use compression, use background, use extract, use automobile, use regularization, use repository, use ordering, use propagation, use apprenticeship, use coherence, use oscillator, use scanning, use driving, use repertoire, use reinforcement, use differentiator, use distillation, use profiling, use abstract, use adder, use tracker, use running, use headphone, use prop, use constraint, use factorization, use cardiogram, use steering, use signature, use descriptor, use transformation, use balancing, use packaging, use buffer, use therapeutic, use fragment, use sensitizer, use reconstruction, use cleaner, use processing, optimize use, use connectivity, use avalanche, use construct, use pillar, use gradient, use envelope, use equilibrium, use extension, use technique, use trajectory, use replacement, use honeypot, use drawing, facilitate use, use clustering, use exercise, use extractor, use clumping, use hardware, use maze, use sharing, use retrieval, use recovery, use reasoning, use guesser, use comprehension, classify use, use utterance, use generator, use container, use photograph, use scaling, use coordinate, use foresight, use modeling, use planning, use conditioning, use warping, use tracing, use discovery, use consistency"
Agricultural Equipment Operators,"spray fertilizer, control insect, use sprayer","use plating, use washer, use resin, use putty, use reagent, use warping, use mixture, use primer, control nematode, use filter, use container, use cleaner, use clumping"
Millwrights,"use blueprint, determine procedure","use compensation, use bandwidth, use adaptability, use grammar, use consumption, use spreadsheet, use catalyst, use metabolism, use attribute, use messenger, use threshold, use feature, use simulation, use satisfaction, use translation, use predictor, use interpolation, use gesture, use utility, use ophthalmoscope, use change, use management, use phrase, use knowledge, use handler, use diffusion, use plating, use problem, use mapping, use stability, use vocabulary, use interval, use scheduler, indicate use, use computation, use bonding, differentiate procedure, use difficulty, use question, use instantiation, use reconnaissance, use protection, use estimation, use dilation, use target, use asymmetry, use supplementation, use concealment, use repetition, use circumstance, use context, use interest, use ellipse, use controller, use quantification, use expression, use display, use quantization, intervene use, use multitude, use identification, use agonist, identify use, use repeater, use replication, use cluster, use fingerprinting, use synchronization, use element, use planner, use discriminator, use credential, use description, use electrocardiogram, use excitation, use wearable, use proxy, use lattice, use variability, use contrast, use component, use portal, use handle, use heartbeat, use workflow, use switching, use mixture, use quotient, use waveform, use computer, use instance, use ablation, use electromyography, use pattern, use repository, use evaluator, use spectrometer, use occurrence, use coherence, use browser, use oscillator, use script, use preview, use consensus, use tracker, use encryption, use difference, use article, use authorization, use choice, use absorption, use prop, use constraint, use imitation, use response, use principle, use statistic, use parameter, use packaging, use fragment, use criterion, use landmark, use processing, use connectivity, use gradient, use trajectory, facilitate use, use plurality, use clumping, use category, use sharing, use optimization, modify use, use recovery, use indicator, use reasoning, use physiology, use publication, use fluorescence, classify use, use generator, use tensor, use container, use supervision, use curricula, use microscopy, use personification, use conditioning, use segment, use integration, use portion, use delivery, quantify use, use conversion, use concatenation, use imagery, use emulation, use pointer, use programming, use spectrometry, use perspective, use alignment, use vision, use projection, use chromatography, use ledger, use processor, use normalization, use patch, use universal, use evolution, use premise, use decomposition, use illumination, use appliance, use definition, use account, use compound, use detection, use sequence, use relevance, use content, use grating, use website, use variant, use pipeline, use newsletter, use deferral, use parallelism, use activity, use bottleneck, use illustration, use assessment, use authentication, use reclassification, use thermography, use picture, use filtration, use configuration, use framework, use mechanism, use disclosure, use insertion, use reader, use inversion, use input, use collection, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use argument, use spectra, use graph, use resonance, use simulator, use understanding, use timing, use update, use counter, use stack, use overlay, use representation, use primer, use apparatus, use extract, use compression, use architecture, use orchestration, use insight, use ordering, use heuristic, use navigation, use attention, use strength, use propagation, use correlation, use distillation, use profiling, use subset, use abstract, use datum, enable use, use automation, use measure, use application, use correction, use internet, use communication, use contour, use representative, use dictionary, use cardiogram, use signature, use shield, use reconstruction, use compiler, use pillar, use weighting, use technique, use guarantee, use collision, restrict use, use biofeedback, use extractor, use transistor, use photograph, use coordinate, use format, use information, use planning, use topology, use warping, use histogram, use catalog, use discovery, use interrogation, use modality, use analysis, use juxtaposition, use manipulator, use technology, use depolarization, use validation, use platform, use departure, use catheter, use hologram, use layout, use annotation, use override, use tomography, use interface, use thesaurus, use classification, use assembly, use identifier, use surveillance, use anatomy, use dispersion, use occupancy, use capability, use lithography, use graphic, use preparation, use algorithm, use multiple, use highlight, use positioning, use hierarchy, use intermediary, use regression, use boundary, use spectrum, adjust use, manage use, use microphone, use characteristic, use indication, use mismatch, use software, use infrastructure, use phosphor, use ligation, use lexicon, use resource, use fingerprint, use blueprint, use coding, use potential, use comparison, use adaptation, use functionality, use doppler, use shape, use routine, use pricing, use polygon, use variance, use address, use manufacturing, use estimator, use mirror, use guide, use protocol, use neuroscience, use inference, use augmentation, use observation, use intelligence, use transmission, use normalizer, use commodity, use grouping, use artifact, use coupling, use decoding, use magnification, use character, use prefix, use learning, use separation, use spelling, use prescription, use antagonist, use pruning, use ontology, use marking, use provider, use collaboration, use oracle, use neighborhood, use segmentation, use regularization, use apprenticeship, use scanning, use strategy, use probability, use differentiator, use condition, use discrimination, use diagnosis, use marker, use permit, use solution, use resolution, use implementation, use spectroscopy, use cognition, use citation, use relationship, use sensitizer, use palette, optimize use, use texture, use triangulation, use equilibrium, use prediction, determine requirement, use replacement, use instruction, use selection, use dimension, use drawing, use cryptography, use clustering, use recommendation, use hardware, use qualification, use profile, use retrieval, determine correction, use formulation, use comprehension, use convolution, use module, use material, use database, use scaling, use string, use foresight, use request, use procedure, use logic, use similarity, use structure, use consistency, use direction, use provenance, use beacon, use polishing, use capture, use terminal, use affinity, use preference, use adjustment, use propensity, use sensitivity, use taxonomy, use gateway, use monitoring, use dispersal, use conversation, use metric, use induction, use interaction, use pseudo, use sampling, use ethernet, use accelerator, use perforation, use experience, use frame, use particle, use receptivity, use engineering, use tracking, use variation, use summarization, use dialogue, use stimulation, use entropy, use packet, use geometry, use matrix, use linkage, use metadata, use conductance, use template, use combination, use modulus, use inspection, use reference, use accumulation, use imaging, use frequency, use symmetry, use specification, use ultrasound, use transformer, use partitioning, use summary, use computing, use electroencephalogram, use scheduling, use language, use object, use feedback, use encoding, use vector, use primitive, use classifier, use priming, evaluate procedure, use surrogate, use transfer, use concept, use canvas, use personality, use variable, use guidance, use tending, use consumer, use interoperability, use spline, use exception, use fluctuation, use shard, use tachograph, use pharmaceutical, use environment, use awareness, use sensing, use algebra, determine use, use diagram, use synthesis, use certificate, determine protocol, monitor use, use modulation, use approach, use tocopherol, use extraction, use uncertainty, use background, use visualization, use automobile, use package, use composition, use sample, use repertoire, use dynamic, use approximation, use topic, use reinforcement, use coordination, use sentiment, use recognition, use amplification, use transaction, use product, use factorization, use steering, use deviation, use descriptor, use design, use transformation, use reset, use balancing, use buffer, use therapeutic, use document, predict use, use construct, use envelope, use confidence, use commerce, use extension, use packer, use localization, use stimulus, use exercise, use allocation, use snapshot, use estimate, use verification, use substitution, use utterance, use function, use determination, use distribution, use aggregation, use analyzer, use forecasting, use intensity, use modeling, use dialog, use evaluation, use tracing, use intersection, use proposal, use instrument"
Biofuels/Biodiesel Technology and Product Development Managers,conduct experiment,"conduct evaluation, conduct assessment, conduct experiment"
Nursing Assistants,report change,report change
Hearing Aid Specialists,"administer test, evaluate hearing","administer test, test examinee, facilitate test, test test, validate test, execute test, conduct test"
Self-Enrichment Teachers,prepare material,prepare material
Mental Health Counselors,modify activity,"modify activity, modify interaction"
Radiation Therapists,"help physician, prepare aspect, use information","use operation, use compensation, use adaptability, use consumption, use spreadsheet, use attribute, use messenger, use simulation, use satisfaction, use source, use translation, use interpolation, use utility, use ophthalmoscope, use management, use knowledge, use diffusion, use control, use mapping, use stability, use vocabulary, use interval, indicate use, use computation, use bonding, use difficulty, use question, use instantiation, use reconnaissance, use protection, use estimation, use radiation, use dilation, use supplementation, use concealment, use repetition, use circumstance, use context, use interest, use controller, use quantification, use expression, use quantization, intervene use, use multitude, use identification, use security, identify use, use replication, control use, use fingerprinting, use synchronization, use mutation, use element, use planner, use discriminator, use credential, use description, use domain, support use, use electrocardiogram, use wearable, use excitation, use proxy, use variability, use contrast, use component, use portal, use workflow, use switching, use quotient, use waveform, use computer, use instance, use ablation, use electromyography, utilize information, use repository, use evaluator, use spectrometer, use occurrence, use coherence, use browser, use oscillator, use preview, use network, use consensus, use tracker, use encryption, use difference, use article, use authorization, use absorption, use constraint, use imitation, use response, use principle, use statistic, use parameter, use packaging, use fragment, use criterion, use processing, use connectivity, use trajectory, facilitate use, use plurality, use sharing, use optimization, use recovery, use indicator, use reasoning, use physiology, use publication, use fluorescence, classify use, use generator, use container, use supervision, use curricula, use personification, use conditioning, use segment, use recording, use integration, use portion, use delivery, quantify use, use conversion, use concatenation, use emulation, use programming, use spectrometry, use perspective, use alignment, use projection, use chromatography, use ledger, use processor, use normalization, use universal, use evolution, use premise, use oscillation, use generation, use decomposition, use community, use illumination, use appliance, use definition, use account, use compound, use property, use detection, use sequence, use relevance, use content, use training, use grating, use website, use pipeline, use newsletter, use deferral, use activity, use illustration, use reclassification, use assessment, use authentication, use thermography, use filtration, use configuration, use framework, use mechanism, use disclosure, use insertion, use inversion, use input, use collection, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use argument, use spectra, use resonance, use simulator, use understanding, use timing, use counter, use overlay, use representation, use apparatus, use extract, use compression, use architecture, use orchestration, use insight, use ordering, use heuristic, use navigation, use attention, use propagation, use correlation, use message, use distillation, use profiling, use subset, enable use, use automation, use measure, use application, use correction, use internet, use communication, use representative, use dictionary, use cardiogram, use signature, use reconstruction, use compiler, use technique, use guarantee, restrict use, use biofeedback, use extractor, use photograph, use coordinate, use information, use planning, use client, use catalog, use discovery, use interrogation, use modality, use analysis, use juxtaposition, use manipulator, use technology, use depolarization, use validation, use platform, use catheter, use hologram, use annotation, use override, use thesaurus, use interface, use classification, use identifier, use surveillance, use dispersion, use occupancy, use capability, use lithography, use perturbation, use graphic, use preparation, use algorithm, use irradiation, use multiple, use highlight, use positioning, use hierarchy, use equipment, use intermediary, use regression, use entity, use spectrum, manage use, use characteristic, use indication, use software, use reaction, use infrastructure, use ligation, use lexicon, use resource, use fingerprint, use blueprint, use coding, use currency, use rotation, use potential, use comparison, use adaptation, use functionality, help patient, use doppler, use pricing, use variance, use address, use manufacturing, use estimator, use protocol, use neuroscience, use inference, use augmentation, use observation, use intelligence, use transmission, use commodity, use artifact, use polymerization, use association, use location, use decoding, use magnification, use learning, use service, use separation, use prescription, use ontology, use marking, use provider, use collaboration, use segmentation, use regularization, use scanning, use intent, use strategy, use probability, use differentiator, use condition, use discrimination, use solution, use resolution, use implementation, use spectroscopy, use cognition, use citation, use relationship, use sensitizer, optimize use, use triangulation, use equilibrium, use prediction, use replacement, use instruction, use vibration, use selection, use dimension, use cryptography, use recommendation, use hardware, use qualification, use profile, use formulation, use comprehension, use convolution, use diversity, use module, use material, use database, use scaling, use foresight, use request, use procedure, use similarity, use structure, use consistency, use direction, use provenance, use terminal, use preference, use support, use adjustment, use propensity, use sensitivity, use taxonomy, use relation, use monitoring, use conversation, use metric, use induction, use interaction, use sampling, use ethernet, use accelerator, use perforation, use experience, use particle, use receptivity, use engineering, use tracking, use search, use variation, use summarization, use stimulation, use entropy, use metadata, use conductance, use template, use combination, use modulus, use inspection, use reference, use accumulation, use frequency, use specification, use ultrasound, use transformer, use partitioning, use summary, use computing, use electroencephalogram, use scheduling, use object, use feedback, use encoding, use primitive, use classifier, use priming, use transfer, use server, use concept, use personality, use variable, use guidance, use tending, use consumer, use interoperability, use exception, use fluctuation, use tachograph, use pharmaceutical, use environment, use awareness, use sensing, use networks, determine use, use certificate, monitor use, use modulation, use approach, use extraction, use uncertainty, use background, use visualization, use automobile, use composition, use sample, use dynamic, use approximation, use reinforcement, use coordination, use sentiment, use recognition, use amplification, use transaction, use reduction, use factorization, use product, use steering, use deviation, use descriptor, use transformation, use balancing, use therapeutic, use document, use construct, use envelope, use confidence, use commerce, use extension, use evidence, use localization, use allocation, use estimate, use verification, use substitution, use utterance, use function, use determination, use distribution, use aggregation, use analyzer, use forecasting, use modeling, use process, use evaluation, use intersection, use access, use proposal, use instrument"
First-Line Supervisors of Retail Sales Workers,"reconcile receipt, perform service",perform service
Outdoor Power Equipment and Other Small Engine Mechanics,"replace part, use tool","use framework, use solution, use resource, use spreadsheet, use device, use template, use platform, use hologram, use method, use component, use interface, use machine, use technique, use workflow, use functionality, use hardware, use capability, use tool, use algorithm, use generator, use module, use strategy, use software"
Fiberglass Laminators and Fabricators,"modify part, check thickness, ensure fit",evaluate fit
Political Scientists,"evaluate program, make recommendation","make formulation, make composition, make resource, calculate program, make estimation, make recommendation, make decision, make prediction, make material, make construction, make structure, make information, make request, make determination, make adjustment, evaluate program, determine program, make inference, make capability, make advice, make restoration"
"Switchboard Operators, Including Answering Service",use telephone,"use modality, use beacon, use bandwidth, use phone, use manipulator, use terminal, use attribute, use preference, use catheter, use messenger, use override, use gateway, use interface, use monitoring, use dispersal, use delivery, use conversion, use surveillance, use conversation, use playback, use utility, use sampling, use lithography, use ethernet, use ophthalmoscope, use dial, use positioning, use handler, use intermediary, use tracking, use relay, use mapping, use microphone, use packet, use mismatch, use software, use ledger, use infrastructure, use linkage, use universal, use metadata, use premise, use stub, use device, use fingerprint, use reference, use reconnaissance, use frequency, use earphone, use ultrasound, use transformer, use appliance, use comparison, use doppler, use satellite, use concealment, use repetition, use routine, use circumstance, use electroencephalogram, use scheduling, use controller, use address, use display, intervene use, use protocol, use feedback, use multitude, use encoding, use priming, use wallet, use transfer, use transmission, use server, use repeater, use newsletter, use commodity, use bottleneck, use authentication, use fingerprinting, use coupling, use spline, use configuration, use insertion, use disclosure, use credential, use inversion, use input, use decoding, use description, use example, use neighbor, use telemetry, use electrocardiogram, use connection, use prefix, use pharmaceutical, use correspondence, use proxy, use wearable, use sensing, use networks, use prescription, use signal, use portal, use handle, use heartbeat, use workflow, use certificate, use switching, monitor use, use overlay, use marking, use provider, use waveform, use computer, use operator, use instance, use apparatus, use electromyography, use background, use automobile, use repository, use ordering, use apprenticeship, use browser, use message, use oscillator, use scanning, use network, use reinforcement, use differentiator, use tracker, use encryption, use headphone, use communication, use internet, use representative, use telephone, use signature, use reset, use packaging, use processing, use connectivity, use envelope, use packer, use extension, use guarantee, use replacement, restrict use, use biofeedback, facilitate use, use cryptography, use recommendation, use hardware, use mobile, use keypad, use retrieval, use transistor, use indicator, use verification, use comprehension, use generator, use database, use photograph, use coordinate, use supervision, use request, use conditioning, use client, use warping, use recording, use catalog, use tracing, use access, use instrument, use antenna"
Hazardous Materials Removal Workers,"remove material, contaminate material","classify material, remove material"
Stationary Engineers and Boiler Operators,"install burner, use tool","use framework, use solution, use resource, use spreadsheet, use device, use template, use platform, use hologram, use method, use component, use interface, use machine, use technique, use workflow, use functionality, use hardware, use capability, use tool, use algorithm, use generator, use module, use strategy, use software"
Air Traffic Controllers,determine route,"route determination, determine route, evaluate route"
