Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Recreation workers,79705,5446,25277,2886,54428,4211,68.3,2.8,37839,1548,42696,2961,35189,1637,82.4,6.4,2022,0.10984831253431247,recreation workers,,,,39-9032,Recreation Workers,recreation workers,39-9032,39-9032.00,Recreation Workers,39-9032,Recreation Workers
Residential advisors,26995,2986,11491,2001,15504,2055,57.4,5.2,36536,2145,37026,1819,35429,4539,95.7,11.8,2022,0.031290664,residential advisors,,,39-9040,,Residential Advisors,residential advisors,39-9040,,,,
Residential advisors,26995,2986,11491,2001,15504,2055,57.4,5.2,36536,2145,37026,1819,35429,4539,95.7,11.8,2022,0.031290664,residential advisors,,,,39-9041,Residential Advisors,residential advisors,39-9041,39-9041.00,Residential Advisors,39-9041,Residential Advisors
Personal care and service workers all other,60605,6002,28536,4393,32069,3857,52.9,4.7,33727,3441,31877,954,36343,2376,114,7.5,2022,0.064722671,other personal care and service workers,,39-9000,,,Other Personal Care and Service Workers,other personal care and service workers,39-9000,,,,
Personal care and service workers all other,60605,6002,28536,4393,32069,3857,52.9,4.7,33727,3441,31877,954,36343,2376,114,7.5,2022,0.064722671,other personal care and service workers,,,,39-9099,"Personal Care and Service Workers, All Other",other personal care and service workers,39-9099,39-9099.00,"Personal Care and Service Workers, All Other",39-9099,"Personal Care and Service Workers, All Other"
Sales and Office Occupations,22008192,78559,9084640,50990,12923552,62711,58.7,0.2,47167,139,56483,367,42390,98,75,0.5,2022,26.082721745231108,sales and office occupations,,,,,,,,,,,
Sales and Related Occupations,9812069,50982,5706063,41483,4106006,37093,41.8,0.3,53543,299,63240,407,42808,392,67.7,0.8,2022,8.286871286,sales and related occupations,41-0000,,,,Sales and Related Occupations,sales and related occupations,41-0000,,,,
FirstLine supervisors of retail sales workers,2487276,28014,1414992,21992,1072284,19168,43.1,0.6,51220,361,57730,863,43654,575,75.6,1.5,2022,2.164117512264693,firstline supervisors of retail sales workers,,,,41-1011,First-Line Supervisors of Retail Sales Workers,firstline supervisors of retail sales workers,41-1011,41-1011.00,First-Line Supervisors of Retail Sales Workers,41-1011,First-Line Supervisors of Retail Sales Workers
FirstLine supervisors of nonretail sales workers,1008909,18909,632045,14055,376864,11258,37.4,0.8,70620,1021,75161,1204,63169,1366,84,2.4,2022,0.7605988545405147,firstline supervisors of nonretail sales workers,,,,41-1012,First-Line Supervisors of Non-Retail Sales Workers,firstline supervisors of nonretail sales workers,41-1012,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012,First-Line Supervisors of Non-Retail Sales Workers
Cashiers,976641,21452,310156,10687,666485,17634,68.2,0.9,27174,247,30290,438,26362,267,87,1.6,2022,1.345121124778262,cashiers,,,41-2010,,Cashiers,cashiers,41-2010,,,,
Cashiers,976641,21452,310156,10687,666485,17634,68.2,0.9,27174,247,30290,438,26362,267,87,1.6,2022,1.345121124778262,cashiers,,,,41-2011,Cashiers,cashiers,41-2011,41-2011.00,Cashiers,41-2011,Cashiers
Counter and rental clerks,41478,4021,26360,3386,15118,2414,36.4,4.9,40551,2027,42288,3105,36658,2986,86.7,9.6,2022,0.030511626164726535,counter and rental clerks,,,,41-2021,Counter and Rental Clerks,counter and rental clerks,41-2021,41-2021.00,Counter and Rental Clerks,41-2021,Counter and Rental Clerks
Parts salespersons,96452,6666,81980,6079,14472,2347,15,2.2,44241,2911,45276,2304,40616,3273,89.7,8.4,2022,0.029207848515406955,parts salespersons,,,,41-2022,Parts Salespersons,parts salespersons,41-2022,41-2022.00,Parts Salespersons,41-2022,Parts Salespersons
Retail salespersons,1647053,26542,1030492,18334,616561,16447,37.4,0.7,41498,376,47582,931,34094,877,71.7,2.2,2022,1.2443629276193913,retail salespersons,,,41-2030,,Retail Salespersons,retail salespersons,41-2030,,,,
Retail salespersons,1647053,26542,1030492,18334,616561,16447,37.4,0.7,41498,376,47582,931,34094,877,71.7,2.2,2022,1.2443629276193913,retail salespersons,,,,41-2031,Retail Salespersons,retail salespersons,41-2031,41-2031.00,Retail Salespersons,41-2031,Retail Salespersons
Advertising sales agents,89469,6003,46972,4551,42497,3623,47.5,3.1,76977,3858,80735,6074,72974,5119,90.4,9.6,2022,0.085768791,advertising sales agents,,,41-3010,,Advertising Sales Agents,advertising sales agents,41-3010,,,,
Advertising sales agents,89469,6003,46972,4551,42497,3623,47.5,3.1,76977,3858,80735,6074,72974,5119,90.4,9.6,2022,0.085768791,advertising sales agents,,,,41-3011,Advertising Sales Agents,advertising sales agents,41-3011,41-3011.00,Advertising Sales Agents,41-3011,Advertising Sales Agents
Insurance sales agents,502598,14312,248551,9728,254047,10139,50.5,1.4,59999,1590,76553,2070,50297,1101,65.7,2.5,2022,0.5127256973323377,insurance sales agents,,,41-3020,,Insurance Sales Agents,insurance sales agents,41-3020,,,,
Insurance sales agents,502598,14312,248551,9728,254047,10139,50.5,1.4,59999,1590,76553,2070,50297,1101,65.7,2.5,2022,0.5127256973323377,insurance sales agents,,,,41-3021,Insurance Sales Agents,insurance sales agents,41-3021,41-3021.00,Insurance Sales Agents,41-3021,Insurance Sales Agents
Securities commodities and financial services sales agents,206990,9478,152236,8511,54754,4463,26.5,1.9,111951,10343,136388,21958,75096,7077,55.1,10.5,2022,0.11050625605393814,securities commodities and financial services sales agents,,,41-3030,,"Securities, Commodities, and Financial Services Sales Agents",securities commodities and financial services sales agents,41-3030,,,,
Securities commodities and financial services sales agents,206990,9478,152236,8511,54754,4463,26.5,1.9,111951,10343,136388,21958,75096,7077,55.1,10.5,2022,0.11050625605393814,securities commodities and financial services sales agents,,,,41-3031,"Securities, Commodities, and Financial Services Sales Agents",securities commodities and financial services sales agents,41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031,"Securities, Commodities, and Financial Services Sales Agents"
Travel agents,38810,3926,8596,1682,30214,3306,77.9,3.6,46454,1877,46293,2066,46567,2892,100.6,7.7,2022,0.060978851233036604,travel agents,,,41-3040,,Travel Agents,travel agents,41-3040,,,,
Travel agents,38810,3926,8596,1682,30214,3306,77.9,3.6,46454,1877,46293,2066,46567,2892,100.6,7.7,2022,0.060978851233036604,travel agents,,,,41-3041,Travel Agents,travel agents,41-3041,41-3041.00,Travel Agents,41-3041,Travel Agents
Sales representatives of services except advertising insurance financial services and travel,596182,14347,425701,12497,170481,7322,28.6,1.1,83377,2194,90555,2307,70422,1793,77.8,2.8,2022,0.3440701508260844,sales representatives of services except advertising insurance financial services and travel,,,,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",sales representatives of services except advertising insurance financial services and travel,41-3091,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
Sales representatives wholesale and manufacturing,1058819,19659,779159,17122,279660,10978,26.4,0.9,78987,1454,82319,1231,66587,1663,80.9,2.3,2022,0.5644186647193692,sales representatives wholesale and manufacturing,,41-4000,,,"Sales Representatives, Wholesale and Manufacturing",sales representatives wholesale and manufacturing,41-4000,,,,
Sales representatives wholesale and manufacturing,1058819,19659,779159,17122,279660,10978,26.4,0.9,78987,1454,82319,1231,66587,1663,80.9,2.3,2022,0.5644186647193692,sales representatives wholesale and manufacturing,,,41-4010,,"Sales Representatives, Wholesale and Manufacturing",sales representatives wholesale and manufacturing,41-4010,,,,
Models demonstrators and product promoters,10302,1972,3684,1023,6618,1577,64.2,7.9,41621,9930,48933,17904,40143,13480,(X),(X),2022,0.013356657094732122,models demonstrators and product promoters,,,41-9010,,"Models, Demonstrators, and Product Promoters",models demonstrators and product promoters,41-9010,,,,
Real estate brokers and sales agents,655760,14371,318831,11192,336929,9238,51.4,1.1,77013,1798,84043,2752,68174,3165,81.1,4.6,2022,0.6800007733863702,real estate brokers and sales agents,,,41-9020,,Real Estate Brokers and Sales Agents,real estate brokers and sales agents,41-9020,,,,
Sales engineers,50251,3909,45359,3660,4892,1089,9.7,2,127221,7689,129371,9436,113766,14149,(X),(X),2022,0.009873189,sales engineers,,,41-9030,,Sales Engineers,sales engineers,41-9030,,,,
Sales engineers,50251,3909,45359,3660,4892,1089,9.7,2,127221,7689,129371,9436,113766,14149,(X),(X),2022,0.009873189,sales engineers,,,,41-9031,Sales Engineers,sales engineers,41-9031,41-9031.00,Sales Engineers,41-9031,Sales Engineers
Telemarketers,16248,2683,5706,1778,10542,2025,64.9,8.4,34728,4050,36238,7011,33773,4809,(X),(X),2022,0.021276198,telemarketers,,,41-9040,,Telemarketers,telemarketers,41-9040,,,,
Telemarketers,16248,2683,5706,1778,10542,2025,64.9,8.4,34728,4050,36238,7011,33773,4809,(X),(X),2022,0.021276198,telemarketers,,,,41-9041,Telemarketers,telemarketers,41-9041,41-9041.00,Telemarketers,41-9041,Telemarketers
Doortodoor sales workers news and street vendors and related workers,38869,3841,23154,3611,15715,1939,40.4,5.2,41300,2096,45696,5207,33846,3257,74.1,11.2,2022,0.03171651,doortodoor sales workers news and street vendors and related workers,,,,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",doortodoor sales workers news and street vendors and related workers,41-9091,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
Sales and related workers all other,289962,10802,152089,8102,137873,5979,47.5,1.6,50709,1920,61359,3223,41194,2016,67.1,4.5,2022,0.2782596530102753,other sales and related workers,,41-9000,,,Other Sales and Related Workers,other sales and related workers,41-9000,,,,
Sales and related workers all other,289962,10802,152089,8102,137873,5979,47.5,1.6,50709,1920,61359,3223,41194,2016,67.1,4.5,2022,0.2782596530102753,other sales and related workers,,,,41-9099,"Sales and Related Workers, All Other",other sales and related workers,41-9099,41-9099.00,"Sales and Related Workers, All Other",41-9099,"Sales and Related Workers, All Other"
Office and Administrative Support Occupations,12196123,68817,3378577,35701,8817546,56883,72.3,0.2,44038,159,50124,285,42303,112,84.4,0.5,2022,17.795850459206232,office and administrative support occupations,43-0000,,,,Office and Administrative Support Occupations,office and administrative support occupations,43-0000,,,,
FirstLine supervisors of office and administrative support workers,953207,18108,323571,11456,629636,14067,66.1,0.9,57333,691,66794,1450,53106,620,79.5,1.9,2022,1.2707513065123532,firstline supervisors of office and administrative support workers,,,43-1010,,First-Line Supervisors of Office and Administrative Support Workers,firstline supervisors of office and administrative support workers,43-1010,,,,
FirstLine supervisors of office and administrative support workers,953207,18108,323571,11456,629636,14067,66.1,0.9,57333,691,66794,1450,53106,620,79.5,1.9,2022,1.2707513065123532,firstline supervisors of office and administrative support workers,,,,43-1011,First-Line Supervisors of Office and Administrative Support Workers,firstline supervisors of office and administrative support workers,43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,43-1011,First-Line Supervisors of Office and Administrative Support Workers
Switchboard operators including answering service,11874,1886,2928,1376,8946,1526,75.3,9.8,40252,3405,48845,29342,39214,3752,(X),(X),2022,0.018055100388255297,switchboard operators including answering service,,,43-2010,,"Switchboard Operators, Including Answering Service",switchboard operators including answering service,43-2010,,,,
Switchboard operators including answering service,11874,1886,2928,1376,8946,1526,75.3,9.8,40252,3405,48845,29342,39214,3752,(X),(X),2022,0.018055100388255297,switchboard operators including answering service,,,,43-2011,"Switchboard Operators, Including Answering Service",switchboard operators including answering service,43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",43-2011,"Switchboard Operators, Including Answering Service"
Telephone operators,15731,2451,6116,1805,9615,1925,61.1,8.9,39341,4946,47477,7751,35736,4167,(X),(X),2022,0.019405297365646623,telephone operators,,,43-2020,,Telephone Operators,telephone operators,43-2020,,,,
Telephone operators,15731,2451,6116,1805,9615,1925,61.1,8.9,39341,4946,47477,7751,35736,4167,(X),(X),2022,0.019405297365646623,telephone operators,,,,43-2021,Telephone Operators,telephone operators,43-2021,43-2021.00,Telephone Operators,43-2021,Telephone Operators
Communications equipment operators all other,5668,1349,3095,952,2573,893,45.4,11.2,51271,2627,51447,3634,51014,16842,(X),(X),2022,0.00519291,other communications equipment operators,,,,43-2099,"Communications Equipment Operators, All Other",other communications equipment operators,43-2099,43-2099.00,"Communications Equipment Operators, All Other",43-2099,"Communications Equipment Operators, All Other"
Bill and account collectors,105008,6418,27962,3422,77046,5472,73.4,2.8,42864,1377,44797,6073,42284,1151,94.4,12.3,2022,0.15549667611373996,bill and account collectors,,,43-3010,,Bill and Account Collectors,bill and account collectors,43-3010,,,,
Bill and account collectors,105008,6418,27962,3422,77046,5472,73.4,2.8,42864,1377,44797,6073,42284,1151,94.4,12.3,2022,0.15549667611373996,bill and account collectors,,,,43-3011,Bill and Account Collectors,bill and account collectors,43-3011,43-3011.00,Bill and Account Collectors,43-3011,Bill and Account Collectors
Billing and posting clerks,370927,10684,48936,4084,321991,10898,86.8,1.1,41977,348,50728,1900,41328,401,81.5,3.4,2022,0.6498524289195966,billing and posting clerks,,,43-3020,,Billing and Posting Clerks,billing and posting clerks,43-3020,,,,
Billing and posting clerks,370927,10684,48936,4084,321991,10898,86.8,1.1,41977,348,50728,1900,41328,401,81.5,3.4,2022,0.6498524289195966,billing and posting clerks,,,,43-3021,Billing and Posting Clerks,billing and posting clerks,43-3021,43-3021.00,Billing and Posting Clerks,43-3021,Billing and Posting Clerks
Bookkeeping accounting and auditing clerks,850499,16937,115992,7690,734507,14623,86.4,0.8,47035,505,51198,1164,46557,516,90.9,2.2,2022,1.4824052784346338,bookkeeping accounting and auditing clerks,,,43-3030,,"Bookkeeping, Accounting, and Auditing Clerks",bookkeeping accounting and auditing clerks,43-3030,,,,
Bookkeeping accounting and auditing clerks,850499,16937,115992,7690,734507,14623,86.4,0.8,47035,505,51198,1164,46557,516,90.9,2.2,2022,1.4824052784346338,bookkeeping accounting and auditing clerks,,,,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",bookkeeping accounting and auditing clerks,43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
Gambling cage workers,7341,1242,2408,829,4933,1250,67.2,10.9,31780,4019,31393,8330,32494,6325,(X),(X),2022,0.009955937,gambling cage workers,,,43-3040,,Gambling Cage Workers,gambling cage workers,43-3040,,,,
Gambling cage workers,7341,1242,2408,829,4933,1250,67.2,10.9,31780,4019,31393,8330,32494,6325,(X),(X),2022,0.009955937,gambling cage workers,,,,43-3041,Gambling Cage Workers,gambling cage workers,43-3041,43-3041.00,Gambling Cage Workers,43-3041,Gambling Cage Workers
Payroll and timekeeping clerks,124075,6167,16920,2499,107155,5388,86.4,1.8,51778,1133,53940,4272,51433,1121,95.4,7.2,2022,0.21626361302297076,payroll and timekeeping clerks,,,43-3050,,Payroll and Timekeeping Clerks,payroll and timekeeping clerks,43-3050,,,,
Payroll and timekeeping clerks,124075,6167,16920,2499,107155,5388,86.4,1.8,51778,1133,53940,4272,51433,1121,95.4,7.2,2022,0.21626361302297076,payroll and timekeeping clerks,,,,43-3051,Payroll and Timekeeping Clerks,payroll and timekeeping clerks,43-3051,43-3051.00,Payroll and Timekeeping Clerks,43-3051,Payroll and Timekeeping Clerks
Procurement clerks,36330,3317,17550,2449,18780,2574,51.7,5.2,61387,4305,64556,5828,57749,5856,89.5,11.9,2022,0.03790239,procurement clerks,,,43-3060,,Procurement Clerks,procurement clerks,43-3060,,,,
Procurement clerks,36330,3317,17550,2449,18780,2574,51.7,5.2,61387,4305,64556,5828,57749,5856,89.5,11.9,2022,0.03790239,procurement clerks,,,,43-3061,Procurement Clerks,procurement clerks,43-3061,43-3061.00,Procurement Clerks,43-3061,Procurement Clerks
Tellers,167582,7656,23650,2921,143932,6992,85.9,1.6,33782,720,36047,1849,33404,727,92.7,5.3,2022,0.29048811860969836,tellers,,,43-3070,,Tellers,tellers,43-3070,,,,
Tellers,167582,7656,23650,2921,143932,6992,85.9,1.6,33782,720,36047,1849,33404,727,92.7,5.3,2022,0.29048811860969836,tellers,,,,43-3071,Tellers,tellers,43-3071,43-3071.00,Tellers,43-3071,Tellers
Financial clerks all other,104481,6119,39337,3785,65144,4473,62.4,2.6,61535,3261,88556,14054,51929,2049,58.6,9.8,2022,0.13147568295243717,other financial clerks,,,,43-3099,"Financial Clerks, All Other",other financial clerks,43-3099,43-3099.00,"Financial Clerks, All Other",43-3099,"Financial Clerks, All Other"
Brokerage clerks,5847,1579,1654,782,4193,1374,71.7,11.7,53382,9072,61194,10617,47374,11149,(X),(X),2022,0.008462445,brokerage clerks,,,43-4010,,Brokerage Clerks,brokerage clerks,43-4010,,,,
Brokerage clerks,5847,1579,1654,782,4193,1374,71.7,11.7,53382,9072,61194,10617,47374,11149,(X),(X),2022,0.008462445,brokerage clerks,,,,43-4011,Brokerage Clerks,brokerage clerks,43-4011,43-4011.00,Brokerage Clerks,43-4011,Brokerage Clerks
Correspondence clerks,4848,1377,1518,788,3330,1097,68.7,13.5,45744,9247,54600,24686,41658,9568,(X),(X),2022,0.006720711,correspondence clerks,,,43-4020,,Correspondence Clerks,correspondence clerks,43-4020,,,,
Correspondence clerks,4848,1377,1518,788,3330,1097,68.7,13.5,45744,9247,54600,24686,41658,9568,(X),(X),2022,0.006720711,correspondence clerks,,,,43-4021,Correspondence Clerks,correspondence clerks,43-4021,43-4021.00,Correspondence Clerks,43-4021,Correspondence Clerks
Court municipal and license clerks,73774,5004,12604,1734,61170,4835,82.9,2.3,44356,1581,52170,3762,43050,1500,82.5,6.9,2022,0.12345523035430096,court municipal and license clerks,,,43-4030,,"Court, Municipal, and License Clerks",court municipal and license clerks,43-4030,,,,
Court municipal and license clerks,73774,5004,12604,1734,61170,4835,82.9,2.3,44356,1581,52170,3762,43050,1500,82.5,6.9,2022,0.12345523035430096,court municipal and license clerks,,,,43-4031,"Court, Municipal, and License Clerks",court municipal and license clerks,43-4031,43-4031.00,"Court, Municipal, and License Clerks",43-4031,"Court, Municipal, and License Clerks"
Credit authorizers checkers and clerks,34485,3668,10482,2082,24003,2969,69.6,4.9,44388,1946,58500,14438,42936,1447,73.4,19.5,2022,0.048443614,credit authorizers checkers and clerks,,,43-4040,,"Credit Authorizers, Checkers, and Clerks",credit authorizers checkers and clerks,43-4040,,,,
Credit authorizers checkers and clerks,34485,3668,10482,2082,24003,2969,69.6,4.9,44388,1946,58500,14438,42936,1447,73.4,19.5,2022,0.048443614,credit authorizers checkers and clerks,,,,43-4041,"Credit Authorizers, Checkers, and Clerks",credit authorizers checkers and clerks,43-4041,43-4041.00,"Credit Authorizers, Checkers, and Clerks",43-4041,"Credit Authorizers, Checkers, and Clerks"
Customer service representatives,2108914,31296,696037,16367,1412877,26270,67,0.7,41370,212,45658,874,40097,321,87.8,2,2022,2.851513086436058,customer service representatives,,,43-4050,,Customer Service Representatives,customer service representatives,43-4050,,,,
Customer service representatives,2108914,31296,696037,16367,1412877,26270,67,0.7,41370,212,45658,874,40097,321,87.8,2,2022,2.851513086436058,customer service representatives,,,,43-4051,Customer Service Representatives,customer service representatives,43-4051,43-4051.00,Customer Service Representatives,43-4051,Customer Service Representatives
Eligibility interviewers government programs,77316,6159,15366,2199,61950,5251,80.1,2.4,50543,1291,60667,4251,48354,2019,79.7,6.2,2022,0.12502945104542987,eligibility interviewers government programs,,,43-4060,,"Eligibility Interviewers, Government Programs",eligibility interviewers government programs,43-4060,,,,
Eligibility interviewers government programs,77316,6159,15366,2199,61950,5251,80.1,2.4,50543,1291,60667,4251,48354,2019,79.7,6.2,2022,0.12502945104542987,eligibility interviewers government programs,,,,43-4061,"Eligibility Interviewers, Government Programs",eligibility interviewers government programs,43-4061,43-4061.00,"Eligibility Interviewers, Government Programs",43-4061,"Eligibility Interviewers, Government Programs"
File clerks,96686,5197,24360,3344,72326,4571,74.8,3,41600,805,42364,2717,41383,863,97.7,6.3,2022,0.14597062270075484,file clerks,,,43-4070,,File Clerks,file clerks,43-4070,,,,
File clerks,96686,5197,24360,3344,72326,4571,74.8,3,41600,805,42364,2717,41383,863,97.7,6.3,2022,0.14597062270075484,file clerks,,,,43-4071,File Clerks,file clerks,43-4071,43-4071.00,File Clerks,43-4071,File Clerks
Hotel motel and resort desk clerks,70171,4652,28886,3667,41285,3861,58.8,4.2,29720,1213,31783,1098,27806,1404,87.5,5.6,2022,0.083322694,hotel motel and resort desk clerks,,,43-4080,,"Hotel, Motel, and Resort Desk Clerks",hotel motel and resort desk clerks,43-4080,,,,
Hotel motel and resort desk clerks,70171,4652,28886,3667,41285,3861,58.8,4.2,29720,1213,31783,1098,27806,1404,87.5,5.6,2022,0.083322694,hotel motel and resort desk clerks,,,,43-4081,"Hotel, Motel, and Resort Desk Clerks",hotel motel and resort desk clerks,43-4081,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",43-4081,"Hotel, Motel, and Resort Desk Clerks"
Interviewers except eligibility and loan,137223,7818,30032,3495,107191,6822,78.1,2.2,37872,1024,38935,1606,37468,1044,96.2,4.5,2022,0.21633626936256128,interviewers except eligibility and loan,,,43-4110,,"Interviewers, Except Eligibility and Loan",interviewers except eligibility and loan,43-4110,,,,
Interviewers except eligibility and loan,137223,7818,30032,3495,107191,6822,78.1,2.2,37872,1024,38935,1606,37468,1044,96.2,4.5,2022,0.21633626936256128,interviewers except eligibility and loan,,,,43-4111,"Interviewers, Except Eligibility and Loan",interviewers except eligibility and loan,43-4111,43-4111.00,"Interviewers, Except Eligibility and Loan",43-4111,"Interviewers, Except Eligibility and Loan"
Library assistants clerical,39045,3229,9004,1697,30041,3006,76.9,4,38400,1660,44515,2030,36641,1500,82.3,5.3,2022,0.060629697156670846,library assistants clerical,,,43-4120,,"Library Assistants, Clerical",library assistants clerical,43-4120,,,,
Library assistants clerical,39045,3229,9004,1697,30041,3006,76.9,4,38400,1660,44515,2030,36641,1500,82.3,5.3,2022,0.060629697156670846,library assistants clerical,,,,43-4121,"Library Assistants, Clerical",library assistants clerical,43-4121,43-4121.00,"Library Assistants, Clerical",43-4121,"Library Assistants, Clerical"
Loan interviewers and clerks,134100,7791,29804,2807,104296,6848,77.8,1.8,53499,1683,55997,4358,52955,1833,94.6,8.2,2022,0.21049348872048673,loan interviewers and clerks,,,43-4130,,Loan Interviewers and Clerks,loan interviewers and clerks,43-4130,,,,
Loan interviewers and clerks,134100,7791,29804,2807,104296,6848,77.8,1.8,53499,1683,55997,4358,52955,1833,94.6,8.2,2022,0.21049348872048673,loan interviewers and clerks,,,,43-4131,Loan Interviewers and Clerks,loan interviewers and clerks,43-4131,43-4131.00,Loan Interviewers and Clerks,43-4131,Loan Interviewers and Clerks
New accounts clerks,9954,1782,2997,1372,6957,1498,69.9,11.6,42090,3522,69491,37836,40597,2015,(X),(X),2022,0.014040837625876604,new accounts clerks,,,43-4140,,New Accounts Clerks,new accounts clerks,43-4140,,,,
New accounts clerks,9954,1782,2997,1372,6957,1498,69.9,11.6,42090,3522,69491,37836,40597,2015,(X),(X),2022,0.014040837625876604,new accounts clerks,,,,43-4141,New Accounts Clerks,new accounts clerks,43-4141,43-4141.00,New Accounts Clerks,43-4141,New Accounts Clerks
Order clerks,65223,4695,30838,3576,34385,3553,52.7,4.1,40953,1004,42307,3092,40105,2024,94.8,8.6,2022,0.069396895,order clerks,,,43-4150,,Order Clerks,order clerks,43-4150,,,,
Order clerks,65223,4695,30838,3576,34385,3553,52.7,4.1,40953,1004,42307,3092,40105,2024,94.8,8.6,2022,0.069396895,order clerks,,,,43-4151,Order Clerks,order clerks,43-4151,43-4151.00,Order Clerks,43-4151,Order Clerks
Human resources assistants except payroll and timekeeping,82093,6295,17075,2768,65018,5397,79.2,2.9,58281,3164,71021,5775,56287,2395,79.3,7.2,2022,0.1312213857638702,human resources assistants except payroll and timekeeping,,,43-4160,,"Human Resources Assistants, Except Payroll and Timekeeping",human resources assistants except payroll and timekeeping,43-4160,,,,
Human resources assistants except payroll and timekeeping,82093,6295,17075,2768,65018,5397,79.2,2.9,58281,3164,71021,5775,56287,2395,79.3,7.2,2022,0.1312213857638702,human resources assistants except payroll and timekeeping,,,,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",human resources assistants except payroll and timekeeping,43-4161,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
Receptionists and information clerks,750839,16389,80272,4492,670567,15455,89.3,0.6,34559,433,39448,1975,34147,431,86.6,4.4,2022,1.353359546,receptionists and information clerks,,,43-4170,,Receptionists and Information Clerks,receptionists and information clerks,43-4170,,,,
Receptionists and information clerks,750839,16389,80272,4492,670567,15455,89.3,0.6,34559,433,39448,1975,34147,431,86.6,4.4,2022,1.353359546,receptionists and information clerks,,,,43-4171,Receptionists and Information Clerks,receptionists and information clerks,43-4171,43-4171.00,Receptionists and Information Clerks,43-4171,Receptionists and Information Clerks
Reservation and transportation ticket agents and travel clerks,90388,6065,45249,3711,45139,4203,49.9,2.8,45994,3802,49818,3115,41464,2904,83.2,6.9,2022,0.091100959,reservation and transportation ticket agents and travel clerks,,,43-4180,,Reservation and Transportation Ticket Agents and Travel Clerks,reservation and transportation ticket agents and travel clerks,43-4180,,,,
Reservation and transportation ticket agents and travel clerks,90388,6065,45249,3711,45139,4203,49.9,2.8,45994,3802,49818,3115,41464,2904,83.2,6.9,2022,0.091100959,reservation and transportation ticket agents and travel clerks,,,,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,reservation and transportation ticket agents and travel clerks,43-4181,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
Information and record clerks all other,75570,4435,19136,2435,56434,3818,74.7,2.8,42195,951,50717,5277,41292,846,81.4,8.7,2022,0.11389688523483114,other information and record clerks,,,,43-4199,"Information and Record Clerks, All Other",other information and record clerks,43-4199,43-4199.00,"Information and Record Clerks, All Other",43-4199,"Information and Record Clerks, All Other"
Cargo and freight agents,20152,2922,10986,1917,9166,2016,45.5,6.6,50410,4414,61508,2719,41851,1724,68,4,2022,0.018499111,cargo and freight agents,,,43-5010,,Cargo and Freight Agents,cargo and freight agents,43-5010,,,,
Cargo and freight agents,20152,2922,10986,1917,9166,2016,45.5,6.6,50410,4414,61508,2719,41851,1724,68,4,2022,0.018499111,cargo and freight agents,,,,43-5011,Cargo and Freight Agents,cargo and freight agents,43-5011,43-5011.00,Cargo and Freight Agents,43-5011,Cargo and Freight Agents
Cargo and freight agents,20152,2922,10986,1917,9166,2016,45.5,6.6,50410,4414,61508,2719,41851,1724,68,4,2022,0.018499111,cargo and freight agents,,,,43-5011,Cargo and Freight Agents,cargo and freight agents,43-5011,43-5011.01,Freight Forwarders,43-5011,Cargo and Freight Agents
Couriers and messengers,338721,12003,271688,11497,67033,4840,19.8,1.4,39075,856,41323,823,31434,819,76.1,2.7,2022,0.13528812254928652,couriers and messengers,,,43-5020,,Couriers and Messengers,couriers and messengers,43-5020,,,,
