Occupation Name,Task Description,Importance,Verb-Noun Pairs
Civil Engineers,"Conduct studies of traffic patterns or environmental conditions to identify engineering problems and assess potential project impact.
Related occupations",52,"[('identify', 'problem'), ('assess', 'impact')]"
Civil Engineers,"Develop or implement engineering solutions to clean up industrial accidents or other contaminated sites.
Related occupations",47,"[('implement', 'solution'), ('clean', 'accident')]"
Civil Engineers,"Design or engineer systems to efficiently dispose of chemical, biological, or other toxic wastes.
Related occupations",39,[]
"Claims Adjusters, Examiners, and Investigators","Examine claims forms and other records to determine insurance coverage.
Related occupations",95,"[('determine', 'coverage')]"
"Claims Adjusters, Examiners, and Investigators","Analyze information gathered by investigation and report findings and recommendations.
Related occupations",94,"[('report', 'finding')]"
"Claims Adjusters, Examiners, and Investigators","Pay and process claims within designated authority level.
Related occupations",94,[]
"Claims Adjusters, Examiners, and Investigators","Investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.
Related occupations",94,"[('settle', 'claim'), ('apply', 'knowledge'), ('effect', 'disposal')]"
"Claims Adjusters, Examiners, and Investigators","Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.
Related occupations",92,"[('analyze', 'datum'), ('settle', 'claim')]"
"Claims Adjusters, Examiners, and Investigators","Review police reports, medical treatment records, medical bills, or physical property damage to determine the extent of liability.
Related occupations",92,"[('determine', 'extent')]"
"Claims Adjusters, Examiners, and Investigators","Investigate and assess damage to property and create or review property damage estimates.
Related occupations",91,"[('assess', 'damage'), ('review', 'estimate')]"
"Claims Adjusters, Examiners, and Investigators","Interview or correspond with agents and claimants to correct errors or omissions and to investigate questionable claims.
Related occupations",91,"[('correct', 'error'), ('investigate', 'claim')]"
"Claims Adjusters, Examiners, and Investigators","Interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.
Related occupations",90,"[('determine', 'settlement')]"
"Claims Adjusters, Examiners, and Investigators","Enter claim payments, reserves and new claims on computer system, inputting concise yet sufficient file documentation.
Related occupations",89,"[('enter', 'payment'), ('inputte', 'concise'), ('inputte', 'documentation')]"
"Claims Adjusters, Examiners, and Investigators","Resolve complex, severe exposure claims, using high service oriented file handling.
Related occupations",87,"[('resolve', 'claim'), ('use', 'handling')]"
"Claims Adjusters, Examiners, and Investigators","Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.
Related occupations",86,"[('adjust', 'reserve'), ('provide', 'recommendation')]"
"Claims Adjusters, Examiners, and Investigators","Confer with legal counsel on claims requiring litigation.
Related occupations",85,"[('require', 'litigation')]"
"Claims Adjusters, Examiners, and Investigators","Examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.
Related occupations",85,"[('investigate', 'claim'), ('authorize', 'payment')]"
"Claims Adjusters, Examiners, and Investigators","Maintain claim files, such as records of settled claims and an inventory of claims requiring detailed analysis.
Related occupations",82,"[('maintain', 'file'), ('require', 'analysis')]"
"Claims Adjusters, Examiners, and Investigators","Refer questionable claims to investigator or claims adjuster for investigation or settlement.
Related occupations",82,"[('refer', 'claim')]"
"Claims Adjusters, Examiners, and Investigators","Collect evidence to support contested claims in court.
Related occupations",82,"[('collect', 'evidence'), ('support', 'claim')]"
"Claims Adjusters, Examiners, and Investigators","Contact or interview claimants, doctors, medical specialists, or employers to get additional information.
Related occupations",76,"[('get', 'information')]"
"Claims Adjusters, Examiners, and Investigators","Present cases and participate in their discussion at claim committee meetings.
Related occupations",74,[]
"Claims Adjusters, Examiners, and Investigators","Report overpayments, underpayments, and other irregularities.
Related occupations",70,[]
"Claims Adjusters, Examiners, and Investigators","Attend mediations or trials.
Related occupations",68,"[('attend', 'mediation')]"
"Claims Adjusters, Examiners, and Investigators","Supervise claims adjusters to ensure that adjusters have followed proper methods.
Related occupations",79,"[('claim', 'adjuster'), ('follow', 'method')]"
"Claims Adjusters, Examiners, and Investigators","Conduct detailed bill reviews to implement sound litigation management and expense control.
Related occupations",75,"[('conduct', 'review'), ('implement', 'management')]"
"Claims Adjusters, Examiners, and Investigators","Communicate with reinsurance brokers to obtain information necessary for processing claims.
Related occupations",74,"[('obtain', 'information'), ('process', 'claim')]"
"Claims Adjusters, Examiners, and Investigators","Prepare reports to be submitted to company's data processing department.
Related occupations",68,[]
"Claims Adjusters, Examiners, and Investigators","Examine titles to property to determine validity and act as company agent in transactions with property owners.
Related occupations",68,"[('determine', 'validity')]"
"Claims Adjusters, Examiners, and Investigators","Obtain credit information from banks and other credit services.
Related occupations",49,"[('obtain', 'information')]"
"Claims Adjusters, Examiners, and Investigators","Communicate with former associates to verify employment record or to obtain background information regarding persons or businesses applying for credit.
Related occupations",Not available,"[('verify', 'record'), ('obtain', 'information')]"
"Claims Adjusters, Examiners, and Investigators","Negotiate claim settlements or recommend litigation when settlement cannot be negotiated.
Related occupations",Not available,"[('claim', 'settlement'), ('recommend', 'litigation')]"
Cleaners of Vehicles and Equipment,"Rinse objects and place them on drying racks or use cloth, squeegees, or air compressors to dry surfaces.
Related occupations",75,"[('dry', 'rack'), ('use', 'cloth'), ('use', 'surface')]"
Cleaners of Vehicles and Equipment,"Apply paints, dyes, polishes, reconditioners, waxes, or masking materials to vehicles to preserve, protect, or restore color or condition.
Related occupations",74,"[('apply', 'paint'), ('mask', 'material'), ('restore', 'color')]"
Cleaners of Vehicles and Equipment,"Clean and polish vehicle windows.
Related occupations",74,[]
Cleaners of Vehicles and Equipment,"Drive vehicles to or from workshops or customers' workplaces or homes.
Related occupations",73,"[('drive', 'vehicle')]"
Cleaners of Vehicles and Equipment,"Scrub, scrape, or spray machine parts, equipment, or vehicles, using scrapers, brushes, clothes, cleaners, disinfectants, insecticides, acid, abrasives, vacuums, or hoses.
Related occupations",73,"[('spray', 'part'), ('use', 'scraper')]"
Cleaners of Vehicles and Equipment,"Inspect parts, equipment, or vehicles for cleanliness, damage, and compliance with standards or regulations.
Related occupations",72,"[('inspect', 'part')]"
Cleaners of Vehicles and Equipment,"Mix cleaning solutions, abrasive compositions, or other compounds, according to formulas.
Related occupations",69,"[('mix', 'solution')]"
Cleaners of Vehicles and Equipment,"Maintain inventories of supplies.
Related occupations",68,"[('maintain', 'inventory')]"
Cleaners of Vehicles and Equipment,"Pre-soak or rinse machine parts, equipment, or vehicles by immersing objects in cleaning solutions or water, manually or using hoists.
Related occupations",67,"[('clean', 'solution'), ('use', 'hoist')]"
Cleaners of Vehicles and Equipment,"Turn valves or disconnect hoses to eliminate water, cleaning solutions, or vapors from machinery or tanks.
Related occupations",66,"[('disconnect', 'hose'), ('eliminate', 'water')]"
Cleaners of Vehicles and Equipment,"Turn valves or handles on equipment to regulate pressure or flow of water, air, steam, or abrasives from sprayer nozzles.
Related occupations",66,"[('regulate', 'pressure')]"
Cleaners of Vehicles and Equipment,"Sweep, shovel, or vacuum loose debris or salvageable scrap into containers and remove containers from work areas.
Related occupations",65,"[('vacuum', 'debris'), ('remove', 'container')]"
Cleaners of Vehicles and Equipment,"Monitor operation of cleaning machines and stop machines or notify supervisors when malfunctions occur.
Related occupations",65,"[('monitor', 'operation'), ('stop', 'machine'), ('notify', 'supervisor')]"
Cleaners of Vehicles and Equipment,"Press buttons to activate cleaning equipment or machines.
Related occupations",63,"[('activate', 'equipment')]"
Cleaners of Vehicles and Equipment,"Connect hoses or lines to pumps or other equipment.
Related occupations",59,"[('connect', 'hose')]"
Cleaners of Vehicles and Equipment,"Clean the plastic work inside cars, using paintbrushes.
Related occupations",73,"[('clean', 'work'), ('use', 'paintbrush')]"
Cleaners of Vehicles and Equipment,"Disassemble and reassemble machines or equipment or remove and reattach vehicle parts or trim, using hand tools.
Related occupations",68,"[('use', 'tool')]"
Cleaners of Vehicles and Equipment,"Lubricate machinery, vehicles, or equipment or perform minor repairs or adjustments, using hand tools.
Related occupations",63,"[('perform', 'repair'), ('use', 'tool')]"
Cleaners of Vehicles and Equipment,"Transport materials, equipment, or supplies to or from work areas, using carts or hoists.
Related occupations",58,"[('use', 'cart')]"
Cleaners of Vehicles and Equipment,"Fit boot spoilers, side skirts, or mud flaps to cars.
Related occupations",46,[]
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Add specified amounts of chemicals to equipment at required times to maintain solution levels and concentrations.
Related occupations",81,"[('specify', 'amount'), ('maintain', 'level')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Observe machine operations, gauges, or thermometers, and adjust controls to maintain specified conditions.
Related occupations",78,"[('adjust', 'control'), ('maintain', 'condition')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Set controls to regulate temperature and length of cycles, and start conveyors, pumps, agitators, and machines.
Related occupations",77,"[('regulate', 'temperature'), ('start', 'conveyor')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Drain, clean, and refill machines or tanks at designated intervals, using cleaning solutions or water.
Related occupations",74,"[('use', 'solution')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Operate or tend machines to wash and remove impurities from items such as barrels or kegs, glass products, tin plate surfaces, dried fruit, pulp, animal stock, coal, manufactured articles, plastic, or rubber.
Related occupations",74,"[('tend', 'machine'), ('remove', 'impurity')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Record gauge readings, materials used, processing times, or test results in production logs.
Related occupations",71,[]
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Examine and inspect machines to detect malfunctions.
Related occupations",70,"[('inspect', 'machine'), ('detect', 'malfunction')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Measure, weigh, or mix cleaning solutions, using measuring tanks, calibrated rods or suction tubes.
Related occupations",66,"[('mix', 'solution'), ('use', 'tank')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Draw samples for laboratory analysis, or test solutions for conformance to specifications, such as acidity or specific gravity.
Related occupations",77,[]
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Adjust, clean, and lubricate mechanical parts of machines, using hand tools and grease guns.
Related occupations",76,"[('lubricate', 'part'), ('use', 'tool')]"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Load machines with objects to be processed and unload them after cleaning, placing them on conveyors or racks.
Related occupations",70,[]
Clergy,"Pray and promote spirituality.
Related occupations",94,"[('promote', 'spirituality')]"
Clergy,"Prepare and deliver sermons or other talks.
Related occupations",93,"[('deliver', 'sermon')]"
Clergy,"Read from sacred texts, such as the Bible, Torah, or Koran.
Related occupations",92,[]
Clergy,"Organize and lead regular religious services.
Related occupations",90,"[('lead', 'service')]"
Clergy,"Instruct people who seek conversion to a particular faith.
Related occupations",87,"[('instruct', 'people'), ('seek', 'conversion')]"
Clergy,"Share information about religious issues by writing articles, giving speeches, or teaching.
Related occupations",85,"[('share', 'information'), ('write', 'article'), ('give', 'speech')]"
Clergy,"Counsel individuals or groups concerning their spiritual, emotional, or personal needs.
Related occupations",85,[]
Clergy,"Administer religious rites or ordinances.
Related occupations",84,[]
Clergy,"Prepare people for participation in religious ceremonies.
Related occupations",84,"[('prepare', 'people')]"
Clergy,"Visit people in homes, hospitals, or prisons to provide them with comfort and support.
Related occupations",83,"[('visit', 'people')]"
Clergy,"Train leaders of church, community, or youth groups.
Related occupations",82,[]
Clergy,"Plan or lead religious education programs.
Related occupations",80,"[('lead', 'program')]"
Clergy,"Study and interpret religious laws, doctrines, or traditions.
Related occupations",80,"[('interpret', 'law')]"
Clergy,"Respond to requests for assistance during emergencies or crises.
Related occupations",77,[]
Clergy,"Conduct special ceremonies, such as weddings, funerals, or confirmations.
Related occupations",76,"[('conduct', 'ceremony')]"
Clergy,"Devise ways in which congregational membership can be expanded.
Related occupations",71,[]
Clergy,"Collaborate with committees or individuals to address financial or administrative issues pertaining to congregations.
Related occupations",69,"[('address', 'issue')]"
Clergy,"Refer people to community support services, psychologists, or doctors.
Related occupations",64,"[('refer', 'people')]"
Clergy,"Organize or engage in interfaith, community, civic, educational, or recreational activities sponsored by or related to religious programs.
Related occupations",64,[]
Clergy,"Perform administrative duties, such as overseeing building management, ordering supplies, contracting for services or repairs, or supervising the work of staff members or volunteers.
Related occupations",64,"[('perform', 'duty'), ('oversee', 'management'), ('order', 'supply'), ('supervise', 'work')]"
Clergy,"Participate in fundraising activities to support congregational activities or facilities.
Related occupations",63,"[('support', 'activity')]"
Climate Change Policy Analysts,"Provide analytical support for policy briefs related to renewable energy, energy efficiency, or climate change.
Related occupations",95,"[('provide', 'support'), ('renewable', 'energy')]"
Climate Change Policy Analysts,"Propose new or modified policies involving use of traditional and alternative fuels, transportation of goods, and other factors relating to climate and climate change.
Related occupations",86,"[('involve', 'use')]"
Climate Change Policy Analysts,"Prepare study reports, memoranda, briefs, testimonies, or other written materials to inform government or environmental groups on environmental issues, such as climate change.
Related occupations",83,"[('prepare', 'report'), ('inform', 'group')]"
Climate Change Policy Analysts,"Analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.
Related occupations",83,"[('distill', 'finding'), ('inform', 'legislator')]"
Climate Change Policy Analysts,"Make legislative recommendations related to climate change or environmental management, based on climate change policies, principles, programs, practices, and processes.
Related occupations",82,"[('make', 'recommendation')]"
Climate Change Policy Analysts,"Present climate-related information at public interest, governmental, or other meetings.
Related occupations",79,[]
Climate Change Policy Analysts,"Gather and review climate-related studies from government agencies, research laboratories, and other organizations.
Related occupations",77,"[('review', 'study')]"
Climate Change Policy Analysts,"Review existing policies or legislation to identify environmental impacts.
Related occupations",77,"[('review', 'policy'), ('identify', 'impact')]"
Climate Change Policy Analysts,"Promote initiatives to mitigate climate change with government or environmental groups.
Related occupations",77,"[('mitigate', 'change')]"
Climate Change Policy Analysts,"Research policies, practices, or procedures for climate or environmental management.
Related occupations",75,[]
Climate Change Policy Analysts,"Write reports or academic papers to communicate findings of climate-related studies.
Related occupations",71,"[('communicate', 'finding')]"
Climate Change Policy Analysts,"Develop, or contribute to the development of, educational or outreach programs on the environment or climate change.
Related occupations",69,[]
Climate Change Policy Analysts,"Present and defend proposals for climate change research projects.
Related occupations",65,"[('defend', 'proposal')]"
Climate Change Policy Analysts,"Prepare grant applications to obtain funding for programs related to climate change, environmental management, or sustainability.
Related occupations",64,"[('prepare', 'application'), ('obtain', 'funding')]"
Clinical and Counseling Psychologists,"Conduct assessments of patients' risk for harm to self or others.
Related occupations",99,[]
Clinical and Counseling Psychologists,"Document patient information including session notes, progress notes, recommendations, and treatment plans.
Related occupations",95,[]
Clinical and Counseling Psychologists,"Identify psychological, emotional, or behavioral issues and diagnose disorders, using information obtained from interviews, tests, records, or reference materials.
Related occupations",90,"[('identify', 'issue'), ('use', 'information')]"
Clinical and Counseling Psychologists,"Write reports on clients and maintain required paperwork.
Related occupations",89,"[('maintain', 'paperwork')]"
Clinical and Counseling Psychologists,"Counsel individuals, groups, or families to help them understand problems, deal with crisis situations, define goals, and develop realistic action plans.
Related occupations",87,"[('understand', 'problem'), ('develop', 'plan')]"
Clinical and Counseling Psychologists,"Interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, or vocational development and adjustment.
Related occupations",86,"[('gain', 'insight'), ('define', 'goal'), ('plan', 'action'), ('achieve', 'development')]"
Clinical and Counseling Psychologists,"Collect information about individuals or clients, using interviews, case histories, observational techniques, and other assessment methods.
Related occupations",85,"[('collect', 'information'), ('use', 'interview')]"
Clinical and Counseling Psychologists,"Evaluate the effectiveness of counseling or treatments and the accuracy and completeness of diagnoses, modifying plans or diagnoses as necessary.
Related occupations",85,"[('evaluate', 'effectiveness'), ('modify', 'plan')]"
Clinical and Counseling Psychologists,"Use a variety of treatment methods, such as psychotherapy, hypnosis, behavior modification, stress reduction therapy, psychodrama, or play therapy.
Related occupations",83,"[('use', 'variety'), ('play', 'therapy')]"
Clinical and Counseling Psychologists,"Develop therapeutic and treatment plans based on clients' interests, abilities, or needs.
Related occupations",82,"[('develop', 'plan')]"
Clinical and Counseling Psychologists,"Develop and implement individual treatment plans, specifying type, frequency, intensity, and duration of therapy.
Related occupations",80,"[('implement', 'plan'), ('specify', 'type')]"
Clinical and Counseling Psychologists,"Maintain current knowledge of relevant research.
Related occupations",80,"[('maintain', 'knowledge')]"
Clinical and Counseling Psychologists,"Obtain and study medical, psychological, social, and family histories by interviewing individuals, couples, or families and by reviewing records.
Related occupations",76,"[('interview', 'individual'), ('review', 'record')]"
Clinical and Counseling Psychologists,"Select, administer, score, and interpret psychological tests to obtain information on individuals' intelligence, achievements, interests, or personalities.
Related occupations",75,"[('interpret', 'test'), ('obtain', 'information')]"
Clinical and Counseling Psychologists,"Consult reference material, such as textbooks, manuals, or journals, to identify symptoms, make diagnoses, or develop approaches to treatment.
Related occupations",75,"[('identify', 'symptom'), ('make', 'diagnosis'), ('develop', 'approach')]"
Clinical and Counseling Psychologists,"Consult with or provide consultation to other doctors, therapists, or clinicians regarding patient care.
Related occupations",74,"[('provide', 'consultation')]"
Clinical and Counseling Psychologists,"Advise clients on how they could be helped by counseling.
Related occupations",73,[]
Clinical and Counseling Psychologists,"Direct, coordinate, and evaluate activities of staff and interns engaged in patient assessment and treatment.
Related occupations",73,"[('evaluate', 'activity')]"
Clinical and Counseling Psychologists,"Supervise and train interns, clinicians in training, and other counselors.
Related occupations",69,[]
Clinical and Counseling Psychologists,"Refer clients to other specialists, institutions, or support services as necessary.
Related occupations",68,"[('refer', 'client')]"
Clinical and Counseling Psychologists,"Consult with other professionals, agencies, or universities to discuss therapies, treatments, counseling resources or techniques, and to share occupational information.
Related occupations",65,"[('discuss', 'therapy'), ('counsel', 'resource'), ('share', 'information')]"
Clinical and Counseling Psychologists,"Develop, direct, and participate in training programs for staff and students.
Related occupations",64,[]
Clinical and Counseling Psychologists,"Plan and develop accredited psychological service programs in psychiatric centers or hospitals, in collaboration with psychiatrists and other professional staff.
Related occupations",61,"[('develop', 'program')]"
Clinical and Counseling Psychologists,"Provide consulting services, including educational programs, outreach programs, or prevention talks to schools, social service agencies, businesses, or the general public.
Related occupations",54,"[('provide', 'service')]"
Clinical and Counseling Psychologists,"Provide occupational, educational, or other information to individuals so that they can make educational or vocational plans.
Related occupations",54,"[('make', 'plan')]"
Clinical and Counseling Psychologists,"Conduct research to develop or improve diagnostic or therapeutic counseling techniques.
Related occupations",53,"[('conduct', 'research'), ('improve', 'technique')]"
Clinical and Counseling Psychologists,"Prepare written evaluations of individuals' psychological competence for court hearings.
Related occupations",50,[]
Clinical and Counseling Psychologists,"Observe individuals at play, in group interactions, or in other contexts to detect indications of cognitive, intellectual, or developmental disabilities.
Related occupations",49,"[('detect', 'indication')]"
Clinical and Counseling Psychologists,"Plan, supervise, and conduct psychological research and write papers describing research results.
Related occupations",47,"[('conduct', 'research'), ('write', 'paper'), ('describe', 'result')]"
Clinical and Counseling Psychologists,"Provide psychological or administrative services and advice to private firms or community agencies regarding mental health programs or individual cases.
Related occupations",47,"[('provide', 'service')]"
Clinical Data Managers,"Design and validate clinical databases, including designing or testing logic checks.
Related occupations",88,"[('validate', 'database')]"
Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.
Related occupations",84,"[('process', 'datum')]"
Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.
Related occupations",83,"[('resolve', 'problem')]"
Clinical Data Managers,"Develop project-specific data management plans that address areas such as coding, reporting, or transfer of data, database locks, and work flow processes.
Related occupations",82,"[('develop', 'plan')]"
Clinical Data Managers,"Monitor work productivity or quality to ensure compliance with standard operating procedures.
Related occupations",76,"[('monitor', 'productivity'), ('ensure', 'compliance')]"
Clinical Data Managers,"Prepare appropriate formatting to data sets as requested.
Related occupations",75,"[('prepare', 'formatting')]"
Clinical Data Managers,"Design forms for receiving, processing, or tracking data.
Related occupations",74,[]
Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.
Related occupations",74,"[('prepare', 'listing')]"
Clinical Data Managers,"Confer with end users to define or implement clinical system requirements such as data release formats, delivery schedules, and testing protocols.
Related occupations",70,"[('implement', 'requirement')]"
Clinical Data Managers,"Perform quality control audits to ensure accuracy, completeness, or proper usage of clinical systems and data.
Related occupations",68,"[('perform', 'audits'), ('ensure', 'accuracy')]"
Clinical Data Managers,"Analyze clinical data using appropriate statistical tools.
Related occupations",68,"[('analyze', 'datum'), ('use', 'tool')]"
Clinical Data Managers,"Evaluate processes and technologies, and suggest revisions to increase productivity and efficiency.
Related occupations",68,"[('suggest', 'revision'), ('increase', 'productivity')]"
Clinical Data Managers,"Develop technical specifications for data management programming and communicate needs to information technology staff.
Related occupations",66,"[('develop', 'specification'), ('communicate', 'need')]"
Clinical Data Managers,"Write work instruction manuals, data capture guidelines, or standard operating procedures.
Related occupations",65,"[('write', 'manual'), ('capture', 'guideline')]"
Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.
Related occupations",61,"[('track', 'flow')]"
Clinical Data Managers,"Supervise the work of data management project staff.
Related occupations",61,"[('supervise', 'work')]"
Clinical Data Managers,"Contribute to the compilation, organization, and production of protocols, clinical study reports, regulatory submissions, or other controlled documentation.
Related occupations",61,[]
Clinical Data Managers,"Read technical literature and participate in continuing education or professional associations to maintain awareness of current database technology and best practices.
Related occupations",56,"[('read', 'literature'), ('maintain', 'awareness')]"
Clinical Data Managers,"Train staff on technical procedures or software program usage.
Related occupations",54,[]
Clinical Data Managers,"Develop or select specific software programs for various research scenarios.
Related occupations",54,"[('select', 'program')]"
Clinical Data Managers,"Provide support and information to functional areas such as marketing, clinical monitoring, and medical affairs.
Related occupations",46,"[('provide', 'support')]"
Clinical Neuropsychologists,"Interview patients to obtain comprehensive medical histories.
Related occupations",100,"[('obtain', 'history')]"
Clinical Neuropsychologists,"Write or prepare detailed clinical neuropsychological reports, using data from psychological or neuropsychological tests, self-report measures, rating scales, direct observations, or interviews.
Related occupations",100,"[('prepare', 'report'), ('use', 'datum')]"
Clinical Neuropsychologists,"Conduct neuropsychological evaluations such as assessments of intelligence, academic ability, attention, concentration, sensorimotor function, language, learning, and memory.
Related occupations",100,"[('conduct', 'evaluation')]"
Clinical Neuropsychologists,"Diagnose and treat conditions involving injury to the central nervous system, such as cerebrovascular accidents, neoplasms, infectious or inflammatory diseases, degenerative diseases, head traumas, demyelinating diseases, and various forms of dementing illnesses.
Related occupations",99,"[('treat', 'condition'), ('involve', 'injury')]"
Clinical Neuropsychologists,"Diagnose and treat pediatric populations for conditions such as learning disabilities with developmental or organic bases.
Related occupations",92,"[('treat', 'population'), ('learn', 'disability')]"
Clinical Neuropsychologists,"Provide education or counseling to individuals and families.
Related occupations",92,"[('provide', 'education')]"
Clinical Neuropsychologists,"Distinguish between psychogenic and neurogenic syndromes, two or more suspected etiologies of cerebral dysfunction, or between disorders involving complex seizures.
Related occupations",92,"[('involve', 'seizure')]"
Clinical Neuropsychologists,"Diagnose and treat neural and psychological conditions in medical and surgical populations, such as patients with early dementing illness or chronic pain with a neurological basis.
Related occupations",91,"[('treat', 'condition')]"
Clinical Neuropsychologists,"Consult with other professionals about patients' neurological conditions.
Related occupations",90,[]
Clinical Neuropsychologists,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in neuropsychology.
Related occupations",86,"[('read', 'literature')]"
Clinical Neuropsychologists,"Diagnose and treat psychiatric populations for conditions such as somatoform disorder, dementias, and psychoses.
Related occupations",84,"[('treat', 'population')]"
Clinical Neuropsychologists,"Establish neurobehavioral baseline measures for monitoring progressive cerebral disease or recovery.
Related occupations",77,"[('establish', 'measure'), ('monitor', 'disease')]"
Clinical Neuropsychologists,"Compare patients' progress before and after pharmacologic, surgical, or behavioral interventions.
Related occupations",76,[]
Clinical Neuropsychologists,"Participate in educational programs, in-service training, or workshops to remain current in methods and techniques.
Related occupations",76,[]
Clinical Neuropsychologists,"Educate and supervise practicum students, psychology interns, or hospital staff.
Related occupations",71,"[('supervise', 'student')]"
Clinical Neuropsychologists,"Design or implement rehabilitation plans for patients with cognitive dysfunction.
Related occupations",71,"[('implement', 'plan')]"
Clinical Neuropsychologists,"Identify and communicate risks associated with specific neurological surgical procedures, such as epilepsy surgery.
Related occupations",69,"[('communicate', 'risk')]"
Clinical Neuropsychologists,"Provide psychotherapy, behavior therapy, or other counseling interventions to patients with neurological disorders.
Related occupations",62,"[('provide', 'psychotherapy')]"
Clinical Nurse Specialists,"Evaluate the quality and effectiveness of nursing practice or organizational systems.
Related occupations",94,"[('evaluate', 'quality')]"
Clinical Nurse Specialists,"Collaborate with other health care professionals and service providers to ensure optimal patient care.
Related occupations",87,"[('ensure', 'care')]"
Clinical Nurse Specialists,"Develop and maintain departmental policies, procedures, objectives, or patient care standards, based on evidence-based practice guidelines or expert opinion.
Related occupations",85,"[('maintain', 'policy')]"
Clinical Nurse Specialists,"Develop nursing service philosophies, goals, policies, priorities, or procedures.
Related occupations",85,"[('develop', 'philosophy')]"
Clinical Nurse Specialists,"Direct or supervise nursing care staff in the provision of patient therapy.
Related occupations",82,"[('supervise', 'staff')]"
Clinical Nurse Specialists,"Read current literature, talk with colleagues, or participate in professional organizations or conferences to keep abreast of developments in nursing.
Related occupations",81,"[('read', 'literature')]"
Clinical Nurse Specialists,"Instruct nursing staff in areas such as the assessment, development, implementation, and evaluation of disability, illness, management, technology, or resources.
Related occupations",81,"[('instruct', 'staff')]"
Clinical Nurse Specialists,"Provide coaching and mentoring to other caregivers to help facilitate their professional growth and development.
Related occupations",80,"[('facilitate', 'growth')]"
Clinical Nurse Specialists,"Provide consultation to other health care providers in areas such as patient discharge, patient care, or clinical procedures.
Related occupations",80,"[('provide', 'consultation')]"
Clinical Nurse Specialists,"Develop, implement, or evaluate standards of nursing practice in specialty area, such as pediatrics, acute care, and geriatrics.
Related occupations",80,"[('evaluate', 'standard')]"
Clinical Nurse Specialists,"Maintain departmental policies, procedures, objectives, or infection control standards.
Related occupations",80,"[('maintain', 'policy')]"
Clinical Nurse Specialists,"Make clinical recommendations to physicians, other health care providers, insurance companies, patients, or health care organizations.
Related occupations",79,"[('make', 'recommendation')]"
Clinical Nurse Specialists,"Develop or assist others in development of care and treatment plans.
Related occupations",79,"[('assist', 'other')]"
Clinical Nurse Specialists,"Plan, evaluate, or modify treatment programs, based on information gathered by observing and interviewing patients or by analyzing patient records.
Related occupations",79,"[('modify', 'program'), ('interview', 'patient'), ('analyze', 'record')]"
Clinical Nurse Specialists,"Provide specialized direct and indirect care to inpatients and outpatients within a designated specialty, such as obstetrics, neurology, oncology, or neonatal care.
Related occupations",78,"[('provide', 'care')]"
Clinical Nurse Specialists,"Monitor or evaluate medical conditions of patients in collaboration with other health care professionals.
Related occupations",77,"[('evaluate', 'condition')]"
Clinical Nurse Specialists,"Design evaluation programs regarding the quality and effectiveness of nursing practice or organizational systems.
Related occupations",76,[]
Clinical Nurse Specialists,"Coordinate or conduct educational programs or in-service training sessions on topics, such as clinical procedures.
Related occupations",76,"[('conduct', 'program')]"
Clinical Nurse Specialists,"Observe, interview, and assess patients to identify care needs.
Related occupations",74,"[('assess', 'patient'), ('identify', 'need')]"
Clinical Nurse Specialists,"Lead nursing department implementation of, or compliance with, regulatory or accreditation processes.
Related occupations",72,[]
Clinical Nurse Specialists,"Present clients with information required to make informed health care and treatment decisions.
Related occupations",70,"[('make', 'decision')]"
Clinical Nurse Specialists,"Participate in clinical research projects, such as by reviewing protocols, reviewing patient records, monitoring compliance, and meeting with regulatory authorities.
Related occupations",66,"[('review', 'protocol'), ('review', 'record'), ('monitor', 'compliance')]"
Clinical Nurse Specialists,"Chair nursing departments or committees.
Related occupations",64,[]
Clinical Nurse Specialists,"Design patient education programs that include information required to make informed health care and treatment decisions.
Related occupations",63,"[('include', 'information'), ('make', 'decision')]"
