Occupation Name,Task Description,Importance,Verb-Noun Pairs,Meaningful Verb-Noun Pairs,Unmeaningful Verb-Noun Pairs
"Education Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.
Related occupations",78,[],[],[]
"Education Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",77,[],[],[]
"Education Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.
Related occupations",74,[],[],[]
"Education Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",71,[],[],[]
"Education Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",70,[],[],[]
"Education Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",60,[],[],[]
"Education Teachers, Postsecondary","Serve as a liaison between the university and other governmental and educational agencies.
Related occupations",58,[],[],[]
"Education Teachers, Postsecondary","Participate in campus and community events.
Related occupations",46,[],[],[]
"Education Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",45,[],[],[]
"Education Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",38,[],[],[]
"Educational, Guidance, and Career Counselors and Advisors","Counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning.
Related occupations",89,[],[],[]
"Educational, Guidance, and Career Counselors and Advisors","Collaborate with teachers and administrators in the development, evaluation, and revision of school programs and in the preparation of master schedules for curriculum offerings.
Related occupations",61,[],[],[]
"Educational, Guidance, and Career Counselors and Advisors","Plan, direct, and participate in recruitment and enrollment activities.
Related occupations",60,[],[],[]
"Educational, Guidance, and Career Counselors and Advisors","Supervise, train, and direct professional staff and interns.
Related occupations",64,[],[],[]
"Educational, Guidance, and Career Counselors and Advisors","Refer qualified counselees to employers or employment services for job placement.
Related occupations",53,"[('refer', 'counselee')]",[],"[('refer', 'counselee')]"
"Educational, Guidance, and Career Counselors and Advisors","Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.
Related occupations",43,[],[],[]
"Electric Motor, Power Tool, and Related Repairers","Record repairs required, parts used, and labor time.
Related occupations",79,[],[],[]
"Electric Motor, Power Tool, and Related Repairers","Lubricate moving parts.
Related occupations",75,[],[],[]
"Electric Motor, Power Tool, and Related Repairers","Hammer out dents and twists in tools and equipment.
Related occupations",59,[],[],[]
"Electric Motor, Power Tool, and Related Repairers","Seal joints with putty, mortar, and asbestos, using putty extruders and knives.
Related occupations",55,"[('use', 'extruder')]",[],"[('use', 'extruder')]"
Electrical and Electronic Engineering Technologists and Technicians,"Educate equipment operators on the proper use of equipment.
Related occupations",65,[],[],[]
Electrical and Electronic Engineering Technologists and Technicians,"Participate in training or continuing education activities to stay abreast of engineering or industry advances.
Related occupations",60,[],[],[]
Electrical and Electronic Engineering Technologists and Technicians,"Research equipment or component needs, sources, competitive prices, delivery times, or ongoing operational costs.
Related occupations",57,[],[],[]
Electrical and Electronic Engineering Technologists and Technicians,"Participate in the development or testing of electrical aspects of new green technologies, such as lighting, optical data storage devices, and energy efficient televisions.
Related occupations",Not available,[],[],[]
Electrical and Electronic Equipment Assemblers,"Mark and tag components so that stock inventory can be tracked and identified.
Related occupations",76,[],[],[]
Electrical and Electronic Equipment Assemblers,"Distribute materials, supplies, or subassemblies to work areas.
Related occupations",67,[],[],[]
Electrical and Electronics Drafters,"Draft working drawings, wiring diagrams, wiring connection specifications, or cross-sections of underground cables, as required for instructions to installation crew.
Related occupations",85,[],[],[]
Electrical and Electronics Drafters,"Design electrical systems, such as lighting systems.
Related occupations",75,[],[],[]
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Reassemble and test equipment after repairs.
Related occupations",73,[],[],[]
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Estimate costs of repairs based on parts and labor requirements.
Related occupations",59,[],[],[]
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Advise management regarding customer satisfaction, product performance, or suggestions for product improvements.
Related occupations",59,[],[],[]
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Repair, replace, and clean equipment and components such as circuit breakers, brushes, and commutators.
Related occupations",75,[],[],[]
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Construct, test, maintain, and repair substation relay and control systems.
Related occupations",78,[],[],[]
Electrical Engineers,"Investigate or test vendors' or competitors' products.
Related occupations",68,[],[],[]
Electrical Engineers,"Compile data and write reports regarding existing or potential electrical engineering studies or projects.
Related occupations",65,[],[],[]
Electrical Engineers,"Estimate labor, material, or construction costs for budget preparation purposes.
Related occupations",64,[],[],[]
Electrical Engineers,"Supervise or train project team members, as necessary.
Related occupations",61,[],[],[]
Electrical Engineers,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.
Related occupations",55,[],[],[]
Electrical Power-Line Installers and Repairers,"Coordinate work assignment preparation and completion with other workers.
Related occupations",87,[],[],[]
Electrical Power-Line Installers and Repairers,"Attach cross-arms, insulators, and auxiliary equipment to poles prior to installing them.
Related occupations",84,[],[],[]
Electrical Power-Line Installers and Repairers,"Lay underground cable directly in trenches, or string it through conduit running through the trenches.
Related occupations",59,[],[],[]
Electricians,"Plan layout and installation of electrical wiring, equipment, or fixtures, based on job specifications and local codes.
Related occupations",80,[],[],[]
Electricians,"Advise management on whether continued operation of equipment could be hazardous.
Related occupations",73,[],[],[]
Electro-Mechanical and Mechatronics Technologists and Technicians,"Install or program computer hardware or machine or instrumentation software in microprocessor-based systems.
Related occupations",82,[],[],[]
Electro-Mechanical and Mechatronics Technologists and Technicians,"Determine whether selected electromechanical components comply with environmental standards and regulations.
Related occupations",67,[],[],[]
Electro-Mechanical and Mechatronics Technologists and Technicians,"Analyze engineering designs of logic or digital circuitry, motor controls, instrumentation, or data acquisition for implementation into new or existing automated, servomechanical, or other electromechanical systems.
Related occupations",63,[],[],[]
"Electronic Equipment Installers and Repairers, Motor Vehicles","Diagnose or repair problems with electronic equipment, such as sound, navigation, communication, and security equipment, in motor vehicles.
Related occupations",83,[],[],[]
"Electronic Equipment Installers and Repairers, Motor Vehicles","Record results of diagnostic tests.
Related occupations",76,[],[],[]
"Electronic Equipment Installers and Repairers, Motor Vehicles","Estimate costs of repairs, based on parts and labor charges.
Related occupations",75,[],[],[]
"Electronic Equipment Installers and Repairers, Motor Vehicles","Build fiberglass or wooden enclosures for sound components, and fit them to automobile dimensions.
Related occupations",68,[],[],[]
"Electronics Engineers, Except Computer","Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.
Related occupations",77,[],[],[]
"Electronics Engineers, Except Computer","Direct or coordinate activities concerned with manufacture, construction, installation, maintenance, operation, or modification of electronic equipment, products, or systems.
Related occupations",70,[],[],[]
"Electronics Engineers, Except Computer","Develop or perform operational, maintenance, or testing procedures for electronic products, components, equipment, or systems.
Related occupations",61,[],[],[]
"Electronics Engineers, Except Computer","Determine project material or equipment needs.
Related occupations",52,[],[],[]
"Electronics Engineers, Except Computer","Investigate green consumer electronics applications for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers.
Related occupations",35,[],[],[]
"Elementary School Teachers, Except Special Education","Guide and counsel students with adjustment or academic problems or with special academic interests.
Related occupations",94,[],[],[]
"Elementary School Teachers, Except Special Education","Assign and grade class work and homework.
Related occupations",84,[],[],[]
"Elementary School Teachers, Except Special Education","Collaborate with other teachers and administrators in the development, evaluation, and revision of elementary school programs.
Related occupations",76,[],[],[]
"Elementary School Teachers, Except Special Education","Organize and label materials and display students' work.
Related occupations",64,[],[],[]
"Elementary School Teachers, Except Special Education","Select, store, order, issue, and inventory classroom equipment, materials, and supplies.
Related occupations",56,[],[],[]
"Elementary School Teachers, Except Special Education","Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.
Related occupations",52,[],[],[]
"Eligibility Interviewers, Government Programs","Investigate claimants for the possibility of fraud or abuse.
Related occupations",72,[],[],[]
Embalmers,"Conform to laws of health and sanitation and ensure that legal requirements concerning embalming are met.
Related occupations",96,[],[],[]
Embalmers,"Clean and disinfect areas in which bodies are prepared and embalmed.
Related occupations",92,[],[],[]
Embalmers,"Dress bodies and place them in caskets.
Related occupations",91,[],[],[]
Embalmers,"Remove the deceased from place of death and transport to funeral home.
Related occupations",90,[],[],[]
Embalmers,"Insert convex celluloid or cotton between eyeballs and eyelids to prevent slipping and sinking of eyelids.
Related occupations",87,[],[],[]
Embalmers,"Arrange for transporting the deceased to another state for interment.
Related occupations",82,[],[],[]
Embalmers,"Assist coroners at death scenes or at autopsies, file police reports, and testify at inquests or in court, if employed by a coroner.
Related occupations",65,[],[],[]
Emergency Management Directors,"Propose alteration of emergency response procedures, based on regulatory changes, technological changes, or knowledge gained from outcomes of previous emergency situations.
Related occupations",67,[],[],[]
Emergency Management Directors,"Apply for federal funding for emergency-management-related needs, and administer and report on the progress of such grants.
Related occupations",61,[],[],[]
Endoscopy Technicians,"Assist physicians or registered nurses in the conduct of endoscopic procedures.
Related occupations",94,[],[],[]
Endoscopy Technicians,"Position or transport patients in accordance with instructions from medical personnel.
Related occupations",79,[],[],[]
Energy Auditors,"Measure energy usage with devices such as data loggers, universal data recorders, light meters, sling psychrometers, psychrometric charts, flue gas analyzers, amp probes, watt meters, volt meters, thermometers, or utility meters.
Related occupations",76,[],[],[]
"Energy Engineers, Except Wind and Solar","Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing.
Related occupations",74,[],[],[]
"Energy Engineers, Except Wind and Solar","Train personnel or clients on topics such as energy management.
Related occupations",64,[],[],[]
"Energy Engineers, Except Wind and Solar","Research renewable or alternative energy systems or technologies, such as solar thermal or photovoltaic energy.
Related occupations",60,[],[],[]
"Energy Engineers, Except Wind and Solar","Consult with construction or renovation clients or other engineers on topics such as Leadership in Energy and Environmental Design (LEED) or Green Buildings.
Related occupations",38,[],[],[]
"Engineering Teachers, Postsecondary","Evaluate and grade students' class work, laboratory work, assignments, and papers.
Related occupations",82,[],[],[]
"Engineering Teachers, Postsecondary","Initiate, facilitate, and moderate class discussions.
Related occupations",78,[],[],[]
"Engineering Teachers, Postsecondary","Supervise students' laboratory work.
Related occupations",77,[],[],[]
"Engineering Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.
Related occupations",71,[],[],[]
"Engineering Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",61,[],[],[]
"Engineering Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",60,[],[],[]
"Engineering Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",55,[],[],[]
"Engineering Teachers, Postsecondary","Participate in campus and community events.
Related occupations",46,[],[],[]
"Engineering Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",45,[],[],[]
"Engineering Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",40,[],[],[]
"English Language and Literature Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.
Related occupations",94,[],[],[]
"English Language and Literature Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",91,[],[],[]
"English Language and Literature Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.
Related occupations",84,[],[],[]
"English Language and Literature Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",72,[],[],[]
"English Language and Literature Teachers, Postsecondary","Schedule courses.
Related occupations",69,[],[],[]
"English Language and Literature Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",64,[],[],[]
"English Language and Literature Teachers, Postsecondary","Participate in campus and community events.
Related occupations",60,[],[],[]
"English Language and Literature Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",59,[],[],[]
"English Language and Literature Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",58,[],[],[]
"English Language and Literature Teachers, Postsecondary","Recruit, train, and supervise department personnel, such as faculty and student writing instructors.
Related occupations",61,[],[],[]
"English Language and Literature Teachers, Postsecondary","Conduct staff performance evaluations.
Related occupations",47,[],[],[]
"English Language and Literature Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",43,[],[],[]
Environmental Compliance Inspectors,"Verify that hazardous chemicals are handled, stored, and disposed of in accordance with regulations.
Related occupations",85,[],[],[]
Environmental Compliance Inspectors,"Research and keep informed of pertinent information and developments in areas such as EPA laws and regulations.
Related occupations",69,[],[],[]
Environmental Compliance Inspectors,"Inspect waste pretreatment, treatment, and disposal facilities and systems for conformance to federal, state, or local regulations.
Related occupations",83,"[('inspect', 'pretreatment')]",[],"[('inspect', 'pretreatment')]"
Environmental Economists,"Examine the exhaustibility of natural resources or the long-term costs of environmental rehabilitation.
Related occupations",58,"[('examine', 'exhaustibility')]",[],"[('examine', 'exhaustibility')]"
Environmental Engineering Technologists and Technicians,"Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations.
Related occupations",75,[],[],[]
Environmental Engineering Technologists and Technicians,"Decontaminate or test field equipment used to clean or test pollutants from soil, air, or water.
Related occupations",73,[],[],[]
Environmental Engineering Technologists and Technicians,"Receive, set up, test, or decontaminate equipment.
Related occupations",70,[],[],[]
Environmental Engineering Technologists and Technicians,"Assist in the cleanup of hazardous material spills.
Related occupations",80,[],[],[]
Environmental Engineering Technologists and Technicians,"Arrange for the disposal of lead, asbestos, or other hazardous materials.
Related occupations",67,[],[],[]
Environmental Engineers,"Develop site-specific health and safety protocols, such as spill contingency plans or methods for loading or transporting waste.
Related occupations",71,[],[],[]
Environmental Engineers,"Assist in budget implementation, forecasts, or administration.
Related occupations",70,[],[],[]
Environmental Engineers,"Advise industries or government agencies about environmental policies and standards.
Related occupations",70,[],[],[]
Environmental Engineers,"Request bids from suppliers or consultants.
Related occupations",68,[],[],[]
Environmental Engineers,"Serve as liaison with federal, state, or local agencies or officials on issues pertaining to solid or hazardous waste program requirements.
Related occupations",64,[],[],[]
Environmental Engineers,"Develop or present environmental compliance training or orientation sessions.
Related occupations",63,[],[],[]
Environmental Engineers,"Write reports or articles for Web sites or newsletters related to environmental engineering issues.
Related occupations",57,[],[],[]
Environmental Restoration Planners,"Apply for permits required for the implementation of environmental remediation projects.
Related occupations",75,[],[],[]
"Environmental Science and Protection Technicians, Including Health","Direct activities of workers in laboratory.
Related occupations",50,[],[],[]
"Environmental Science Teachers, Postsecondary","Evaluate and grade students' class work, laboratory work, assignments, and papers.
Related occupations",88,[],[],[]
"Environmental Science Teachers, Postsecondary","Supervise students' laboratory and field work.
Related occupations",81,[],[],[]
"Environmental Science Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",79,[],[],[]
"Environmental Science Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.
Related occupations",77,[],[],[]
"Environmental Science Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",77,[],[],[]
"Environmental Science Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",64,[],[],[]
"Environmental Science Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",59,[],[],[]
"Environmental Science Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",53,[],[],[]
"Environmental Science Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",50,[],[],[]
"Environmental Science Teachers, Postsecondary","Participate in campus and community events.
Related occupations",48,[],[],[]
"Environmental Scientists and Specialists, Including Health","Supervise or train students, environmental technologists, technicians, or other related staff.
Related occupations",60,[],[],[]
Epidemiologists,"Educate healthcare workers, patients, and the public about infectious and communicable diseases, including disease transmission and prevention.
Related occupations",81,[],[],[]
Equal Opportunity Representatives and Officers,"Prepare reports related to investigations of equal opportunity complaints.
Related occupations",92,[],[],[]
Equal Opportunity Representatives and Officers,"Participate in the recruitment of employees through job fairs, career days, or advertising plans.
Related occupations",41,[],[],[]
Etchers and Engravers,"Examine sketches, diagrams, samples, blueprints, or photographs to decide how designs are to be etched, cut, or engraved onto workpieces.
Related occupations",86,[],[],[]
Etchers and Engravers,"Prepare workpieces for etching or engraving by cutting, sanding, cleaning, polishing, or treating them with wax, acid resist, lime, etching powder, or light-sensitive enamel.
Related occupations",88,[],[],[]
Etchers and Engravers,"Examine engraving for quality of cut, burrs, rough spots, and irregular or incomplete engraving.
Related occupations",83,[],[],[]
Etchers and Engravers,"Position and clamp workpieces, plates, or rollers in holding fixtures.
Related occupations",80,[],[],[]
Executive Secretaries and Executive Administrative Assistants,"Process payroll information.
Related occupations",82,[],[],[]
Executive Secretaries and Executive Administrative Assistants,"Meet with individuals, special interest groups, and others on behalf of executives, committees, and boards of directors.
Related occupations",66,[],[],[]
Exercise Physiologists,"Present exercise knowledge, program information, or research study findings at professional meetings or conferences.
Related occupations",58,[],[],[]
Exercise Trainers and Group Fitness Instructors,"Observe participants and inform them of corrective measures necessary for skill improvement.
Related occupations",90,[],[],[]
Exercise Trainers and Group Fitness Instructors,"Promote health clubs through membership sales, and record member information.
Related occupations",50,[],[],[]
Exercise Trainers and Group Fitness Instructors,"Advise clients about proper clothing and shoes.
Related occupations",49,[],[],[]
Exercise Trainers and Group Fitness Instructors,"Advise participants in use of heat or ultraviolet treatments and hot baths.
Related occupations",46,[],[],[]
"Explosives Workers, Ordnance Handling Experts, and Blasters","Insert waterproof sealers, bullets, and/or powder charges into guns, and screw gun ports back into place.
Related occupations",71,[],[],[]
"Explosives Workers, Ordnance Handling Experts, and Blasters","Document geological formations encountered during work.
Related occupations",Not available,[],[],[]
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Reel extruded products into rolls of specified lengths and weights.
Related occupations",82,[],[],[]
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Change dies on extruding machines, according to production line changes.
Related occupations",77,[],[],[]
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Clean work areas.
Related occupations",76,[],[],[]
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Replace worn dies when products vary from specifications.
Related occupations",68,[],[],[]
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Select nozzles, spacers, and wire guides, according to diameters and lengths of rods.
Related occupations",59,[],[],[]
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Record details of machine malfunctions.
Related occupations",71,[],[],[]
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Open cabinet doors to cut multifilament threadlines away from guides, using scissors.
Related occupations",57,"[('cut', 'threadline'), ('use', 'scissor')]",[],"[('cut', 'threadline'), ('use', 'scissor')]"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Feed products into machines by hand or conveyor.
Related occupations",75,[],[],[]
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Complete work tickets, and place them with products.
Related occupations",73,[],[],[]
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Remove molds, mold components, and feeder tubes from machinery after production is complete.
Related occupations",72,[],[],[]
Fabric and Apparel Patternmakers,"Input specifications into computers to assist with pattern design and pattern cutting.
Related occupations",90,[],[],[]
Fabric and Apparel Patternmakers,"Mark samples and finished patterns with information, such as garment size, section, style, identification, and sewing instructions.
Related occupations",86,[],[],[]
Fabric and Apparel Patternmakers,"Test patterns by making and fitting sample garments.
Related occupations",84,[],[],[]
Facilities Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.
Related occupations",77,[],[],[]
Facilities Managers,"Participate in architectural and engineering planning and design, including space and installation management.
Related occupations",76,[],[],[]
Facilities Managers,"Set goals and deadlines for the department.
Related occupations",75,[],[],[]
Facilities Managers,"Acquire, distribute and store supplies.
Related occupations",62,[],[],[]
Facilities Managers,"Manage leasing of facility space.
Related occupations",66,"[('manage', 'leasing')]",[],"[('manage', 'leasing')]"
Fallers,"Assess logs after cutting to ensure that the quality and length are correct.
Related occupations",87,[],[],[]
Fallers,"Determine position, direction, and depth of cuts to be made, and placement of wedges or jacks.
Related occupations",85,[],[],[]
Fallers,"Tag unsafe trees with high-visibility ribbons.
Related occupations",80,[],[],[]
Fallers,"Mark logs for identification.
Related occupations",71,[],[],[]
Fallers,"Work as a member of a team, rotating between chain saw operation and skidder operation.
Related occupations",62,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Evaluate and grade students' class work, laboratory work, projects, assignments, and papers.
Related occupations",94,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",87,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.
Related occupations",86,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",82,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",73,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",71,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Participate in campus and community events.
Related occupations",65,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",64,[],[],[]
"Family and Consumer Sciences Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",69,[],[],[]
Family Medicine Physicians,"Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.
Related occupations",92,[],[],[]
Family Medicine Physicians,"Coordinate work with nurses, social workers, rehabilitation therapists, pharmacists, psychologists, and other health care providers.
Related occupations",87,[],[],[]
Family Medicine Physicians,"Train residents, medical students, and other health care professionals.
Related occupations",54,[],[],[]
Farm and Home Management Educators,"Research information requested by farmers.
Related occupations",77,[],[],[]
Farm and Home Management Educators,"Act as an advocate for farmers or farmers' groups.
Related occupations",75,[],[],[]
Farm and Home Management Educators,"Conduct field demonstrations of new products, techniques, or services.
Related occupations",72,[],[],[]
Farm and Home Management Educators,"Organize, advise, and participate in community activities and organizations, such as county and state fair events and 4-H Clubs.
Related occupations",66,[],[],[]
Farm Equipment Mechanics and Service Technicians,"Maintain, repair, and overhaul farm machinery and vehicles, such as tractors, harvesters, and irrigation systems.
Related occupations",82,[],[],[]
Farm Equipment Mechanics and Service Technicians,"Record details of repairs made and parts used.
Related occupations",81,[],[],[]
Farm Equipment Mechanics and Service Technicians,"Clean and lubricate parts.
Related occupations",80,[],[],[]
Farm Equipment Mechanics and Service Technicians,"Tune or overhaul engines.
Related occupations",76,[],[],[]
Farm Equipment Mechanics and Service Technicians,"Repair bent or torn sheet metal.
Related occupations",61,[],[],[]
Farm Equipment Mechanics and Service Technicians,"Calculate bills according to record of repairs made, labor time, and parts used.
Related occupations",59,[],[],[]
Farm Labor Contractors,"Pay wages of contracted farm laborers.
Related occupations",87,[],[],[]
Farm Labor Contractors,"Furnish tools for employee use.
Related occupations",76,[],[],[]
Farm Labor Contractors,"Direct and transport workers to appropriate work sites.
Related occupations",78,[],[],[]
"Farmers, Ranchers, and Other Agricultural Managers","Collect and record growth, production, and environmental data.
Related occupations",86,[],[],[]
"Farmers, Ranchers, and Other Agricultural Managers","Prepare reports required by state and federal laws.
Related occupations",74,[],[],[]
"Farmers, Ranchers, and Other Agricultural Managers","Maintain financial, operational, production, or employment records for farms or ranches.
Related occupations",72,[],[],[]
"Farmers, Ranchers, and Other Agricultural Managers","Negotiate with buyers for the sale, storage, or shipment of crops or livestock.
Related occupations",69,[],[],[]
"Farmers, Ranchers, and Other Agricultural Managers","Determine types or quantities of crops, plants, or livestock to be grown and raised, based on budgets, federal incentives, market conditions, executive directives, projected sales volumes, or soil conditions.
Related occupations",Not available,[],[],[]
"Farmers, Ranchers, and Other Agricultural Managers","Direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, and harvesting.
Related occupations",Not available,[],[],[]
"Farmers, Ranchers, and Other Agricultural Managers","Hire, supervise, and train support workers.
Related occupations",Not available,[],[],[]
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Record information about crops, such as pesticide use, yields, or costs.
Related occupations",78,[],[],[]
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Participate in the inspection, grading, sorting, storage, and post-harvest treatment of crops.
Related occupations",76,[],[],[]
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Harvest plants, and transplant or pot and label them.
Related occupations",76,[],[],[]
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Harvest fruits and vegetables by hand.
Related occupations",70,[],[],[]
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Maintain and repair irrigation and climate control systems.
Related occupations",68,[],[],[]
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Dig, cut, and transplant seedlings, cuttings, trees, and shrubs.
Related occupations",67,[],[],[]
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Record information about plants and plant growth.
Related occupations",61,[],[],[]
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Herd livestock to pastures for grazing or to scales, trucks, or other enclosures.
Related occupations",85,[],[],[]
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Segregate animals according to weight, age, color, and physical condition.
Related occupations",76,[],[],[]
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Inspect, maintain, and repair equipment, machinery, buildings, pens, yards, and fences.
Related occupations",76,[],[],[]
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Mix feed, additives, and medicines in prescribed portions.
Related occupations",80,[],[],[]
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Order food for animals, and arrange for its delivery.
Related occupations",77,[],[],[]
Fashion Designers,"Select materials and production techniques to be used for products.
Related occupations",77,[],[],[]
Fashion Designers,"Determine prices for styles.
Related occupations",81,[],[],[]
Fashion Designers,"Design custom clothing and accessories for individuals, retailers, or theatrical, television, or film productions.
Related occupations",66,[],[],[]
Fast Food and Counter Workers,"Communicate with customers regarding orders, comments, and complaints.
Related occupations",91,[],[],[]
Fast Food and Counter Workers,"Scrub and polish counters, steam tables, and other equipment, and clean glasses, dishes, and fountain equipment.
Related occupations",91,[],[],[]
Fast Food and Counter Workers,"Balance receipts and payments in cash registers.
Related occupations",89,[],[],[]
Fast Food and Counter Workers,"Wrap menu items such as sandwiches, hot entrees, and desserts for serving or for takeout.
Related occupations",83,[],[],[]
Fast Food and Counter Workers,"Replenish foods at serving stations.
Related occupations",77,[],[],[]
Fast Food and Counter Workers,"Arrange tables and decorations according to instructions.
Related occupations",72,[],[],[]
Fence Erectors,"Set metal or wooden posts in upright positions in postholes.
Related occupations",85,[],[],[]
Fence Erectors,"Nail top and bottom rails to fence posts, or insert them in slots on posts.
Related occupations",77,[],[],[]
Fence Erectors,"Stretch wire, wire mesh, or chain link fencing between posts, and attach fencing to frames.
Related occupations",73,[],[],[]
Fence Erectors,"Insert metal tubing through rail supports.
Related occupations",71,[],[],[]
Fence Erectors,"Construct and repair barriers, retaining walls, trellises, and other types of fences, walls, and gates.
Related occupations",67,[],[],[]
Fiberglass Laminators and Fabricators,"Cure materials by letting them set at room temperature, placing them under heat lamps, or baking them in ovens.
Related occupations",80,[],[],[]
Fiberglass Laminators and Fabricators,"Check all dies, templates, and cutout patterns to be used in the manufacturing process to ensure that they conform to dimensional data, photographs, blueprints, samples, or customer specifications.
Related occupations",72,"[('cutout', 'pattern')]",[],"[('cutout', 'pattern')]"
File Clerks,"Answer questions about records or files.
Related occupations",78,[],[],[]
File Clerks,"Gather materials to be filed from departments or employees.
Related occupations",76,[],[],[]
