Verb,Noun
provide,proxy
use,base
segment,video
log,method
learn,method
learn,device
improve,performance
use,network
use,system
form,network
generate,enhancement
use,datum
realize,practice
record,instruction
update,site
provide,service
navigate,vehicle
time,method
generate,representation
use,network
train,control
use,model
provide,security
identify,maneuver
identify,fact
evaluate,sharpness
receive,method
train,network
learn,interest
integrate,information
use,network
employ,representative
use,model
use,model
use,device
maintain,network
learn,model
enhance,software
mark,detection
use,datum
determine,area
recommend,item
use,convolution
use,format
transfer,datum
detect,highlight
generate,alert
drive,field
generate,layout
use,network
evaluate,degree
recognize,behavior
apply,network
segment,object
learn,approach
gather,dynamic
generate,sequence
detect,line
identify,entity
automate,process
detect,value
obtain,model
facilitate,purchase
use,profile
utilize,model
generate,response
face,method
manage,object
position,perception
monitor,system
pose,method
integrate,characteristic
manage,quality
monitor,infiltration
treat,patient
yield,optimization
defend,attack
face,model
analyze,datum
have,database
use,article
identify,content
use,vector
identify,anomaly
use,score
provide,advertisement
charge,station
combine,word
detect,disorder
perform,convolution
provide,provenance
use,network
generate,element
construct,library
combine,convolution
access,datum
compute,usage
automate,replenishment
use,map
use,classifier
perform,input
extract,datum
classify,account
distribute,method
bear,method
pose,determination
implement,container
apply,knowledge
detect,abnormality
use,score
train,machine
monitor,scene
maintain,building
consider,condition
reduce,risk
evaluate,system
change,discovery
train,classifier
provide,analysis
detect,target
face,method
spoof,system
use,network
edit,image
use,network
render,layer
monitor,cluster
implement,policy
perform,exploration
use,understanding
defect,method
diagnose,lesion
use,datum
extrapolate,object
handle,parameter
modify,model
operate,kiosk
receive,device
implement,directive
detect,characteristic
generate,network
use,network
build,model
establish,network
represent,world
transform,content
obtain,method
detect,target
train,system
use,graph
use,function
train,device
face,detection
use,module
utilize,network
evaluate,risk
identify,feature
train,machine
automate,pricing
increase,parallelism
use,network
position,method
extract,feature
investigate,relationship
maximize,performance
minimize,cost
determine,method
augment,reality
use,segmentation
track,motion
process,datum
use,source
monitor,activity
use,text
collate,information
create,category
control,operation
use,network
base,modeling
detect,name
prevent,readmission
use,information
coach,engine
operate,network
learn,training
provide,response
feature,method
identify,abnormality
provide,telecommunication
automate,input
use,network
integrate,constraint
spike,accelerator
use,memory
generate,model
influence,behavior
provide,linkage
optimize,utilization
use,signal
reduce,event
execute,analysis
prune,network
face,system
acquire,model
determine,impact
schedule,pattern
generate,image
utilize,network
push,method
implement,network
perform,function
occlude,detection
use,sensing
remove,noise
deepen,network
change,optimization
improve,design
secure,datum
use,feature
detect,flaw
use,vision
use,signal
use,instruction
detect,attack
use,feature
share,information
develop,treatment
detect,anomaly
provide,function
base,engine
pose,selection
predict,event
use,pose
evaluate,result
identify,cause
identify,abnormality
measure,risk
control,quality
occlude,detection
schedule,meeting
object,model
detect,object
occupy,route
place,plurality
push,method
select,response
generate,sample
identify,light
associate,event
use,network
position,method
use,input
provide,service
detect,target
fault,method
customize,response
utilize,relatedness
determine,strength
characterize,attack
provide,content
use,utterance
generate,profile
recognize,object
fuse,mechanism
utilize,architecture
learn,device
learn,method
unload,method
face,internet
accelerate,network
position,method
defect,system
learn,system
cast,surface
extract,meaning
provide,editing
integrate,component
optimize,effectiveness
hear,aid
complete,method
validate,file
contact,candidate
provide,stimulation
learn,device
characterize,feature
guide,arm
grab,workpiece
drive,method
manage,spear
monitor,method
implement,framework
grate,system
base,assessment
recommend,item
hear,device
comprise,system
assess,wound
train,network
provide,stimulation
target,method
use,hardware
implement,intelligence
sense,image
miss,imputation
apply,medium
alter,datum
determine,flow
determine,setting
use,vision
train,robot
travel,route
use,datum
provide,recommendation
capture,information
identify,abnormality
measure,risk
fuse,method
reduce,cost
improve,definition
dispatch,method
bear,method
use,supervision
generate,interrelation
form,system
base,detection
use,learning
render,content
identify,face
train,model
incorporate,feature
identify,method
use,network
classify,image
use,system
use,tracking
gesture,technique
position,method
pose,method
base,fusion
drive,method
build,system
annotate,datum
use,network
manage,allocation
throttle,event
query,model
identify,class
provide,service
enhance,response
use,tracking
identify,process
visualize,flow
teach,method
defect,method
use,datum
control,vehicle
facilitate,formation
decode,network
operate,aircraft
click,method
determine,model
establish,link
access,medium
discover,meaning
use,datum
manage,issue
improve,understanding
use,network
determine,age
use,learning
implement,selection
manage,complexity
use,measure
automate,detection
analyze,image
detect,event
use,device
control,nerve
combine,control
estimate,time
share,datum
enhance,method
filter,content
select,variety
optimize,location
involve,device
map,system
improve,experience
identify,fracture
use,machine
decentralize,platform
simulate,world
determine,condition
aid,method
use,sensor
optimize,allocation
bear,method
model,conversation
use,graph
detect,part
generate,odometer
use,robot
learn,device
learn,model
operate,system
count,crowd
facilitate,datum
construct,map
optimize,distillation
use,set
derive,marketplace
screen,method
use,signal
construct,pedestrian
construct,model
monitor,datum
use,model
object,datum
wear,state
improve,training
defect,method
digitize,electrocardiogram
facilitate,awareness
detect,information
use,datum
detect,stealing
use,reduction
predict,event
forecast,failure
charge,method
generate,response
utilize,network
tamper,method
diagnose,disease
determine,status
use,repertoire
operate,drive
search,method
sort,method
face,method
analyze,production
generate,method
output,information
detect,object
use,network
link,map
manage,indicator
address,goal
predict,datum
create,mapping
authenticate,user
handle,invocation
identify,attribute
define,responsiveness
detect,abnormality
recommend,video
process,network
name,method
use,information
construct,system
distribute,registry
construct,cart
use,surveillance
provide,crowd
source,metric
generate,network
evaluate,response
embed,orientation
face,detection
generate,network
use,confidence
enable,update
use,platform
use,analysis
learn,technique
improve,condition
mix,network
detect,video
recur,state
use,device
store,datum
improve,network
enhance,recovery
promote,loss
bear,system
label,classification
block,activation
block,protein
learn,method
learn,device
operate,system
execute,interaction
process,utterance
process,method
utilize,object
generate,image
detect,transaction
target,item
object,system
measure,method
store,medium
generate,datum
generate,model
use,model
exploit,sparseness
use,fabric
identify,pattern
enhance,quality
authenticate,user
learn,method
facilitate,prediction
assess,driver
use,scan
apply,query
apply,datum
analyze,behaviour
create,profile
predict,wear
use,scan
use,control
induce,consumption
change,method
navigate,vehicle
navigate,vehicle
analyze,image
depict,vehicle
generate,audio
use,network
generate,information
use,robot
use,primitive
have,unit
request,model
determine,method
induce,sleep
transplant,state
predict,performance
use,learning
use,processing
detect,event
face,reenactment
use,datum
manage,compliance
monitor,device
mitigate,effect
face,recognition
use,depth
use,network
control,access
use,sensor
acquire,datum
accelerate,launch
use,analysis
generate,tool
manage,cookie
manage,cookie
reduce,delay
aggregate,datum
use,network
build,tracker
determine,method
expect,behavior
manage,device
provide,content
transfer,datum
move,method
detect,face
learn,method
network,security
end,platform
detect,behavior
measure,method
process,image
construct,network
select,frame
create,policy
throttle,portion
generate,instruction
detect,defect
perform,localization
use,transformation
train,network
secure,service
prioritize,packet
issue,loan
generate,profile
generate,network
search,system
fuse,datum
operate,system
use,fuel
employ,network
support,storage
manage,loss
present,result
embed,layer
search,method
predict,location
use,signal
face,method
indicate,metric
correlate,annotation
tamper,method
position,method
optimize,content
use,internet
use,structure
provide,representation
quantify,measurement
formulate,response
adapt,system
reconstruct,image
diagram,method
use,speech
use,engine
improve,accuracy
use,representation
use,method
generate,network
perform,selection
train,network
ascertain,parameter
analyse,message
distinguish,component
construct,network
modify,attribute
acquire,image
have,engine
generate,feedback
generate,feedback
authenticate,device
measure,platform
detect,wear
use,source
consolidate,intelligence
provide,assurance
train,model
feature,method
track,item
refuse,judgment
treat,behavior
use,system
predict,accessibility
provide,reality
base,service
use,reconstruction
scan,system
populate,inventory
cross,application
assign,label
extract,information
provide,information
provide,information
use,network
construct,model
monitor,construction
fault,method
manipulate,content
detect,object
detect,position
determine,quality
learn,service
refuel,system
manage,status
provide,availability
adjust,content
detect,talk
tear,device
have,database
wear,method
identify,version
generate,representation
remediate,vulnerability
use,tree
use,network
modify,element
base,security
generate,content
use,clustering
discriminate,expression
enhance,experience
face,method
control,door
use,architecture
feature,method
produce,sample
enable,definition
present,card
extract,feature
use,network
charge,station
learn,method
monitor,method
protect,privacy
accelerate,operation
utilize,template
support,maintenance
protect,model
protect,model
carry,system
provide,metric
address,method
detect,incident
increase,resolution
use,component
process,waveform
face,method
use,feature
speak,command
control,output
drive,system
track,technique
classify,application
realize,retrieval
evaluate,datum
face,method
provide,information
generate,model
use,network
enhance,image
base,registration
adjust,parameter
control,workflow
manipulate,material
use,manipulator
attribute,method
use,technique
use,similarity
detect,problem
predict,content
use,attribute
estimate,measurement
use,system
use,path
build,system
coordinate,call
influence,outcome
hear,protector
improve,yield
improve,quality
improve,quality
enable,apparatus
establish,model
recognize,type
check,door
face,recognition
avoid,detection
enable,coexistence
use,decomposition
use,datum
use,datum
utilize,behavior
predict,impact
use,map
control,device
judge,method
generate,datum
retrieve,content
recognize,expression
control,device
convert,video
locate,fault
use,network
establish,model
fault,method
use,network
provide,feedback
use,model
perform,topology
leave,detection
measure,motion
estimate,object
utilize,process
use,light
trace,method
protect,application
distribute,parameter
generate,output
determine,segment
distribute,management
control,device
use,sensor
build,conservation
learn,method
face,method
push,method
prevent,use
use,datum
detect,period
use,analysis
process,input
comprise,chip
predict,landmark
predict,landmark
use,information
use,source
optimize,warp
use,tiling
process,signal
use,filter
have,characteristic
prevent,receipt
process,image
detect,period
use,analysis
trigger,review
use,sentiment
identify,network
use,cloud
enhance,music
render,avatar
query,datum
classify,data
reduce,complexity
play,method
generate,training
facilitate,transaction
group,endpoint
mark,falsity
use,network
analyse,sound
determine,preference
assist,damage
fix,shooting
avoid,system
use,camera
face,method
detect,text
typify,indicator
monitor,event
improve,profit
use,model
apply,computation
send,image
use,ophthalmoscope
use,reconnaissance
misbehave,component
distribute,system
capture,datum
analyze,behavior
execute,function
estimate,quality
target,analysis
use,reality
calculate,segmentation
detect,state
detect,face
capture,information
analyze,sample
face,method
educate,user
group,module
manage,pattern
facilitate,transaction
use,control
create,engine
push,method
detect,flow
determine,model
use,interface
select,node
use,sensor
combine,attack
reduce,bias
produce,model
use,unit
position,sensor
process,datum
use,agent
fault,method
push,method
defect,method
identify,gesture
use,matrix
use,analysis
generate,image
use,model
learn,method
coordinate,detection
monitor,system
abstract,characteristic
train,network
detect,defect
monitor,system
detect,infection
classify,photo
facilitate,therapy
manage,property
use,device
pump,controller
generate,description
utilize,reality
switch,method
implement,framework
deliver,service
decode,sequence
provide,category
maintain,confidentiality
involve,device
determine,type
generate,audio
push,information
train,network
scale,convolution
scale,input
obtain,position
combine,datum
draw,method
manage,search
simulate,performance
use,map
face,method
use,datum
control,system
use,point
edge,method
gesture,method
cast,model
ice,system
use,augmentation
create,model
view,cloud
improve,precision
detect,attack
correlate,sequence
drive,method
create,datum
generate,route
queue,method
predict,event
optimize,operation
model,method
use,primitive
determine,curve
adjust,method
generate,model
group,convolution
generate,avatar
fuse,cloud
hear,device
use,distillation
collect,request
execute,device
bear,method
apply,technology
face,method
manage,resource
improve,method
generate,recommendation
utilize,network
classify,image
position,object
predict,track
use,input
detect,event
generate,relationship
measure,engagement
use,skip
use,stream
identify,similarity
manage,switch
speak,trainer
predict,score
assess,balance
grab,object
assess,individual
operate,device
use,translation
offset,vector
monitor,state
set,method
use,network
track,product
build,system
generate,image
bear,method
control,object
switch,mode
preserve,framework
determine,highlight
identify,positive
use,datum
use,cluster
edit,element
predict,interaction
use,model
face,method
control,color
use,processing
combine,feature
use,datum
detect,change
update,map
adjust,method
utilize,network
generate,image
use,network
spoof,detection
generate,rhetoric
update,datum
learn,method
integrate,description
edge,system
learn,method
use,network
construct,information
predict,density
control,element
control,element
use,technique
image,environment
detect,script
facilitate,sharing
cause,analysis
determine,point
modify,file
apply,feature
select,portion
use,model
face,method
assess,quality
use,network
face,method
generate,network
allocate,resource
augment,capture
extract,information
use,learning
provide,information
facilitate,user
facilitate,detection
identify,insulator
recommend,method
use,model
report,method
charge,system
combine,party
identify,vehicle
set,constraint
facilitate,system
determine,duration
identify,file
use,model
present,datum
analyze,interrelation
analyze,interrelation
present,datum
generate,recommendation
present,overviews
summarize,attribute
detect,error
condition,signal
generate,question
identify,characteristic
authorize,rendering
generate,method
use,sensor
detect,compromise
utilize,token
execute,task
use,vehicle
fault,method
use,camera
pose,method
provide,datum
use,intelligence
identify,attribute
implement,contract
use,technology
present,option
detect,image
use,model
support,extraction
reference,feature
forecast,failure
use,alarm
monitor,effectiveness
face,method
update,repository
position,method
classify,image
reciprocate,method
determine,occupancy
implement,method
generate,image
analyze,performance
learn,method
learn,entity
support,laboratory
answer,method
predict,model
recognize,scene
work,surface
enhance,power
use,computation
use,measurement
face,image
face,method
adjust,method
comprise,detector
use,training
classify,resource
customize,group
detect,cancer
identify,patient
use,network
support,machine
use,integration
learn,function
construct,model
hear,system
comprise,system
identify,pose
identify,need
use,datum
strengthen,repudiation
analyze,behavior
predict,visit
match,affinity
control,element
hand,gesture
control,element
associate,face
train,image
lactate,method
use,text
control,system
charge,system
use,image
click,method
reduce,power
handle,error
detect,sign
estimate,volume
detect,space
improve,visibility
implement,communication
utilize,contract
time,window
measure,density
obtain,feedback
detect,target
determine,information
manipulate,variable
form,object
enable,platform
detect,device
cross,recommendation
determine,assurance
push,method
serve,robot
establish,graph
use,network
learn,maliciousness
track,item
utilize,cloud
distribute,computation
protect,privacy
customize,characteristic
face,method
extract,information
contain,image
perform,recognition
drive,method
stack,integration
predict,site
target,tracking
control,recognition
detect,object
weld,system
diagnose,nodule
detect,method
predict,performance
classify,usage
generate,information
drive,system
extract,information
extract,information
use,network
distribute,recognition
orchestrate,container
aid,system
create,product
use,network
combine,countermeasure
identify,crack
use,classifier
perform,interview
generate,ladder
communicate,activity
extract,word
improve,determination
convey,message
generate,artwork
learn,intelligence
access,datum
integrate,relation
suggest,name
have,network
control,mean
count,crowd
target,decomposition
distribute,item
characterize,motion
use,mining
classify,defect
determine,property
merge,system
identify,figure
drive,method
use,model
generate,classification
learn,preference
assist,cure
generate,map
enhance,sample
train,model
affect,function
generate,map
reduce,transmission
suggest,content
estimate,likelihood
provide,system
use,network
predict,intent
manage,power
find,cloud
use,convolution
quantify,color
generate,map
source,training
use,apprenticeship
predict,birth
determine,property
determine,profile
increase,detection
exploit,sparsity
pool,network
control,area
detect,behavior
use,graph
update,parameter
use,sensor
position,method
reconstruct,image
estimate,system
link,event
change,method
determine,surface
use,circuit
gate,convolution
yield,estimation
object,image
object,re
object,method
determine,value
take,control
generate,set
identify,action
address,problem
discover,service
recommend,mode
analyze,request
detect,method
specify,criterion
use,search
facilitate,access
recognize,segmentation
analyze,record
generate,interface
face,method
retrieve,graph
generate,bot
build,tree
improve,answer
generate,avatar
recognize,method
accelerate,aspect
count,method
recognize,method
base,network
name,method
detect,object
train,model
operate,application
authenticate,occupant
use,datum
defect,method
weld,system
assess,health
have,size
edge,equipment
generate,interface
test,system
determine,datum
transmit,datum
determine,grid
use,parallelism
comprise,network
process,signal
use,network
recommend,method
wear,condition
detect,record
face,method
generate,condition
find,method
object,method
face,method
utilize,network
extract,intent
build,structure
use,tree
analyze,feedback
blur,method
update,record
determine,state
identify,unit
push,method
base,method
use,reconnaissance
identify,information
reinforce,method
learn,knowledge
optimize,intelligence
answer,method
analyze,ability
use,datum
output,information
update,plan
correlate,flow
use,information
encrypt,attack
predict,movement
learn,device
learn,method
discover,alert
learn,graph
determine,mode
detect,attack
face,training
face,method
determine,label
analyze,image
wear,condition
train,network
face,method
train,network
attribute,control
update,content
evaluate,performance
use,base
provide,item
press,method
handle,protocol
generate,image
use,reconnaissance
use,imagery
render,environment
cluster,method
provide,control
protect,computer
drive,vehicle
adapt,plan
provide,detection
disturb,functionality
manage,wellness
drive,system
implement,model
support,service
detect,defect
secure,circuit
realize,prediction
rotate,equipment
detect,flow
support,access
weed,crop
splice,method
defend,network
randomize,weight
generate,video
update,map
report,remediation
use,reality
use,network
predict,throughput
generate,network
manage,margin
test,interface
use,vision
create,model
sense,storage
measure,method
group,method
process,text
report,condition
dispatch,graph
manage,epilepsy
use,analysis
share,resource
modify,aspect
train,network
use,memory
use,model
convert,datum
secure,network
support,protection
limit,behavior
form,image
classify,phrase
coordinate,platform
assess,severity
assess,lesion
use,prediction
provide,security
manage,information
use,system
personalize,experience
predict,cost
use,network
detect,apparatus
detect,method
play,method
determine,distance
adjust,method
predict,site
maintain,authentication
use,comparison
control,vehicle
provide,guidance
authenticate,user
score,information
manage,anomaly
represent,boundary
clip,video
compute,device
detect,attack
detect,table
use,matrix
utilize,light
recognize,groove
face,recognition
use,vector
maintain,score
generate,tissue
diagnose,pathogenesis
use,analysis
provide,alert
encode,method
decode,method
use,response
generate,representation
use,image
identify,impression
use,information
improve,safety
detect,datum
face,method
recommend,program
face,method
predict,incident
apply,datum
apply,monitoring
apply,measurement
assess,state
cross,system
create,track
implement,reward
transfer,method
keep,structure
train,network
use,bottleneck
classify,state
generate,representation
handle,navigation
use,vision
use,hardware
ensure,validity
perform,screening
detect,actuation
use,noise
protect,privacy
enable,system
leverage,datum
cast,defect
resolve,error
raise,weight
measure,method
structure,method
base,wake
compute,device
recommend,object
pose,method
use,information
smoke,method
face,point
face,positioning
detect,usage
remove,method
assess,compliance
reduce,processing
fall,generation
train,model
perform,transformation
generate,datum
generate,information
detect,activity
predict,track
perform,operation
associate,audio
use,controller
bear,method
route,system
download,datum
build,system
investigate,event
acquire,datum
use,network
classify,video
use,network
reconstruct,image
test,application
deliver,vaccine
wash,system
generate,explanation
use,model
manage,interaction
use,datum
operate,vehicle
operate,process
translate,speech
detect,heart
face,method
retrieve,image
update,datum
facilitate,plurality
rewrite,optimization
spray,device
weed,vehicle
rewrite,optimization
derive,intent
generate,information
control,system
improve,efficiency
provide,assistance
detect,communication
use,sensor
train,network
detect,object
detect,target
determine,status
provide,recommendation
use,allocation
inject,ad
accelerate,aspect
use,container
locate,obstacle
provide,content
switch,sound
target,method
use,cue
shoot,method
use,technology
construct,graph
motivate,driver
light,object
manage,device
use,architecture
search,material
bear,method
train,network
compress,parameter
use,signal
cache,method
wake,word
determine,direction
learn,representation
determine,position
monitor,device
use,radar
measure,motion
use,theory
detect,news
detect,behavior
control,system
integrate,representation
output,information
extract,relation
control,safety
engage,interaction
message,system
update,map
generate,field
drive,system
learn,style
object,system
use,camera
determine,channel
use,activity
evolve,stream
build,system
learn,method
route,system
manufacture,apparatus
drive,server
detect,object
detect,account
build,graph
have,sensing
have,feature
use,map
determine,plurality
use,analysis
obtain,datum
train,model
use,word
generate,response
deduce,location
identify,character
evaluate,quality
face,method
detect,activity
use,intelligence
face,method
generate,network
make,system
trend,analysis
use,analysis
capture,image
object,tracking
detect,account
use,activity
simulate,ability
perform,detection
receive,information
infer,context
provide,assistance
apply,model
integrate,sensor
defend,model
defend,attack
face,method
position,method
map,method
construct,map
process,image
use,device
monitor,method
monitor,device
use,model
determine,variation
perform,analysis
recognize,expression
display,image
decompose,task
reshape,model
retrieve,apparatus
set,screen
detect,anomaly
provide,card
process,image
gesture,method
constrain,quantization
identify,signature
implement,method
evaluate,structure
fill,characteristic
generate,representation
identify,audience
identify,event
fault,method
cascade,network
apply,model
detect,change
secure,communication
assist,customer
access,option
face,method
face,method
recover,datum
secure,device
identify,level
flow,method
determine,probability
use,resource
result,confirmation
use,network
utilize,circuit
control,device
use,query
rest,image
use,ledger
store,datum
provide,control
use,network
walk,method
clean,method
detect,object
learn,method
analyze,apparatus
analyze,method
categorize,electrocardiogram
face,method
face,device
utilize,network
support,phrase
generate,response
provide,service
detect,message
distribute,model
position,method
employ,platform
adjust,function
update,parameter
maintain,identity
warn,system
charge,technology
use,network
realize,model
utilize,transfer
explore,flow
detect,change
use,system
minimize,cost
read,understanding
use,network
position,system
construct,positioning
face,environment
position,method
enhance,relevance
realize,helmet
sense,accident
predict,risk
analyze,medium
predict,propensity
reconstruct,object
log,method
fill,system
implement,validation
expand,graph
optimize,adjudication
transform,datum
use,network
capture,emotion
customize,response
generate,formula
extract,content
reduce,latency
enhance,quality
adjust,parameter
increase,efficiency
monitor,user
detect,validity
utilize,interface
characterize,condition
generate,motion
extract,datum
monitor,failure
generate,image
utilize,framework
separate,text
use,headphone
understand,method
use,vocabulary
use,device
use,datum
manage,vehicle
characterize,image
object,method
attribute,method
extract,feature
use,network
manage,datum
use,feature
face,method
generate,model
use,processing
utilize,network
evaluate,route
recognize,face
sequence,technology
use,measure
determine,risk
improve,protocol
secure,service
secure,integration
classify,report
provide,maintenance
stream,method
exploit,structure
perform,function
optimize,network
reduce,identification
retain,channel
utilize,information
protect,vehicle
monitor,method
monitor,system
assess,quality
detect,link
define,environment
identify,type
use,interval
support,query
discover,signature
optimize,target
detect,discrepancy
generate,model
position,device
provide,alert
use,map
perform,network
click,method
use,representation
communicate,content
embed,method
fuse,knowledge
generate,model
collect,datum
use,information
assess,level
select,mode
obtain,service
provide,functionality
name,method
perform,segmentation
predict,event
correlate,datum
power,datum
generate,construct
coordinate,call
influence,outcome
adjust,network
stage,training
provide,conversation
facilitate,participation
determine,likelihood
scale,information
determine,therapy
update,content
face,method
provide,suggestion
modify,surface
support,number
manipulate,projection
drive,system
create,model
use,model
determine,status
predict,life
extract,information
build,supply
build,profile
use,datum
capture,datum
use,identification
monitor,user
provide,training
construct,system
search,resource
provide,sorting
identify,cancer
track,system
treat,plant
recommend,digest
process,information
transmit,datum
use,reality
run,classifier
push,method
mount,system
generate,script
transform,case
determine,device
examine,system
determine,structure
use,network
improve,sleep
disorder,breathing
use,feedback
use,network
associate,datum
exercise,intelligence
train,model
recognize,image
extract,event
apply,network
separate,text
revise,plan
monitor,positioning
enable,system
support,use
estimate,motion
aid,system
create,product
protect,property
extract,information
use,network
wear,method
multiply,cell
face,method
augment,rule
monitor,platform
overlay,datum
generate,response
characterize,tissue
use,network
predict,intention
classify,degeneration
train,model
generate,text
analyze,strain
determine,relationship
evaluate,model
learn,device
provide,component
solve,task
use,computing
realize,prevention
use,network
create,motion
capture,motion
analyze,motion
improve,motion
provide,platform
manage,campaign
optimize,engagement
characterize,system
configure,kit
select,image
provide,tracking
focus,method
face,field
source,candidate
seal,method
generate,tree
use,network
monitor,safety
utilize,transaction
base,representation
distribute,system
translate,message
select,configuration
correct,error
fuse,mechanism
generate,range
flow,management
flow,modeling
output,information
have,feature
determine,path
generate,application
render,instance
determine,setting
estimate,region
call,functionality
identify,signature
construct,model
produce,movement
use,image
produce,face
use,text
face,method
estimate,cost
detect,object
use,scheduler
use,function
detect,activity
defect,method
facilitate,support
bear,life
discover,attack
position,method
pass,performance
generate,content
use,model
use,commodity
use,chip
comprise,cell
manage,activity
detect,movement
have,element
provide,service
adjust,frame
use,scan
display,interface
contaminate,response
reduce,length
have,disambiguation
provide,suggestion
deliver,content
maintain,privacy
provide,response
provide,interface
display,method
perform,computation
use,processing
display,datum
detect,defect
face,method
process,image
train,system
prompt,method
secure,equipment
run,controller
identify,communication
use,communication
provide,suggestion
aid,learning
train,detector
drive,system
drive,map
employ,adjustment
name,network
synthesize,speech
distribute,platform
construct,model
face,image
face,method
compare,datum
use,scanning
update,clothing
recognize,movement
face,method
capture,image
construct,graph
identify,content
estimate,state
predict,trajectory
provide,control
track,behavior
use,scoring
implement,determination
fulfil,order
classify,structure
answer,method
entangle,method
include,resource
train,network
use,network
train,network
determine,proportion
provide,stimulation
utilize,privacy
learn,method
access,device
inspire,method
determine,type
activate,assistant
enable,agent
resolve,datum
use,measure
determine,risk
review,meeting
generate,fence
circulate,method
predict,direction
determine,homogeneity
use,library
remove,dust
parse,query
manage,call
face,method
classify,expression
use,camera
fuse,information
enhance,health
facilitate,service
face,shielding
mark,method
object,recognition
use,change
distribute,system
distribute,system
use,network
align,datum
monitor,activity
use,device
determine,latency
predict,quality
provide,method
provide,system
register,change
facilitate,recognition
use,relationship
detect,spot
train,system
detect,threat
use,network
mitigate,problem
penetrate,method
diagnose,tumor
perform,analysis
regulate,resource
improve,quality
extract,fact
process,instruction
understand,contact
inspect,structure
use,thermography
operate,drop
eject,3d
generate,strategy
route,packet
adjust,generation
fuse,behavior
normalize,system
adapt,inspection
analyze,sample
carry,classification
grasp,object
aid,system
use,environment
increase,density
surround,event
predict,method
treat,autism
perform,computation
message,system
ensure,integrity
combine,interface
regulate,value
link,method
manage,asset
detect,defect
provide,imaging
wear,state
align,sensor
learn,method
learn,device
adjust,parameter
use,augmentation
live,stream
detect,attack
recommend,term
predict,intersection
mount,system
adjust,speed
monitor,fluid
use,convolution
use,characteristic
implement,model
provide,application
handle,device
compress,image
authenticate,user
model,development
diagnose,impairment
correlate,direction
enhance,efficiency
distribute,resource
object,device
mitigate,attack
use,provenance
train,model
recognize,text
optimize,quantum
predict,strength
upgrade,method
use,internet
determine,wear
provide,approach
pillow,case
produce,life
automate,release
establish,position
adjust,element
pool,mode
integrate,technology
operate,curve
optimize,utilization
operate,mode
queue,length
generate,information
facilitate,datum
face,method
use,network
allow,introduction
use,network
extract,graph
batch,request
control,device
use,gesture
change,state
use,datum
use,datum
improve,health
share,datum
decode,graphic
acquire,representation
generate,map
drill,method
support,erasure
determine,relation
use,signal
use,cue
detect,event
use,network
visualize,language
enable,network
target,object
predict,occurrence
configure,pipeline
use,profile
evaluate,individual
separate,voice
utilize,device
provide,view
extract,vessel
base,system
construct,framework
provide,meeting
position,device
fuse,knowledge
call,method
determine,time
use,signal
detect,request
use,recognition
provide,exchange
determine,action
use,model
provide,exchange
pose,method
position,method
predict,fault
assist,scanning
detect,deviation
select,advertising
design,implant
train,network
use,attention
characterize,condition
determine,relation
mitigate,risk
detect,similarity
face,method
maximize,flow
generate,image
infer,availability
assist,system
model,path
define,control
adjust,speed
answer,question
associate,identifier
extract,information
push,information
detect,obstacle
predict,event
predict,situation
defect,method
determine,impression
use,information
perform,operation
calculate,map
use,component
identify,stay
perform,evolution
coordinate,system
increase,engagement
generate,integration
base,detection
predict,pattern
create,slice
provide,information
consume,cloud
analyze,image
track,people
sense,change
use,signal
determine,scheme
implement,level
utilize,technique
assess,claim
exploit,configuration
determine,closure
base,security
use,information
analyze,information
use,image
collect,datum
center,system
wear,recognition
use,computing
trigger,request
position,method
use,network
compute,discovery
verify,endpoint
generalize,experience
alert,user
use,learning
predict,performance
determine,route
avoid,obstacle
handle,failure
model,database
synthesize,datum
use,cost
learn,format
use,analysis
communicate,information
improve,quality
construct,corpus
use,network
generate,thumbnail
decode,signal
guess,noise
target,method
signal,optimization
signal,apparatus
facilitate,development
understand,scenario
defect,device
defect,method
restrict,access
navigate,robot
categorize,ekg
improve,diagnosis
embed,method
extend,range
increase,accuracy
use,object
use,re
use,identification
use,classification
generate,image
prevent,snore
improve,strain
use,device
configure,field
search,method
stream,analysis
base,mapping
monitor,topology
batch,technique
handle,datum
use,feedback
predict,likelihood
use,network
identify,event
use,network
apply,feature
estimate,injury
perform,operation
debug,application
provide,medium
provide,medium
modify,operation
interrogate,document
identify,gesture
predict,defect
comprise,medium
detect,traffic
evaluate,quality
use,search
search,user
integrate,recognition
implement,transmission
detect,defect
provide,recommendation
model,behavior
measure,capability
question,network
store,parameter
count,method
provide,assessment
provide,content
realize,model
predict,matrix
enable,council
manage,waste
keep,check
enable,collection
prevent,flow
maintain,environment
use,capability
increase,efficiency
reduce,cost
use,eye
handle,system
relocate,vessel
influence,position
position,engine
enable,recovery
treat,disorder
convert,text
use,imagery
reduce,noise
conduct,monitoring
train,network
use,histogram
deactivate,node
use,agent
monitor,activity
use,integration
optimize,message
execute,function
monitor,respiration
predict,loss
systemize,reconciliation
personalize,content
control,device
use,rule
execute,task
identify,sequence
use,map
provide,question
use,text
immunize,device
use,marker
detect,attack
analyze,molecule
distribute,application
use,technology
implement,query
use,technology
protect,privacy
use,integration
play,method
reconstruct,shape
render,view
supervise,classifier
object,scanning
predict,value
trigger,action
detect,behavior
use,sensor
compress,datum
perform,convolution
characterize,risk
use,solution
invoke,function
face,recognition
face,method
use,level
queue,result
control,access
report,apparatus
pose,method
